Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465160,1,OK,41.6558732,1.0926717,41.6441579,-2.3220910,63.023,-7.185,-190.087,0.0364756,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465160,1,OK,42.3343946,3.7151625,42.2017818,-27.5589098,57.174,-3.370,-187.701,0.0345596,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465160,1,OK,44.7053927,-7.1550370,44.2492266,25.6666121,-64.191,-15.879,-186.330,0.0913105,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465160,1,OK,44.7361055,-10.5216069,43.7383806,-71.5253268,-57.744,-12.294,-183.670,0.0263107,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465168,1,OK,41.6571319,1.0913385,41.6454457,-2.3120168,63.021,-7.184,-190.079,0.0364227,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465168,1,OK,42.3354200,3.7095144,42.2032161,-27.5500497,57.164,-3.369,-187.688,0.0341273,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465168,1,OK,44.7057430,-7.1556393,44.2495050,25.6179069,-64.189,-15.868,-186.328,0.0930594,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465168,1,OK,44.7474997,-10.5213813,43.7502224,-71.4961738,-57.739,-12.274,-183.665,0.0256761,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465176,1,OK,41.6580444,1.0895572,41.6463967,-2.3138187,63.012,-7.177,-190.074,0.0369350,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465176,1,OK,42.3304209,3.7076379,42.1983280,-27.5493798,57.154,-3.375,-187.687,0.0338836,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465176,1,OK,44.7151954,-7.1586866,44.2587164,25.5707195,-64.189,-15.843,-186.339,0.0941561,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465176,1,OK,44.7438697,-10.5268371,43.7454049,-71.5109851,-57.740,-12.281,-183.664,0.0248715,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465184,1,OK,41.6565872,1.0810492,41.6451201,-2.3102330,62.995,-7.172,-190.071,0.0370909,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465184,1,OK,42.3247240,3.7039189,42.1928704,-27.5611156,57.144,-3.371,-187.681,0.0336933,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465184,1,OK,44.7211653,-7.1548076,44.2652820,25.5197830,-64.181,-15.816,-186.340,0.0956888,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465184,1,OK,44.7417125,-10.5214039,43.7442258,-71.5203120,-57.729,-12.274,-183.648,0.0250222,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465192,1,OK,41.6585334,1.0819923,41.6470471,-2.3007722,62.991,-7.154,-190.065,0.0368954,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465192,1,OK,42.3226755,3.6985913,42.1911926,-27.5583524,57.127,-3.358,-187.674,0.0337718,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465192,1,OK,44.7263927,-7.1564795,44.2703779,25.5579923,-64.182,-15.809,-186.339,0.0951041,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465192,1,OK,44.7460395,-10.5254637,43.7479183,-71.5118899,-57.732,-12.268,-183.656,0.0252772,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465200,1,OK,41.6551826,1.0806461,41.6437235,-2.3044091,62.982,-7.146,-190.074,0.0370170,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465200,1,OK,42.3173710,3.6982940,42.1858847,-27.5616555,57.120,-3.349,-187.670,0.0339402,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465200,1,OK,44.7286689,-7.1612769,44.2720726,25.5419927,-64.186,-15.804,-186.337,0.0954157,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465200,1,OK,44.7465446,-10.5259069,43.7483552,-71.5217623,-57.734,-12.268,-183.662,0.0259106,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465208,1,OK,41.6550473,1.0798739,41.6436046,-2.3231356,62.977,-7.132,-190.076,0.0373142,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465208,1,OK,42.3181291,3.7002304,42.1865082,-27.5717854,57.118,-3.333,-187.661,0.0344030,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465208,1,OK,44.6714456,-7.1890683,44.2103326,26.0542839,-64.105,-16.387,-186.088,0.0807984,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465208,1,OK,44.7496991,-10.5271600,43.7513784,-71.5001601,-57.735,-12.263,-183.654,0.0248552,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465216,1,OK,41.6645717,1.0791215,41.6531487,-2.3483296,62.972,-7.110,-190.065,0.0372008,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465216,1,OK,42.3234153,3.6988098,42.1919202,-27.5908496,57.114,-3.312,-187.650,0.0343813,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465216,1,OK,44.6770878,-7.1783511,44.2174546,26.1726942,-64.096,-16.364,-186.098,0.0802676,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465216,1,OK,44.7525936,-10.5296821,43.7538860,-71.4936051,-57.735,-12.260,-183.643,0.0245884,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465224,1,OK,41.6687704,1.0767040,41.6574003,-2.3767708,62.961,-7.098,-190.062,0.0369742,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465224,1,OK,42.3268891,3.6965324,42.1955724,-27.6053587,57.110,-3.298,-187.653,0.0351770,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465224,1,OK,44.6869144,-7.1827465,44.2268712,26.0493266,-64.107,-16.354,-186.132,0.0825098,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465224,1,OK,44.7434886,-10.5282967,43.7447268,-71.5155243,-57.731,-12.268,-183.645,0.0238182,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465232,1,OK,41.6701506,1.0786378,41.6587401,-2.3990828,62.962,-7.086,-190.068,0.0367165,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6465232,1,OK,42.3266383,3.6991253,42.1951356,-27.6390956,57.109,-3.287,-187.658,0.0353435,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465232,1,OK,44.7490970,-7.1764884,44.2908676,25.3434616,-64.113,-16.245,-186.228,0.1051689,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6465232,1,OK,44.7476294,-10.5305789,43.7485715,-71.5089963,-57.733,-12.258,-183.650,0.0229546,0
