Tools	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518224	1	OK	44.0004952	-0.5697661	43.9975614	-18.4142613	65.201	-6.908	-190.620	0.0311789	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518224	1	OK	43.0757250	1.6691231	43.0497069	-42.4655845	61.130	-2.099	-186.893	0.0337393	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518240	1	OK	44.0016532	-0.5754625	43.9986606	-18.4394684	65.206	-6.931	-190.616	0.0320623	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518240	1	OK	43.0838695	1.6680876	43.0578910	-42.4841758	61.144	-2.111	-186.889	0.0334144	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518248	1	OK	44.0004243	-0.5705022	43.9974829	-18.4409774	65.221	-6.949	-190.624	0.0318753	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518248	1	OK	43.0813550	1.6627776	43.0555395	-42.5046689	61.145	-2.124	-186.894	0.0328515	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518256	1	OK	44.0008134	-0.5685732	43.9978919	-18.4443093	65.230	-6.960	-190.626	0.0316352	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518256	1	OK	43.0806673	1.6557661	43.0550686	-42.5019484	61.141	-2.134	-186.891	0.0330678	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518264	1	OK	44.0018764	-0.5672464	43.9989687	-18.4472102	65.241	-6.963	-190.620	0.0316825	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518264	1	OK	43.0828769	1.6528613	43.0573699	-42.5110741	61.147	-2.140	-186.887	0.0331199	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518280	1	OK	44.0001710	-0.5753469	43.9971794	-18.4405340	65.241	-6.974	-190.609	0.0315171	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518280	1	OK	43.0819881	1.6483340	43.0566199	-42.5119857	61.150	-2.158	-186.879	0.0334863	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518288	1	OK	43.9998470	-0.5704949	43.9969056	-18.4336857	65.256	-6.980	-190.610	0.0312069	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518288	1	OK	43.0846441	1.6468316	43.0593246	-42.5152643	61.153	-2.163	-186.882	0.0335084	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518296	1	OK	44.0042629	-0.5636866	44.0013918	-18.4157942	65.273	-6.975	-190.604	0.0305843	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518296	1	OK	43.0846790	1.6500439	43.0592606	-42.5217927	61.162	-2.167	-186.884	0.0330922	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518312	1	OK	44.0045741	-0.5636407	44.0017035	-18.4093326	65.276	-6.974	-190.604	0.0308714	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518312	1	OK	43.0861771	1.6567734	43.0605522	-42.5002634	61.175	-2.164	-186.880	0.0327097	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518320	1	OK	44.0069582	-0.5637185	44.0040870	-18.4076942	65.278	-6.967	-190.603	0.0306912	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1518320	1	OK	43.0854227	1.6479393	43.0600697	-42.5018492	61.159	-2.157	-186.872	0.0329085	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
