Tools	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592064	1	OK	49.7292480	11.5216812	48.7234806	7.1216205	30.232	-9.654	-214.862	0.0706537	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592064	1	OK	50.9973873	13.9224853	49.5785787	-14.5932738	22.923	-6.737	-215.142	0.0204095	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592064	1	OK	55.9181295	-14.7151971	54.5930257	47.1712202	-39.410	-19.927	-215.262	0.0546932	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592064	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592080	1	OK	49.7632543	11.5608181	48.7517076	7.0509840	30.092	-9.606	-214.893	0.0688841	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592080	1	OK	50.9853180	13.9026764	49.5700664	-14.6426220	22.904	-6.738	-215.148	0.0173751	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592080	1	OK	55.9300571	-14.7022513	54.6079716	47.1801363	-39.425	-20.014	-215.248	0.0534641	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592080	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592096	1	OK	49.7809335	11.5446814	48.7729198	6.9238593	29.951	-9.405	-215.072	0.0561744	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592096	1	OK	50.9927958	13.8691380	49.5849906	-14.6199743	22.880	-6.718	-214.994	0.0228082	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592096	1	OK	55.9315721	-14.7009521	54.6098052	47.2226031	-39.432	-20.060	-215.224	0.0515940	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592096	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592112	1	OK	49.7892034	11.6128191	48.7692573	6.9210271	29.771	-9.397	-215.067	0.0552893	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592112	1	OK	50.9800083	13.9058863	49.5638059	-14.7015544	22.782	-6.727	-215.039	0.0198517	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592112	1	OK	55.9359584	-14.7054944	54.6135665	47.2198766	-39.435	-20.064	-215.228	0.0510748	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592112	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592120	1	OK	49.7718481	11.6367818	48.7469422	6.9283866	29.720	-9.474	-215.167	0.0536090	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592120	1	OK	50.9880407	13.9099566	49.5713938	-14.6410990	22.918	-6.747	-215.111	0.0203978	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592120	1	OK	55.9401792	-14.7073214	54.6176600	47.2373537	-39.433	-20.062	-215.228	0.0504303	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592120	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592136	1	OK	49.7604398	11.6394475	48.7346318	6.8948169	29.719	-9.507	-215.186	0.0536369	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592136	1	OK	50.9870060	13.9006965	49.5722589	-14.6893995	22.907	-6.746	-215.097	0.0199446	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592136	1	OK	55.9349611	-14.7092779	54.6118133	47.2298006	-39.435	-20.080	-215.230	0.0505098	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592136	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592144	1	OK	49.7638485	11.6367806	48.7386481	6.8633640	29.717	-9.505	-215.197	0.0531364	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592144	1	OK	50.9857300	13.8973073	49.5716316	-14.6986030	22.907	-6.747	-215.100	0.0198603	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592144	1	OK	55.9381368	-14.7120647	54.6146300	47.2175026	-39.439	-20.076	-215.235	0.0518339	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592144	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592152	1	OK	49.7656149	11.6294943	48.7417955	6.8333742	29.706	-9.506	-215.193	0.0533658	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592152	1	OK	50.9895911	13.8939145	49.5764065	-14.7183470	22.906	-6.740	-215.093	0.0195592	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592152	1	OK	55.9419975	-14.7090054	54.6192563	47.2028675	-39.433	-20.066	-215.236	0.0529363	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592152	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592168	1	OK	49.7742774	11.6191215	48.7526479	6.8298506	29.691	-9.488	-215.181	0.0509503	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592168	1	OK	50.9923620	13.8855404	49.5810836	-14.7255872	22.898	-6.739	-215.081	0.0202885	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592168	1	OK	55.9516588	-14.7031902	54.6304894	47.2081796	-39.416	-20.049	-215.226	0.0539800	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592168	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592176	1	OK	49.7800288	11.6229559	48.7579191	6.8132404	29.695	-9.478	-215.190	0.0510514	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592176	1	OK	50.9898928	13.8859909	49.5783926	-14.7273289	22.896	-6.743	-215.082	0.0202812	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592176	1	OK	55.9522640	-14.7091117	54.6300219	47.2204813	-39.424	-20.057	-215.242	0.0527151	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592176	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
