Tools	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129736	1	OK	46.9428837	2.6073236	46.8873787	-53.6529984	53.009	-9.464	-190.918	0.0308788	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129736	1	OK	44.6311332	3.3117128	44.5339652	-73.3683670	55.441	-4.052	-186.211	0.0385509	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129736	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129736	1	OK	46.8857823	-8.2521809	46.3219397	-52.4385327	-66.105	-13.454	-182.311	0.0172897	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129752	1	OK	46.9396784	2.6091262	46.8840903	-53.6523155	53.016	-9.477	-190.936	0.0313033	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129752	1	OK	44.6269468	3.3002689	44.5304366	-73.3828401	55.433	-4.069	-186.209	0.0383780	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129752	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129752	1	OK	46.8833948	-8.2895231	46.3143204	-52.4389716	-66.070	-13.433	-182.357	0.0158922	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129760	1	OK	46.9313099	2.6047029	46.8758941	-53.6544512	53.026	-9.523	-190.956	0.0314802	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129760	1	OK	44.6182443	3.2992945	44.5217618	-73.3800269	55.453	-4.112	-186.228	0.0375860	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129760	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129760	1	OK	46.8874677	-8.3029708	46.3166024	-52.5093633	-65.983	-13.413	-182.365	0.0142818	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129768	1	OK	46.9724899	2.4134155	46.9249920	-53.9613366	53.095	-9.442	-191.015	0.0414529	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129768	1	OK	44.6744519	3.1351223	44.5875224	-73.6619792	55.735	-4.288	-186.193	0.0463304	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129768	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129768	1	OK	46.8966455	-8.3252782	46.3228526	-52.5073408	-65.904	-13.397	-182.368	0.0137354	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129784	1	OK	47.0631854	2.2864342	47.0206942	-53.7589879	54.003	-10.169	-190.902	0.0310694	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129784	1	OK	44.6906258	2.9393616	44.6142751	-73.4779944	56.442	-4.851	-186.212	0.0382054	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129784	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129784	1	OK	46.9615705	-8.4467696	46.3720248	-52.8562403	-65.500	-13.417	-182.352	0.0328519	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129792	1	OK	47.0436424	2.2334194	47.0030730	-53.7215924	53.924	-10.169	-190.854	0.0357428	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129792	1	OK	44.6980185	2.9576564	44.6207327	-73.3144549	56.358	-4.812	-186.235	0.0411554	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129792	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129792	1	OK	46.9968742	-8.5262119	46.3967763	-53.0890646	-65.282	-13.400	-182.379	0.0427358	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129808	1	OK	46.9960178	2.2256828	46.9556619	-53.5593116	53.880	-10.195	-190.881	0.0326128	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129808	1	OK	44.6897777	2.9859500	44.6109807	-73.2338089	56.371	-4.773	-186.203	0.0365667	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129808	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129808	1	OK	46.9605777	-8.8427392	46.3135665	-52.5809779	-63.931	-13.255	-182.342	0.0159808	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129816	1	OK	47.0221901	2.2546681	46.9808132	-53.4916419	53.978	-10.144	-190.862	0.0340433	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129816	1	OK	44.6717859	2.9993741	44.5922275	-73.1693050	56.385	-4.828	-186.229	0.0355274	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129816	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129816	1	OK	46.9932664	-8.8295296	46.3489617	-52.5309609	-63.777	-13.174	-182.335	0.0149832	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129832	1	OK	47.0207713	2.2749443	46.9786441	-53.4135655	53.982	-10.195	-190.914	0.0299960	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129832	1	OK	44.6976076	3.0170522	44.6171796	-73.0921979	56.393	-4.791	-186.179	0.0367935	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129832	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129832	1	OK	47.0544299	-8.7954978	46.4165393	-52.4914044	-63.676	-12.970	-182.348	0.0099329	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129848	1	OK	47.0372473	2.2642431	46.9955399	-53.5801159	53.956	-10.151	-190.870	0.0322053	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2129848	1	OK	44.7045874	2.9861462	44.6258209	-73.2274545	56.381	-4.766	-186.174	0.0392544	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129848	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	2129848	1	OK	47.0214713	-8.8611863	46.3731136	-52.9097491	-63.735	-13.020	-182.367	0.0136054	0
