Tools	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662936	1	OK	58.3761099	11.8218871	57.6083527	-44.1161720	29.902	-2.429	-245.915	0.0246715	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662936	1	OK	56.0169153	12.2663274	55.1097226	-59.1560552	32.874	1.393	-239.904	0.0356181	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3662936	1	OK	91.5469634	3.4255956	-91.5497331	3.0597925	58.599	-35.767	-168.115	0.0414131	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662944	1	OK	58.3762045	11.7221785	57.6216295	-44.0773901	29.742	-2.758	-245.669	0.0267526	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662944	1	OK	56.0086576	12.2072066	55.1101227	-59.1532810	32.769	1.027	-239.715	0.0355406	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3662944	1	OK	91.5457553	3.4249926	-91.5485219	3.0574074	58.601	-35.764	-168.111	0.0410476	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662952	1	OK	58.3373330	11.7288202	57.5807260	-44.0491193	29.828	-3.124	-245.487	0.0264479	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662952	1	OK	55.9953472	12.2011686	55.0972682	-59.1280501	32.811	0.747	-239.402	0.0343754	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3662952	1	OK	91.5476827	3.4259370	-91.5504542	3.0611878	58.596	-35.769	-168.111	0.0411289	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662960	1	OK	58.3423739	11.6103622	57.6014475	-43.9339226	30.148	-3.141	-245.255	0.0266967	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662960	1	OK	55.9919776	12.1069422	55.1079398	-59.0281885	33.089	0.724	-239.260	0.0325958	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3662960	1	OK	91.5478080	3.4266260	-91.5505809	3.0614380	58.597	-35.769	-168.116	0.0411330	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662968	1	OK	58.3577006	11.4494164	57.6380351	-43.8824001	30.619	-3.286	-245.308	0.0317383	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662968	1	OK	55.9914981	11.9595697	55.1293442	-58.9994877	33.606	0.535	-239.373	0.0327389	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3662968	1	OK	91.5498960	3.4277228	-91.5526744	3.0655276	58.595	-35.774	-168.113	0.0411868	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662976	1	OK	58.3634719	11.3178034	57.6607526	-43.8425020	31.033	-3.567	-245.422	0.0300599	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662976	1	OK	56.0007011	11.8042209	55.1616084	-58.9667173	33.984	0.299	-239.475	0.0347648	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3662976	1	OK	91.5495735	3.4269382	-91.5523501	3.0648851	58.594	-35.780	-168.106	0.0415238	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662984	1	OK	58.3230211	11.3033373	57.6210166	-43.8273251	31.015	-3.822	-245.342	0.0263255	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662984	1	OK	55.9672803	11.7855386	55.1298393	-58.9773043	33.930	0.054	-239.298	0.0361544	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3662984	1	OK	91.5505739	3.4260437	-91.5533507	3.0668649	58.592	-35.783	-168.113	0.0415235	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662992	1	OK	58.2751123	11.3529448	57.5654691	-43.7755273	30.777	-3.891	-245.004	0.0265236	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3662992	1	OK	55.9462382	11.8351066	55.1008980	-58.9505019	33.682	0.032	-238.953	0.0362508	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3662992	1	OK	91.5487542	3.4267069	-91.5515289	3.0632910	58.596	-35.773	-168.118	0.0411309	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663000	1	OK	58.2617860	11.3923692	57.5467287	-43.7200852	30.639	-3.938	-244.857	0.0283101	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663000	1	OK	55.9139225	11.8914491	55.0592760	-58.8810993	33.485	-0.029	-238.774	0.0316608	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3663000	1	OK	91.5488990	3.4259899	-91.5516728	3.0635892	58.600	-35.767	-168.115	0.0404386	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663008	1	OK	58.2613374	11.4414621	57.5399620	-43.6744778	30.486	-4.202	-244.744	0.0252498	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663008	1	OK	55.9115722	11.9258332	55.0517823	-58.9043348	33.300	-0.309	-238.679	0.0363967	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3663008	1	OK	91.5491937	3.4237286	-91.5519643	3.0641931	58.599	-35.769	-168.104	0.0405174	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663016	1	OK	58.2735888	11.4396678	57.5527917	-43.6446254	30.144	-4.454	-244.529	0.0286627	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663016	1	OK	55.9283500	11.9674004	55.0629648	-58.8880965	33.013	-0.589	-238.517	0.0407358	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3663016	1	OK	91.5502808	3.4216376	-91.5530500	3.0663422	58.597	-35.780	-168.102	0.0411399	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663024	1	OK	58.2868052	11.4831495	57.5607801	-43.5777768	29.983	-4.639	-244.477	0.0256424	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663024	1	OK	55.9592232	12.0047160	55.0893247	-58.8001491	32.827	-0.711	-238.412	0.0396220	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3663024	1	OK	91.5487601	3.4231740	-91.5515290	3.0633151	58.598	-35.776	-168.105	0.0414915	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663032	1	OK	58.3646180	11.5180954	57.6363079	-43.4908610	29.893	-4.717	-244.585	0.0201818	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663032	1	OK	56.0220840	12.0529952	55.1470997	-58.6454922	32.744	-0.788	-238.574	0.0334080	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3663032	1	OK	91.5461089	3.4233328	-91.5488733	3.0580741	58.603	-35.765	-168.106	0.0411673	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663040	1	OK	58.4650185	11.6532518	57.7220900	-43.3197995	29.632	-4.905	-244.963	0.0211706	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663040	1	OK	56.1422344	12.1685321	55.2540544	-58.4559920	32.453	-0.967	-238.917	0.0325200	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3663040	1	OK	91.5454572	3.4222753	-91.5482189	3.0567897	58.602	-35.766	-168.093	0.0410689	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663048	1	OK	58.6038256	11.9595125	57.8247173	-43.1696425	28.753	-4.963	-245.416	0.0268680	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663048	1	OK	56.2994802	12.4857902	55.3687729	-58.2064642	31.543	-1.035	-239.303	0.0315712	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3663048	1	OK	91.5452040	3.4224667	-91.5479655	3.0563193	58.603	-35.765	-168.102	0.0411406	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663056	1	OK	58.8221534	12.4451398	57.9841823	-42.8587296	27.270	-4.811	-245.970	0.0247089	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663056	1	OK	56.4789580	13.0134302	55.4726096	-57.8990134	30.076	-1.012	-239.822	0.0331809	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3663056	1	OK	91.5484962	3.4226866	-91.5512640	3.0628103	58.605	-35.771	-168.107	0.0402420	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663064	1	OK	59.0498882	13.0495753	58.1346263	-42.6087299	25.430	-4.614	-246.549	0.0252596	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663064	1	OK	56.7262360	13.6132676	55.6325075	-57.4800843	28.152	-0.783	-240.430	0.0278925	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3663064	1	OK	91.5490642	3.4232163	-91.5518338	3.0639163	58.605	-35.774	-168.108	0.0401225	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663072	1	OK	59.3314028	13.7688334	58.3208028	-42.2774068	23.284	-4.339	-247.340	0.0318994	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663072	1	OK	57.0042558	14.3770599	55.7931114	-57.0669281	26.008	-0.603	-241.284	0.0310815	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3663072	1	OK	91.5519261	3.4232691	-91.5547009	3.0695769	58.601	-35.787	-168.112	0.0400405	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663080	1	OK	59.6751638	14.5216570	58.5627607	-41.8993097	21.164	-4.217	-248.650	0.0323810	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663080	1	OK	57.3463726	15.1405111	56.0159823	-56.5590589	23.832	-0.539	-242.454	0.0298503	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3663080	1	OK	91.5534091	3.4240986	-91.5561879	3.0725041	58.599	-35.796	-168.110	0.0404397	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663088	1	OK	60.0847360	15.2400399	58.8757062	-41.5956805	19.149	-4.165	-249.858	0.0319476	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3663088	1	OK	57.7724530	15.8137540	56.3402144	-56.0257846	21.788	-0.504	-243.652	0.0270474	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	3663088	1	OK	91.5543104	3.4253485	-91.5570929	3.0742704	58.599	-35.800	-168.120	0.0406732	0
