Tools	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831840	1	OK	66.7350832	16.4390460	65.6809353	-40.3101676	37.556	51.956	-298.723	0.0362569	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831840	1	OK	63.7458235	17.1192047	62.4280959	-50.4452823	42.556	53.516	-293.146	0.0338164	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831840	1	OK	59.3618758	-15.2604911	58.1133684	6.1000597	-68.671	41.270	-282.899	0.0251642	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831840	1	OK	61.4652526	-18.2071455	59.8100249	-53.3501644	-60.624	43.332	-283.888	0.0230810	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831848	1	OK	66.7627318	16.4363557	65.7103549	-40.2532246	37.550	51.934	-298.809	0.0366929	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831848	1	OK	63.7785850	17.1272930	62.4614788	-50.3733167	42.546	53.495	-293.223	0.0342042	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831848	1	OK	59.4040200	-14.8422573	58.2273871	6.4183815	-69.320	41.041	-282.975	0.0225463	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831848	1	OK	61.3524648	-17.8643686	59.7545009	-53.4007920	-61.367	43.001	-283.778	0.0217343	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831856	1	OK	66.8083281	16.4439460	65.7572705	-40.1655137	37.538	51.921	-298.920	0.0356728	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831856	1	OK	63.8289204	17.1448169	62.5119549	-50.2667925	42.538	53.492	-293.325	0.0337163	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831856	1	OK	59.4595673	-14.3577188	58.3634453	7.2435399	-69.809	40.576	-283.117	0.0235862	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831856	1	OK	61.4360983	-17.4668604	59.9172050	-53.1223893	-61.937	42.892	-283.770	0.0165075	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831864	1	OK	66.8521203	16.4523452	65.8021848	-40.0797584	37.518	51.896	-299.036	0.0373980	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831864	1	OK	63.9993639	17.1973795	62.6840074	-49.9032344	42.350	53.579	-293.668	0.0485526	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831864	1	OK	59.6735513	-13.9915193	58.6432919	7.8697763	-70.135	40.299	-283.474	0.0266215	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831864	1	OK	61.5377388	-17.2566101	60.0632344	-52.7160746	-62.359	42.674	-284.195	0.0235028	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831872	1	OK	66.8955515	16.4689656	65.8456325	-39.9981260	37.470	51.868	-299.141	0.0358021	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831872	1	OK	63.9167703	17.1720128	62.6006090	-50.0879978	42.463	53.426	-293.500	0.0317961	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831872	1	OK	59.8790758	-13.9153488	58.8688012	8.0368894	-70.263	40.237	-283.690	0.0311513	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831872	1	OK	61.5944731	-17.2507204	60.1245523	-52.4687910	-62.587	42.434	-284.442	0.0219347	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831880	1	OK	66.9443907	16.4984688	65.8930640	-39.9137439	37.422	51.850	-299.232	0.0354289	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831880	1	OK	64.0464711	17.2144217	62.7311696	-49.8669747	42.479	53.202	-293.522	0.0363023	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831880	1	OK	59.8036895	-14.0889432	58.7640779	7.9970212	-69.992	40.262	-283.755	0.0265076	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831880	1	OK	61.6222244	-17.3488239	60.1364909	-52.4699015	-62.233	42.597	-284.346	0.0095760	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831888	1	OK	66.9988721	16.5310520	65.9460289	-39.8217381	37.358	51.849	-299.315	0.0354954	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831888	1	OK	64.1130659	17.3137370	62.7858250	-49.7239305	42.423	53.230	-293.653	0.0431946	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831888	1	OK	59.7265871	-14.4114457	58.6338392	8.0312138	-69.450	40.394	-283.502	0.0261586	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831888	1	OK	61.6194233	-17.6262143	60.0832765	-52.5829336	-61.624	42.809	-284.387	0.0145380	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831896	1	OK	67.0471935	16.5735221	65.9912163	-39.7421720	37.265	51.836	-299.393	0.0323049	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831896	1	OK	64.0630025	17.2888249	62.7367727	-49.8093009	42.270	53.362	-293.776	0.0306218	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831896	1	OK	59.7180169	-14.7506663	58.5710225	7.9360753	-68.987	40.548	-283.626	0.0362918	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831896	1	OK	61.6948103	-17.8620038	60.1202526	-52.5242960	-61.184	42.978	-284.443	0.0212826	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831904	1	OK	67.0901060	16.6296020	66.0289152	-39.6775749	37.157	51.825	-299.457	0.0345127	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831904	1	OK	64.2889821	17.7300659	62.9050675	-49.4265770	41.824	53.281	-294.456	0.0317568	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831904	1	OK	59.7703677	-14.9750385	58.5894717	7.5513303	-68.799	40.635	-283.886	0.0178006	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831904	1	OK	61.8041263	-18.0401411	60.2038414	-52.3017909	-60.904	43.095	-284.607	0.0198927	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831912	1	OK	67.1704288	16.9415812	66.0717005	-39.3885251	37.054	51.922	-299.598	0.0593799	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3831912	1	OK	64.2775428	17.8238319	62.8775188	-49.4460432	41.434	53.361	-294.202	0.0291799	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831912	1	OK	59.7323473	-14.7332808	58.5888132	7.7731126	-69.218	40.585	-283.585	0.0685216	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	3831912	1	OK	61.6804652	-17.8925671	60.0992804	-52.8253092	-61.352	42.850	-284.408	0.0330865	0
