Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,2692960
1,0,PATTERN_START,0,2692960
1, 1, SUCCESS, 0, 3754
1, 2, SUCCESS, 0, 3543
1, 3, SUCCESS, 0, 2844
1, 4, ERROR, 1, 731
1, 4, ERROR, 2, 775
1, 4, ERROR, 3, 787
1, 4, ERROR, 4, 789
1, 4, ERROR, 5, 793
1, 4, ERROR, 6, 808
1, 4, ERROR, 7, 810
1, 4, ERROR, 8, 812
1, 4, ERROR, 9, 820
1, 4, ERROR, 10, 824
1, 4, ERROR, 11, 836
1, 4, ERROR, 12, 868
1, 4, ERROR, 13, 870
1, 4, ERROR, 14, 1146
1, 4, ERROR, 15, 1147
1, 4, ERROR, 16, 1168
1, 4, ERROR, 17, 1180
1, 4, ERROR, 18, 1391
1, 4, ERROR, 19, 1399
1, 4, ERROR, 20, 1400
1, 4, ERROR, 21, 1401
1, 4, ERROR, 22, 1402
1, 4, ERROR, 23, 1403
1, 4, ERROR, 24, 1404
1, 4, ERROR, 25, 1424
1, 4, ERROR, 26, 1495
1, 4, ERROR, 27, 1530
1, 4, ERROR, 28, 1575
1, 4, ERROR, 29, 1626
1, 4, ERROR, 30, 1629
1, 4, ERROR, 31, 1814
1, 4, ERROR, 32, 1816
1, 4, SUCCESS, 0, 1825
1, 5, SUCCESS, 0, 3903
1, 6, SUCCESS, 0, 2958
1,0,PATTERN_FINISH,0,2712183
2,0,PATTERN_START,0,2717184
2, 1, ERROR, 1, 1870
2, 1, ERROR, 2, 1871
2, 1, ERROR, 3, 2124
2, 1, ERROR, 4, 2129
2, 1, ERROR, 5, 2130
2, 1, ERROR, 6, 2138
2, 1, ERROR, 7, 2138
2, 1, ERROR, 8, 3203
2, 1, ERROR, 9, 3222
2, 1, ERROR, 10, 3226
2, 1, ERROR, 11, 3244
2, 1, ERROR, 12, 3330
2, 1, ERROR, 13, 3375
2, 1, ERROR, 14, 3393
2, 1, ERROR, 15, 3420
2, 1, ERROR, 16, 3421
2, 1, ERROR, 17, 3427
2, 1, ERROR, 18, 3430
2, 1, ERROR, 19, 3433
2, 1, ERROR, 20, 3435
2, 1, ERROR, 21, 3438
2, 1, ERROR, 22, 3442
2, 1, SUCCESS, 0, 3450
2, 2, SUCCESS, 0, 4212
2, 3, SUCCESS, 0, 2036
2, 4, SUCCESS, 0, 2045
2, 5, SUCCESS, 0, 2987
2, 6, ERROR, 23, 1468
2, 6, ERROR, 24, 1469
2, 6, ERROR, 25, 1469
2, 6, ERROR, 26, 1471
2, 6, ERROR, 27, 1472
2, 6, ERROR, 28, 1473
2, 6, ERROR, 29, 1474
2, 6, ERROR, 30, 1476
2, 6, ERROR, 31, 1482
2, 6, ERROR, 32, 1484
2, 6, ERROR, 33, 1492
2, 6, ERROR, 34, 1498
2, 6, ERROR, 35, 1712
2, 6, ERROR, 36, 1782
2, 6, ERROR, 37, 1783
2, 6, SUCCESS, 0, 2967
2,0,PATTERN_FINISH,0,2735272
3,0,PATTERN_START,0,2740273
3, 1, SUCCESS, 0, 2195
3, 2, SUCCESS, 0, 2161
3, 3, SUCCESS, 0, 2436
3, 4, ERROR, 1, 1041
3, 4, ERROR, 2, 1045
3, 4, ERROR, 3, 1134
3, 4, ERROR, 4, 1150
3, 4, ERROR, 5, 1151
3, 4, ERROR, 6, 1180
3, 4, ERROR, 7, 1183
3, 4, ERROR, 8, 1184
3, 4, ERROR, 9, 1189
3, 4, ERROR, 10, 1193
3, 4, ERROR, 11, 1194
3, 4, ERROR, 12, 1197
3, 4, ERROR, 13, 1199
3, 4, ERROR, 14, 1202
3, 4, ERROR, 15, 1204
3, 4, ERROR, 16, 1208
3, 4, ERROR, 17, 1222
3, 4, ERROR, 18, 1226
3, 4, ERROR, 19, 1229
3, 4, SUCCESS, 0, 1534
3, 5, SUCCESS, 0, 2541
3, 6, SUCCESS, 0, 2333
3,0,PATTERN_FINISH,0,2753868
4,0,PATTERN_START,0,2801638
4, 1, SUCCESS, 0, 3177
4, 2, SUCCESS, 0, 2426
4, 3, SUCCESS, 0, 2612
4, 4, ERROR, 1, 1077
4, 4, ERROR, 2, 1095
4, 4, ERROR, 3, 1098
4, 4, ERROR, 4, 1099
4, 4, ERROR, 5, 1100
