Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150928,1,OK,45.6252884,1.6260670,45.6027006,-62.8184392,52.502,-1.128,-192.385,0.0314643,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150928,1,OK,42.4272377,3.2041106,42.3289971,-84.5475674,56.921,3.532,-188.526,0.0462234,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4150928,1,OK,91.5092288,3.8478226,-91.5126393,-0.0575676,56.555,-33.186,-168.969,0.0210458,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150936,1,OK,45.6384306,1.6212529,45.6159867,-62.7845500,52.512,-1.149,-192.386,0.0315490,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150936,1,OK,42.4467487,3.2015751,42.3487310,-84.5056580,56.933,3.522,-188.517,0.0458035,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4150936,1,OK,91.5122562,3.8484882,-91.5156748,-0.0577448,56.554,-33.184,-168.973,0.0208639,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150944,1,OK,45.6453101,1.6182659,45.6229543,-62.7709887,52.529,-1.170,-192.390,0.0320230,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150944,1,OK,42.4602097,3.1976458,42.3624792,-84.4660106,56.935,3.511,-188.503,0.0467664,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4150944,1,OK,91.5144917,3.8486216,-91.5179156,-0.0577804,56.555,-33.181,-168.972,0.0208318,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150952,1,OK,45.6477254,1.6133289,45.6255077,-62.7457237,52.543,-1.192,-192.387,0.0319812,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150952,1,OK,42.4684188,3.1954736,42.3708494,-84.4310621,56.942,3.500,-188.503,0.0468267,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4150952,1,OK,91.5167313,3.8491453,-91.5201612,-0.0579870,56.557,-33.179,-168.977,0.0205609,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150960,1,OK,45.6529123,1.6075870,45.6308566,-62.7017954,52.552,-1.208,-192.380,0.0312007,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150960,1,OK,42.4723460,3.1886245,42.3752087,-84.4141176,56.950,3.482,-188.502,0.0474833,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4150960,1,OK,91.5196773,3.8484354,-91.5231126,-0.0580137,56.555,-33.181,-168.983,0.0209852,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150968,1,OK,45.6557436,1.5972332,45.6339733,-62.6872034,52.569,-1.222,-192.375,0.0317332,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150968,1,OK,42.4782841,3.1859426,42.3813307,-84.3865058,56.963,3.473,-188.489,0.0479092,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4150968,1,OK,91.5232489,3.8498517,-91.5266948,-0.0580717,56.558,-33.178,-168.988,0.0209803,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150976,1,OK,45.6594093,1.5933204,45.6377484,-62.6705842,52.596,-1.229,-192.377,0.0326474,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150976,1,OK,42.4808532,3.1811520,42.3842006,-84.3691357,56.976,3.465,-188.487,0.0483161,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4150976,1,OK,91.5255890,3.8487760,-91.5290382,-0.0581305,56.559,-33.176,-168.987,0.0207166,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150984,1,OK,45.6616880,1.5895367,45.6401316,-62.6598666,52.621,-1.223,-192.380,0.0330990,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150984,1,OK,42.4830216,3.1848559,42.3861507,-84.3542705,57.003,3.471,-188.490,0.0479408,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4150984,1,OK,91.5280061,3.8484238,-91.5314602,-0.0583041,56.559,-33.176,-168.988,0.0205359,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150992,1,OK,45.6613831,1.5833913,45.6399930,-62.6491300,52.640,-1.210,-192.385,0.0333616,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4150992,1,OK,42.4800904,3.1730770,42.3839263,-84.3630646,57.016,3.484,-188.488,0.0475839,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4150992,1,OK,91.5293204,3.8480877,-91.5327769,-0.0581775,56.558,-33.176,-168.988,0.0205158,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4151000,1,OK,45.6531140,1.5907521,45.6315182,-62.6499919,52.677,-1.207,-192.408,0.0335489,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4151000,1,OK,42.4773813,3.1776514,42.3809300,-84.3663260,57.047,3.490,-188.504,0.0481477,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,4151000,1,OK,91.5286700,3.8475467,-91.5321240,-0.0582829,56.557,-33.175,-168.989,0.0207450,0
