Tools	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647008	1	OK	48.0504092	13.0210521	46.6763695	15.9330993	29.889	-6.323	-214.430	0.0598091	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647008	1	OK	51.2577447	15.1640800	49.5793207	-6.0454319	23.026	-5.175	-216.265	0.0234898	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647016	1	OK	48.0463364	13.0299458	46.6701550	15.9420903	29.896	-6.339	-214.430	0.0605324	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647016	1	OK	51.2609939	15.1652662	49.5824959	-6.0329341	23.029	-5.177	-216.259	0.0233043	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647024	1	OK	48.0468273	13.0283815	46.6710116	15.9494385	29.898	-6.339	-214.436	0.0607564	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647024	1	OK	51.2604041	15.1624378	49.5825226	-6.0119964	23.030	-5.177	-216.268	0.0232500	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647032	1	OK	48.0405767	13.0215009	46.6659542	15.9801919	29.893	-6.349	-214.450	0.0592703	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647032	1	OK	51.2581976	15.1616839	49.5803545	-6.0016924	23.033	-5.186	-216.275	0.0233733	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647040	1	OK	48.0373433	13.0259967	46.6615800	15.9980954	29.901	-6.355	-214.460	0.0590845	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647040	1	OK	51.2566523	15.1561352	49.5799946	-5.9887507	23.028	-5.190	-216.274	0.0242193	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647048	1	OK	48.0380395	13.0252697	46.6624693	16.0200227	29.901	-6.350	-214.468	0.0587916	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647048	1	OK	51.2554579	15.1523263	49.5796054	-5.9768442	23.027	-5.192	-216.279	0.0244521	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647056	1	OK	48.0415358	13.0247928	46.6662422	16.0218656	29.902	-6.344	-214.472	0.0600112	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647056	1	OK	51.2529572	15.1471812	49.5781377	-5.9675433	23.024	-5.191	-216.270	0.0245243	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647064	1	OK	48.0394062	13.0206373	46.6649143	16.0176044	29.897	-6.347	-214.454	0.0601340	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647064	1	OK	51.2502074	15.1460439	49.5754815	-5.9653718	23.024	-5.196	-216.265	0.0242304	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647072	1	OK	48.0344420	13.0196278	46.6599255	16.0216219	29.896	-6.356	-214.459	0.0607449	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647072	1	OK	51.2509587	15.1423857	49.5771223	-5.9633582	23.022	-5.191	-216.268	0.0245179	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647080	1	OK	48.0266871	13.0175503	46.6522415	16.0115132	29.894	-6.364	-214.452	0.0615629	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	647080	1	OK	51.2460792	15.1420042	49.5720316	-5.9705083	23.023	-5.198	-216.265	0.0246215	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
