Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,1092152
1,0,PATTERN_START,0,1092152
1, 1, SUCCESS, 0, 2236
1, 2, SUCCESS, 0, 2470
1, 3, SUCCESS, 0, 2123
1, 4, SUCCESS, 0, 1549
1, 5, ERROR, 1, 118
1, 5, SUCCESS, 0, 2765
1, 6, SUCCESS, 0, 1589
1,0,PATTERN_FINISH,0,1105278
2,0,PATTERN_START,0,1110280
2, 1, SUCCESS, 0, 2801
2, 2, ERROR, 1, 132
2, 2, SUCCESS, 0, 2021
2, 3, SUCCESS, 0, 2114
2, 4, SUCCESS, 0, 2272
2, 5, SUCCESS, 0, 1800
2, 6, SUCCESS, 0, 1642
2,0,PATTERN_FINISH,0,1123325
3,0,PATTERN_START,0,1128326
3, 1, ERROR, 1, 741
3, 1, ERROR, 2, 743
3, 1, ERROR, 3, 1398
3, 1, ERROR, 4, 1401
3, 1, ERROR, 5, 1408
3, 1, ERROR, 6, 1421
3, 1, ERROR, 7, 1432
3, 1, ERROR, 8, 1442
3, 1, ERROR, 9, 1507
3, 1, ERROR, 10, 1508
3, 1, ERROR, 11, 1642
3, 1, ERROR, 12, 1726
3, 1, ERROR, 13, 1749
3, 1, ERROR, 14, 1751
3, 1, ERROR, 15, 1768
3, 1, ERROR, 16, 1780
3, 1, ERROR, 17, 1783
3, 1, ERROR, 18, 1795
3, 1, ERROR, 19, 1797
3, 1, ERROR, 20, 1854
3, 1, ERROR, 21, 1862
3, 1, ERROR, 22, 1870
3, 1, ERROR, 23, 1873
3, 1, ERROR, 24, 1876
3, 1, ERROR, 25, 1879
3, 1, SUCCESS, 0, 1938
3, 2, ERROR, 26, 377
3, 2, ERROR, 27, 377
3, 2, ERROR, 28, 397
3, 2, ERROR, 29, 440
3, 2, ERROR, 30, 447
3, 2, ERROR, 31, 455
3, 2, ERROR, 32, 456
3, 2, ERROR, 33, 480
3, 2, ERROR, 34, 515
3, 2, ERROR, 35, 538
3, 2, ERROR, 36, 542
3, 2, ERROR, 37, 545
3, 2, SUCCESS, 0, 2785
3, 3, SUCCESS, 0, 2108
3, 4, SUCCESS, 0, 1249
3, 5, SUCCESS, 0, 2856
3, 6, ERROR, 38, 17
3, 6, SUCCESS, 0, 1543
3,0,PATTERN_FINISH,0,1141200
4,0,PATTERN_START,0,1175115
4, 1, SUCCESS, 0, 2922
4, 2, SUCCESS, 0, 3518
4, 3, SUCCESS, 0, 2382
4, 4, SUCCESS, 0, 1505
4, 5, ERROR, 1, 17
4, 5, SUCCESS, 0, 4379
4, 6, SUCCESS, 0, 2849
4,0,PATTERN_FINISH,0,1193066
5,0,PATTERN_START,0,1198066
5, 1, ERROR, 1, 1615
5, 1, ERROR, 2, 1652
5, 1, ERROR, 3, 1654
5, 1, ERROR, 4, 1655
5, 1, ERROR, 5, 1658
5, 1, ERROR, 6, 1751
5, 1, SUCCESS, 0, 1755
5, 2, ERROR, 7, 175
5, 2, SUCCESS, 0, 2281
5, 3, SUCCESS, 0, 1685
5, 4, SUCCESS, 0, 1628
5, 5, SUCCESS, 0, 2677
5, 6, SUCCESS, 0, 2462
5,0,PATTERN_FINISH,0,1210950
6,0,PATTERN_START,0,1215951
6, 1, ERROR, 1, 1468
6, 1, ERROR, 2, 1476
6, 1, ERROR, 3, 1480
6, 1, ERROR, 4, 1833
6, 1, ERROR, 5, 1843
6, 1, SUCCESS, 0, 2887
6, 2, ERROR, 6, 51
6, 2, SUCCESS, 0, 2236
6, 3, SUCCESS, 0, 2429
6, 4, SUCCESS, 0, 2536
6, 5, SUCCESS, 0, 2426
6, 6, SUCCESS, 0, 2415
6,0,PATTERN_FINISH,0,1231275
0,0,TASK_FINISH,0,1231275
