Tools	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131272	1	OK	56.0017188	13.6878029	54.8644427	-66.0900066	22.505	-4.542	-217.344	0.0351911	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131272	1	OK	52.5253863	11.6305467	51.5988402	74.6733741	29.884	-5.074	-216.305	0.0592140	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131272	1	OK	59.6160094	-15.0816013	58.4101096	-55.6060031	-43.217	-31.785	-236.020	0.0143945	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131272	1	OK	58.1331274	-12.0201187	57.3311752	9.8244946	-51.433	-34.091	-235.849	0.0099526	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131280	1	OK	56.0800344	13.5374781	54.9716825	-65.9155436	22.962	-5.403	-217.361	0.0293537	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131280	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131280	1	OK	59.6438783	-15.0993085	58.4364063	-55.6984943	-43.195	-31.729	-236.039	0.0096613	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131280	1	OK	58.1271008	-11.9861779	57.3295867	9.8290783	-51.512	-34.109	-235.814	0.0090820	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131288	1	OK	56.1719638	13.3595905	55.0971933	-65.7498204	23.314	-6.279	-217.332	0.0266391	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131288	1	OK	52.7136939	11.3674672	51.8356110	74.3053298	30.572	-6.519	-215.950	0.0543181	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131288	1	OK	59.6341918	-15.0747745	58.4303101	-55.7021740	-43.264	-31.737	-236.018	0.0083729	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131288	1	OK	58.1132788	-11.9625546	57.3185463	9.8205029	-51.589	-34.134	-235.808	0.0081127	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131296	1	OK	56.2696335	13.1992992	55.2251519	-65.5715267	23.728	-7.107	-217.116	0.0314601	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131296	1	OK	52.8028143	11.2174852	51.9510451	74.1272181	30.989	-7.376	-215.966	0.0630967	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131296	1	OK	59.6352728	-15.0480994	58.4358541	-55.7011075	-43.318	-31.726	-235.988	0.0093648	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131296	1	OK	58.1015339	-11.9436688	57.3090010	9.8085054	-51.649	-34.154	-235.802	0.0072635	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131304	1	OK	56.3438146	13.0334390	55.3290397	-65.4209880	24.182	-7.767	-217.044	0.0319897	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131304	1	OK	52.8798113	11.0983812	52.0487718	73.9774016	31.531	-8.050	-215.911	0.0537106	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131304	1	OK	59.6433375	-15.0243373	58.4482306	-55.6858107	-43.355	-31.713	-235.963	0.0096179	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131304	1	OK	58.1065099	-11.9238123	57.3168243	9.8275487	-51.692	-34.154	-235.790	0.0080039	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131312	1	OK	56.3962984	12.9369517	55.3989155	-65.3074414	24.604	-8.232	-217.019	0.0308299	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131312	1	OK	52.8710547	11.0185769	52.0519139	74.0030090	31.900	-8.592	-215.795	0.0520723	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131312	1	OK	59.6380987	-15.0092239	58.4452279	-55.6998020	-43.380	-31.745	-235.960	0.0104461	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131312	1	OK	58.1164982	-11.9096841	57.3290343	9.8524989	-51.721	-34.164	-235.804	0.0089606	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131320	1	OK	56.3686265	12.8742752	55.3801022	-65.3207900	24.898	-8.599	-217.102	0.0305688	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131320	1	OK	52.8828108	10.9515785	52.0741585	73.9874976	32.227	-8.931	-215.848	0.0517662	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131320	1	OK	59.6508401	-14.9944772	58.4610106	-55.6868903	-43.384	-31.748	-235.978	0.0119427	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131320	1	OK	58.1285161	-11.9030706	57.3423173	9.8467770	-51.733	-34.181	-235.834	0.0084413	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131328	1	OK	56.4127078	12.7928933	55.4386255	-65.2453511	25.146	-8.646	-217.008	0.0340622	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131328	1	OK	52.9318883	10.8624269	52.1380487	73.8778723	32.484	-8.980	-215.820	0.0602331	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131328	1	OK	59.6625907	-14.9870760	58.4745435	-55.6467029	-43.383	-31.761	-236.008	0.0098487	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131328	1	OK	58.1394951	-11.8969218	57.3544653	9.8489030	-51.729	-34.197	-235.872	0.0091074	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131336	1	OK	56.4400902	12.7360988	55.4758816	-65.1827870	25.385	-8.612	-216.885	0.0341468	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131336	1	OK	52.9281581	10.7863690	52.1455145	73.8968550	32.703	-8.955	-215.818	0.0480289	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131336	1	OK	59.6895911	-14.9746840	58.5048755	-55.6054051	-43.380	-31.752	-236.051	0.0113171	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131336	1	OK	58.1578590	-11.8880656	57.3745892	9.8019174	-51.732	-34.207	-235.919	0.0082555	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131344	1	OK	56.4402873	12.7141068	55.4795020	-65.1698493	25.593	-8.593	-216.888	0.0367144	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	131344	1	OK	52.9417420	10.7461526	52.1654280	73.8724089	32.872	-8.911	-215.875	0.0527625	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131344	1	OK	59.7049426	-14.9666450	58.5222806	-55.5805151	-43.385	-31.777	-236.099	0.0111650	0	Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	131344	1	OK	58.1692455	-11.8832521	57.3869741	9.7614279	-51.745	-34.235	-235.969	0.0078195	0
