tion, Event, EventNo, Timestamp
0,0,TASK_START,0,1365604
1,0,PATTERN_START,0,1365604
1, 1, ERROR, 1, 5863
1, 1, ERROR, 2, 5867
1, 1, ERROR, 3, 5875
1, 1, ERROR, 4, 5925
1, 1, ERROR, 5, 5929
1, 1, ERROR, 6, 5930
1, 1, SUCCESS, 0, 6220
1, 2, ERROR, 7, 381
1, 2, ERROR, 8, 389
1, 2, ERROR, 9, 397
1, 2, ERROR, 10, 398
1, 2, SUCCESS, 0, 3123
1, 3, SUCCESS, 0, 3606
1, 4, SUCCESS, 0, 2649
1, 5, SUCCESS, 0, 2429
1, 6, SUCCESS, 0, 2200
1,0,PATTERN_FINISH,0,1386226
2,0,PATTERN_START,0,1391227
2, 1, ERROR, 1, 2368
2, 1, ERROR, 2, 2386
2, 1, ERROR, 3, 2493
2, 1, ERROR, 4, 2545
2, 1, ERROR, 5, 2552
2, 1, ERROR, 6, 2559
2, 1, ERROR, 7, 2576
2, 1, ERROR, 8, 2920
2, 1, ERROR, 9, 2926
2, 1, ERROR, 10, 2929
2, 1, ERROR, 11, 2931
2, 1, ERROR, 12, 2973
2, 1, SUCCESS, 0, 2990
2, 2, ERROR, 13, 21
2, 2, SUCCESS, 0, 3362
2, 3, SUCCESS, 0, 2648
2, 4, SUCCESS, 0, 2628
2, 5, SUCCESS, 0, 3744
2, 6, SUCCESS, 0, 3055
2,0,PATTERN_FINISH,0,1410049
3,0,PATTERN_START,0,1415050
3, 1, SUCCESS, 0, 3011
3, 2, SUCCESS, 0, 2966
3, 3, SUCCESS, 0, 2623
3, 4, SUCCESS, 0, 1746
3, 5, SUCCESS, 0, 5583
3, 6, SUCCESS, 0, 1894
3,0,PATTERN_FINISH,0,1433265
4,0,PATTERN_START,0,1484110
4, 1, SUCCESS, 0, 2730
4, 2, SUCCESS, 0, 1856
4, 3, SUCCESS, 0, 2275
4, 4, SUCCESS, 0, 2325
4, 5, SUCCESS, 0, 2210
4, 6, ERROR, 1, 96
4, 6, SUCCESS, 0, 4202
4,0,PATTERN_FINISH,0,1500102
5,0,PATTERN_START,0,1505102
5, 1, SUCCESS, 0, 2181
5, 2, SUCCESS, 0, 2595
5, 3, SUCCESS, 0, 5586
5, 4, SUCCESS, 0, 1002
5, 5, ERROR, 1, 415
5, 5, ERROR, 2, 417
5, 5, ERROR, 3, 417
5, 5, ERROR, 4, 418
5, 5, ERROR, 5, 418
5, 5, ERROR, 6, 421
5, 5, ERROR, 7, 426
5, 5, ERROR, 8, 516
5, 5, ERROR, 9, 518
5, 5, ERROR, 10, 518
5, 5, ERROR, 11, 519
5, 5, ERROR, 12, 520
5, 5, ERROR, 13, 521
5, 5, ERROR, 14, 521
5, 5, ERROR, 15, 523
5, 5, ERROR, 16, 882
5, 5, ERROR, 17, 886
5, 5, ERROR, 18, 886
5, 5, ERROR, 19, 888
5, 5, ERROR, 20, 888
5, 5, ERROR, 21, 889
5, 5, ERROR, 22, 890
5, 5, ERROR, 23, 893
5, 5, ERROR, 24, 894
5, 5, ERROR, 25, 895
5, 5, ERROR, 26, 897
5, 5, ERROR, 27, 899
5, 5, ERROR, 28, 901
5, 5, ERROR, 29, 902
5, 5, ERROR, 30, 904
5, 5, ERROR, 31, 906
5, 5, ERROR, 32, 908
5, 5, ERROR, 33, 910
5, 5, ERROR, 34, 912
5, 5, SUCCESS, 0, 2733
5, 6, ERROR, 35, 142
5, 6, SUCCESS, 0, 2066
5,0,PATTERN_FINISH,0,1521660
6,0,PATTERN_START,0,1526661
6, 1, ERROR, 1, 2177
6, 1, ERROR, 2, 2180
6, 1, ERROR, 3, 2187
6, 1, ERROR, 4, 2192
6, 1, ERROR, 5, 2273
6, 1, ERROR, 6, 2274
6, 1, ERROR, 7, 2278
6, 1, ERROR, 8, 2279
6, 1, ERROR, 9, 2280
6, 1, ERROR, 10, 2281
6, 1, ERROR, 11, 2371
6, 1, ERROR, 12, 2380
6, 1, SUCCESS, 0, 2643
6, 2, ERROR, 13, 124
6, 2, ERROR, 14, 125
6, 2, ERROR, 15, 126
6, 2, ERROR, 16, 127
6, 2, SUCCESS, 0, 2317
6, 3, SUCCESS, 0, 2685
6, 4, SUCCESS, 0, 1853
6, 5, SUCCESS, 0, 2507
6, 6, SUCCESS, 0, 2711
6,0,PATTERN_FINISH,0,1541770
0,0,TASK_FINISH,0,1541770
