Tools	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013352	1	OK	59.4519839	14.8484447	58.2766122	-34.5654397	21.602	7.187	-259.315	0.0392306	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013352	1	OK	57.8972093	17.3665682	56.1636434	-49.7121619	22.130	11.598	-253.107	0.0325118	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	2013352	1	OK	90.3833463	2.4383550	-90.3836937	-0.2735349	57.796	-35.222	-168.253	0.0436814	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013360	1	OK	59.4262199	14.9677662	58.2299596	-34.4661844	21.399	7.346	-259.242	0.0382017	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013360	1	OK	57.8791391	17.4924762	56.1178036	-49.6438870	21.880	11.722	-253.155	0.0388636	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	2013360	1	OK	90.3827297	2.4374417	-90.3830763	-0.2731068	57.799	-35.221	-168.260	0.0443045	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013368	1	OK	59.4000105	15.1116210	58.1785099	-34.4100928	21.086	7.500	-259.212	0.0377440	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013368	1	OK	57.8899851	17.6117384	56.1040723	-49.5967723	21.477	11.977	-253.038	0.0385387	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	2013368	1	OK	90.3824375	2.4380365	-90.3827840	-0.2729152	57.798	-35.218	-168.263	0.0439352	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013376	1	OK	59.3481262	15.3018858	58.0918853	-34.3517086	20.491	7.527	-259.360	0.0368632	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013376	1	OK	57.8598421	17.8305912	56.0247139	-49.5294503	20.863	12.032	-253.059	0.0330974	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	2013376	1	OK	90.3830402	2.4384488	-90.3833874	-0.2732711	57.801	-35.218	-168.268	0.0434560	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013384	1	OK	59.3598002	15.4502635	58.0787443	-34.2804902	20.046	7.729	-259.279	0.0376798	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013384	1	OK	57.8595577	17.9926429	55.9890886	-49.4119489	20.397	12.184	-253.012	0.0286415	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	2013384	1	OK	90.3805878	2.4386649	-90.3809328	-0.2715259	57.802	-35.212	-168.268	0.0434173	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013392	1	OK	59.3375028	15.4937618	58.0477857	-34.4209161	19.886	7.891	-258.897	0.0362667	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013392	1	OK	57.8556641	17.9974710	55.9838485	-49.5500027	20.232	12.400	-252.758	0.0324935	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	2013392	1	OK	90.3810460	2.4380256	-90.3813912	-0.2718429	57.802	-35.212	-168.272	0.0444967	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013400	1	OK	59.2586878	15.5118868	57.9617214	-34.5592952	19.879	7.990	-258.785	0.0377915	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013400	1	OK	57.7427905	18.0036496	55.8612420	-49.7337303	20.225	12.477	-252.594	0.0279475	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	2013400	1	OK	90.3844337	2.4383983	-90.3847821	-0.2742680	57.804	-35.223	-168.283	0.0453212	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013408	1	OK	59.1229871	15.5109882	57.8190784	-34.7089480	19.824	7.989	-258.585	0.0379096	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013408	1	OK	57.6051121	18.0336930	55.7066493	-49.9524152	20.217	12.451	-252.513	0.0328060	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	2013408	1	OK	90.3841378	2.4372079	-90.3844856	-0.2740616	57.805	-35.222	-168.279	0.0453039	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013416	1	OK	59.0282616	15.5247171	57.7169769	-34.8665933	19.666	8.043	-258.185	0.0451591	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013416	1	OK	57.5092330	18.0295332	55.6045126	-50.1426378	20.046	12.528	-252.111	0.0305440	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	2013416	1	OK	90.3852077	2.4365691	-90.3855563	-0.2748000	57.804	-35.223	-168.278	0.0451955	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013424	1	OK	58.9763413	15.5561846	57.6567834	-34.9139990	19.668	8.135	-257.897	0.0380707	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	2013424	1	OK	57.4641339	18.0499786	55.5514625	-50.2114015	20.067	12.644	-251.725	0.0317041	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	2013424	1	OK	90.3856264	2.4363151	-90.3859753	-0.2751053	57.803	-35.221	-168.284	0.0454351	0
