Tools	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755752	1	OK	46.8733368	2.4060345	46.8259651	-60.7440669	55.230	-9.911	-190.991	0.0333623	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755752	1	OK	44.5226316	2.5341865	44.4655710	-79.3355384	59.244	-5.019	-186.851	0.0372773	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755760	1	OK	46.8066258	2.6913521	46.7471975	-60.6252611	54.097	-9.818	-191.076	0.0328356	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755760	1	OK	44.4845161	2.8124850	44.4141196	-79.3077389	58.052	-4.855	-186.790	0.0423816	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755776	1	OK	47.0226825	3.9370781	46.8962646	-59.5367105	48.851	-8.886	-191.517	0.0243602	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755776	1	OK	44.1465587	4.2972973	43.9798919	-79.5864801	52.657	-4.896	-186.787	0.0711293	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755792	1	OK	46.5768264	5.7475515	46.3022210	-58.8006252	41.790	-8.092	-191.001	0.0361486	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755792	1	OK	44.3356226	6.0882276	44.0020056	-77.8965081	45.215	-2.914	-186.696	0.0420700	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755808	1	OK	46.5524462	6.7060895	46.1774066	-58.5539976	38.542	-7.483	-191.214	0.0345963	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755808	1	OK	44.2040664	7.0906304	43.7481877	-77.8873255	41.725	-2.479	-186.713	0.0398106	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755824	1	OK	46.6288085	7.1048746	46.2085108	-58.4096658	36.966	-7.162	-191.301	0.0348418	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755824	1	OK	44.2986987	7.4418617	43.7976707	-77.8222553	40.068	-2.144	-186.791	0.0390970	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755840	1	OK	46.8975951	6.9056520	46.5044935	-58.5130680	37.905	-8.023	-191.997	0.0375388	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755840	1	OK	44.5449571	7.1645758	44.0849710	-77.7254827	41.042	-3.060	-187.452	0.0386598	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755848	1	OK	47.0297490	6.6695837	46.6649952	-58.3577701	38.998	-8.593	-192.390	0.0321469	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755848	1	OK	44.6809815	6.9311798	44.2528257	-77.5873324	42.218	-3.605	-187.776	0.0383903	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755864	1	OK	47.3267923	5.8153689	47.0529396	-58.4288477	41.948	-9.844	-193.121	0.0326382	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755864	1	OK	44.9893928	6.0343238	44.6691384	-77.3529326	45.286	-4.860	-188.495	0.0419533	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
3	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755872	1	OK	47.4902184	5.4178688	47.2540896	-58.3763124	43.675	-10.504	-193.539	0.0316630	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	3755872	1	OK	45.1234626	5.6111272	44.8481307	-77.1584156	47.044	-5.563	-188.917	0.0350308	0	Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	0	1	Tool Disabled	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-36973140000000000000000000000.0000000	0
