Pattern, Position, Event, EventNo, Tim7874
0,0,TASK_FINISH,0,157874

Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,94223
1,0,PATTERN_START,0,94223
1, 1, SUCCESS, 0, 3094
1, 2, SUCCESS, 0, 2382
1, 3, SUCCESS, 0, 3192
1, 4, SUCCESS, 0, 1907
1, 5, SUCCESS, 0, 2965
1, 6, SUCCESS, 0, 3467
1,0,PATTERN_FINISH,0,111624
2,0,PATTERN_START,0,116624
2, 1, SUCCESS, 0, 2323
2, 2, SUCCESS, 0, 3329
2, 3, SUCCESS, 0, 2555
2, 4, SUCCESS, 0, 1764
2, 5, SUCCESS, 0, 2169
2, 6, SUCCESS, 0, 1764
2,0,PATTERN_FINISH,0,130924
3,0,PATTERN_START,0,135924
3, 1, SUCCESS, 0, 2367
3, 2, SUCCESS, 0, 1830
3, 3, SUCCESS, 0, 2001
3, 4, SUCCESS, 0, 1853
3, 5, SUCCESS, 0, 2441
3, 6, SUCCESS, 0, 2151
3,0,PATTERN_FINISH,0,148960
4,0,PATTERN_START,0,187350
4, 1, SUCCESS, 0, 1856
4, 2, SUCCESS, 0, 1529
4, 3, SUCCESS, 0, 2159
4, 4, SUCCESS, 0, 1850
4, 5, SUCCESS, 0, 2577
4, 6, SUCCESS, 0, 2111
4,0,PATTERN_FINISH,0,199826
5,0,PATTERN_START,0,204826
5, 1, SUCCESS, 0, 1657
5, 2, SUCCESS, 0, 1448
5, 3, SUCCESS, 0, 1880
5, 4, SUCCESS, 0, 1879
5, 5, SUCCESS, 0, 1633
5, 6, SUCCESS, 0, 2028
5,0,PATTERN_FINISH,0,215745
6,0,PATTERN_START,0,220745
6, 1, SUCCESS, 0, 2137
6, 2, ERROR, 1, 179
6, 2, SUCCESS, 0, 3118
6, 3, SUCCESS, 0, 1339
6, 4, SUCCESS, 0, 1744
6, 5, SUCCESS, 0, 2068
6, 6, SUCCESS, 0, 2222
6,0,PATTERN_FINISH,0,233765
0,0,TASK_FINISH,0,233766
