Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238776,1,OK,48.0772994,16.4453822,45.8430412,-63.6887331,46.783,88.248,-290.711,0.0318268,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238776,1,OK,46.1237707,15.9907823,43.8627942,-80.7408810,51.320,91.777,-285.904,0.0519933,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,0,1,Tool Disabled,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-36973140000000000000000000000.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238800,1,OK,47.8353400,16.4217212,45.5881562,-63.8124386,44.643,83.856,-285.845,0.0332968,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238800,1,OK,45.8816203,16.1501669,43.5524061,-80.9641715,49.306,87.388,-281.220,0.0300493,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,0,1,Tool Disabled,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-36973140000000000000000000000.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238808,1,OK,47.7341316,16.5398138,45.4442774,-63.7513424,44.141,82.953,-284.823,0.0329591,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238808,1,OK,45.7378217,16.1504361,43.3963073,-81.1242671,48.652,86.503,-280.124,0.0292120,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,0,1,Tool Disabled,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-36973140000000000000000000000.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238824,1,OK,47.5480646,16.7953314,45.1666894,-63.4754321,43.269,81.855,-283.155,0.0371648,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238824,1,OK,45.6008560,16.4509902,43.1540477,-81.0359358,47.630,85.547,-278.331,0.0388041,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,0,1,Tool Disabled,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-36973140000000000000000000000.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238840,1,OK,47.3389692,17.0292337,44.8680149,-63.3504437,42.213,80.563,-281.428,0.0325066,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238840,1,OK,45.3632650,16.6509360,42.8311355,-81.2029354,46.442,84.304,-276.476,0.0272865,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,0,1,Tool Disabled,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-36973140000000000000000000000.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238848,1,OK,47.2493978,17.1310732,44.7387921,-63.2708034,41.534,79.805,-280.214,0.0286964,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238848,1,OK,45.3592762,16.8034535,42.7772826,-81.0737294,45.796,83.688,-275.391,0.0373997,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,0,1,Tool Disabled,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-36973140000000000000000000000.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238872,1,OK,46.9248458,17.6040200,44.2327727,-63.3213083,39.602,77.919,-277.286,0.0350473,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238872,1,OK,45.0080767,17.2755066,42.2337725,-81.3693497,43.680,81.856,-272.383,0.0391301,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,0,1,Tool Disabled,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-36973140000000000000000000000.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238888,1,OK,46.7306496,17.7724021,43.9637371,-63.4175143,39.077,77.616,-276.122,0.0299251,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238888,1,OK,44.8118821,17.4325111,41.9630060,-81.7288848,43.122,81.588,-271.283,0.0337124,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,0,1,Tool Disabled,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-36973140000000000000000000000.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238896,1,OK,46.5547384,17.8684764,43.7376621,-63.5366819,38.843,77.667,-275.793,0.0274949,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238896,1,OK,44.6285427,17.5237389,41.7281937,-81.9402308,42.893,81.708,-270.963,0.0362813,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,0,1,Tool Disabled,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-36973140000000000000000000000.0000000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238904,1,OK,46.3934867,17.9393356,43.5356057,-63.7923945,38.732,77.901,-275.687,0.0253707,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,4238904,1,OK,44.4725422,17.6216740,41.5204657,-82.2536963,42.830,81.941,-270.900,0.0315985,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,0,1,Tool Disabled,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-36973140000000000000000000000.0000000,0
