Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658128,1,OK,50.6538024,13.7245881,49.2591196,20.3851224,27.137,-7.833,-215.585,0.0477620,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658128,1,OK,52.3130549,15.2803912,50.6725657,0.3884046,20.166,-6.876,-217.691,0.0353444,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658128,1,OK,52.8883100,-14.8048015,51.3846292,-62.8299935,-43.771,-14.240,-212.428,0.0248322,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658128,1,OK,52.8237031,-11.5081421,51.9268680,20.0043857,-50.764,-18.069,-214.394,0.0382001,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658136,1,OK,50.6683159,13.7166709,49.2760325,20.3803317,27.151,-7.857,-215.629,0.0477922,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658136,1,OK,52.3377694,15.2688585,50.7013536,0.4337288,20.138,-6.892,-217.742,0.0352191,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658136,1,OK,52.8917404,-14.8431740,51.3801389,-62.7447073,-43.701,-14.113,-212.307,0.0309194,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658136,1,OK,52.8087543,-11.5382232,51.9066201,19.9989915,-50.709,-17.991,-214.347,0.0352691,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658144,1,OK,50.6817821,13.7112468,49.2913186,20.3868221,27.149,-7.898,-215.686,0.0467949,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658144,1,OK,52.3584960,15.3011459,50.7161145,0.4105745,20.130,-6.949,-217.818,0.0349222,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658144,1,OK,52.8513699,-14.8428690,51.3375724,-62.7858639,-43.662,-14.092,-212.287,0.0291425,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658144,1,OK,52.7765095,-11.5525291,51.8710140,19.9897913,-50.672,-17.966,-214.327,0.0341351,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658152,1,OK,50.7041148,13.7096264,49.3151191,20.3931313,27.151,-7.938,-215.742,0.0464621,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658152,1,OK,52.3645182,15.2863017,50.7258213,0.4232457,20.082,-6.962,-217.835,0.0275225,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658152,1,OK,52.8564962,-14.7929330,51.3535512,-62.7380304,-43.515,-13.875,-212.064,0.0283298,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658152,1,OK,52.8151785,-11.5504352,51.9113019,19.7683868,-50.597,-17.795,-214.150,0.0269911,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658160,1,OK,50.7318976,13.7094416,49.3443423,20.3877985,27.168,-7.979,-215.810,0.0476195,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658160,1,OK,52.3776836,15.2902076,50.7389104,0.3989052,20.147,-6.993,-217.872,0.0280826,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658160,1,OK,52.8048024,-14.8777052,51.2809850,-62.7964080,-43.573,-13.921,-212.034,0.0312163,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658160,1,OK,52.8145807,-11.5369980,51.9128353,19.9424316,-50.498,-17.618,-213.989,0.0298397,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658168,1,OK,50.7475370,13.6980518,49.3631539,20.4133145,27.183,-8.030,-215.896,0.0474781,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658168,1,OK,52.3792821,15.2611859,50.7470830,0.3927851,20.199,-7.039,-217.949,0.0289329,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658168,1,OK,52.7986938,-14.8721435,51.2757164,-62.8743809,-43.492,-13.820,-211.936,0.0257846,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658168,1,OK,52.7690425,-11.5703607,51.8604348,20.1381566,-50.469,-17.617,-213.926,0.0361171,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658176,1,OK,50.7622072,13.6780083,49.3827489,20.4289914,27.218,-8.101,-215.978,0.0470501,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658176,1,OK,52.3879304,15.2219272,50.7649888,0.4292617,20.273,-7.109,-218.005,0.0293903,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658176,1,OK,52.8077973,-14.9340395,51.2721255,-62.8113181,-43.535,-13.864,-211.977,0.0286064,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658176,1,OK,52.7359569,-11.6184913,51.8184815,20.2762245,-50.445,-17.719,-213.918,0.0409775,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658184,1,OK,50.7839195,13.6609798,49.4090982,20.4294585,27.268,-8.166,-216.044,0.0470601,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658184,1,OK,52.4305097,15.1908974,50.8169932,0.4848792,20.421,-7.230,-218.136,0.0444672,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658184,1,OK,52.8381906,-14.9400802,51.3029544,-62.8176322,-43.445,-13.781,-211.958,0.0228016,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658184,1,OK,52.7938599,-11.5992802,51.8814278,20.2491909,-50.332,-17.582,-213.879,0.0388892,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658192,1,OK,50.7996501,13.6474000,49.4284396,20.4453960,27.332,-8.223,-216.107,0.0472527,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658192,1,OK,52.4546393,15.1611169,50.8491372,0.5155695,20.515,-7.290,-218.170,0.0459646,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658192,1,OK,52.8420042,-14.9328351,51.3085327,-62.8150326,-43.264,-13.702,-211.922,0.0183948,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658192,1,OK,52.7951496,-11.6204404,51.8793495,20.0789305,-50.201,-17.538,-213.902,0.0321084,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658200,1,OK,50.8398581,13.6008558,49.4802938,20.2878760,27.551,-8.478,-215.953,0.0595748,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1658200,1,OK,52.4621070,15.1467132,50.8602225,0.5147400,20.570,-7.298,-218.181,0.0437964,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658200,1,OK,52.7845057,-15.0196535,51.2291205,-62.8787591,-43.183,-13.817,-211.948,0.0272809,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1658200,1,OK,52.7575325,-11.7028947,51.8270923,20.1511790,-50.098,-17.586,-213.949,0.0343135,0
