Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776728,1,OK,50.1363495,13.1419722,48.8371619,22.3329208,28.390,-6.712,-213.766,0.0467416,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776728,1,OK,51.9340015,14.6911434,50.4012220,1.5982621,21.578,-5.850,-216.063,0.0253900,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776728,1,OK,51.9058987,-14.3133562,50.4523418,-62.5393372,-44.644,-13.334,-210.292,0.0175779,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776728,1,OK,52.1777107,-11.1659579,51.3144157,21.8228857,-51.390,-17.522,-212.832,0.0341413,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776736,1,OK,50.1333722,13.1459671,48.8332290,22.3160017,28.396,-6.714,-213.775,0.0478733,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776736,1,OK,51.9323744,14.6938765,50.3989104,1.5952812,21.583,-5.848,-216.065,0.0252267,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776736,1,OK,51.8957965,-14.3347238,50.4371935,-62.5504846,-44.612,-13.376,-210.312,0.0218548,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776736,1,OK,52.1813340,-11.1770401,51.3164007,21.8750994,-51.349,-17.557,-212.844,0.0362472,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776744,1,OK,50.1398970,13.1543345,48.8383516,22.3063090,28.412,-6.697,-213.793,0.0480901,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776744,1,OK,51.9326427,14.6991372,50.3980523,1.5902984,21.591,-5.841,-216.079,0.0248634,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776744,1,OK,51.8778018,-14.3846422,50.4076685,-62.6363781,-44.591,-13.457,-210.322,0.0233880,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776744,1,OK,52.1876169,-11.1878022,51.3211786,21.8887070,-51.302,-17.600,-212.866,0.0370610,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776752,1,OK,50.1361325,13.1546558,48.8343442,22.3037409,28.411,-6.692,-213.810,0.0470886,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776752,1,OK,51.9336168,14.7010441,50.3986675,1.5753218,21.595,-5.830,-216.082,0.0251271,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776752,1,OK,51.9200950,-14.4116186,50.4465221,-62.6870180,-44.454,-13.451,-210.321,0.0164525,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776752,1,OK,52.2024082,-11.3130368,51.3164981,21.9364551,-50.802,-17.723,-212.943,0.0383653,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776760,1,OK,50.1341436,13.1556074,48.8320671,22.3033682,28.417,-6.684,-213.825,0.0459851,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776760,1,OK,51.9352047,14.7025573,50.4000164,1.5607980,21.599,-5.815,-216.086,0.0243895,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776760,1,OK,52.0089193,-14.5236457,50.5163401,-62.3000844,-43.875,-13.320,-210.371,0.0245234,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776760,1,OK,52.2677622,-11.3421710,51.3793001,21.8466858,-50.438,-17.526,-212.827,0.0349163,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776768,1,OK,50.1310292,13.1566739,48.8285881,22.2964756,28.422,-6.681,-213.833,0.0457634,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776768,1,OK,51.9367598,14.6991022,50.4024091,1.5443061,21.600,-5.800,-216.079,0.0246365,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776768,1,OK,52.0265397,-14.5600695,50.5271464,-62.2633594,-43.661,-13.204,-210.307,0.0180066,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776768,1,OK,52.2176911,-11.4137207,51.3160778,21.9585249,-50.337,-17.598,-212.858,0.0374694,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776776,1,OK,50.1270365,13.1617001,48.8233794,22.2802485,28.432,-6.684,-213.848,0.0458264,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776776,1,OK,51.9395360,14.6992381,50.4053123,1.5286555,21.603,-5.786,-216.088,0.0245024,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776776,1,OK,51.9233841,-14.6345016,50.4022690,-62.4923910,-43.630,-13.444,-210.360,0.0184233,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776776,1,OK,52.2417799,-11.4698702,51.3318662,22.0976732,-50.247,-17.572,-212.874,0.0426186,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776784,1,OK,50.1218966,13.1686031,48.8165845,22.2803216,28.444,-6.685,-213.862,0.0455136,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776784,1,OK,51.9419621,14.7026571,50.4071332,1.5150383,21.612,-5.774,-216.084,0.0250005,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776784,1,OK,51.9393680,-14.6338838,50.4192788,-62.3998371,-43.559,-13.406,-210.348,0.0290903,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776784,1,OK,52.2361276,-11.4617355,51.3273468,21.8319020,-50.145,-17.582,-212.878,0.0324400,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776792,1,OK,50.1308129,13.1666746,48.8263163,22.2760579,28.447,-6.654,-213.856,0.0455796,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776792,1,OK,51.9423844,14.7042542,50.4072327,1.5137066,21.621,-5.763,-216.089,0.0250926,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776792,1,OK,51.9720882,-14.6500707,50.4503329,-62.2533417,-43.471,-13.432,-210.349,0.0240902,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776792,1,OK,52.2609142,-11.4707280,51.3514967,21.9968374,-50.050,-17.636,-212.839,0.0381068,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776800,1,OK,50.1250759,13.1652006,48.8206103,22.2812317,28.446,-6.647,-213.848,0.0444933,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1776800,1,OK,51.9390878,14.6958532,50.4055732,1.5209741,21.618,-5.754,-216.083,0.0259495,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776800,1,OK,51.9614791,-14.7036847,50.4275275,-62.3603843,-43.414,-13.663,-210.444,0.0250107,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1776800,1,OK,52.3084765,-11.5122950,51.3938906,22.0759769,-49.951,-17.742,-212.860,0.0405390,0
