Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131944,1,OK,53.0316887,18.7888840,50.5634631,-45.2508146,23.633,45.046,-259.131,0.0329189,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131944,1,OK,51.4341196,19.5203495,48.5908797,-62.7382511,25.538,49.680,-253.558,0.0296153,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,131944,1,OK,91.3672466,5.1163554,-91.3727170,-2.6649312,53.390,-35.397,-168.294,0.0507545,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131952,1,OK,53.0423073,19.2249371,50.4513050,-44.7401941,22.746,45.328,-259.426,0.0350126,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131952,1,OK,51.4930063,20.0059953,48.5020591,-62.2527988,24.506,50.025,-253.777,0.0326383,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,131952,1,OK,91.3676443,5.1167880,-91.3731173,-2.6657450,53.386,-35.395,-168.291,0.0503897,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131960,1,OK,53.0949725,19.7461180,50.3567203,-44.2031924,21.710,45.685,-259.755,0.0369199,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131960,1,OK,51.5781396,20.5607261,48.4153577,-61.6943899,23.322,50.449,-254.095,0.0300392,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,131960,1,OK,91.3681207,5.1155290,-91.3735928,-2.6666613,53.386,-35.394,-168.285,0.0499008,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131968,1,OK,53.1742376,20.3068518,50.2748392,-43.5242040,20.662,46.135,-259.986,0.0394443,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131968,1,OK,51.6613255,21.1539051,48.3078012,-61.1896394,22.086,50.926,-254.379,0.0294654,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,131968,1,OK,91.3666319,5.1146037,-91.3720961,-2.6637083,53.390,-35.390,-168.278,0.0500153,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131976,1,OK,53.2349524,20.8061868,50.1865496,-43.0184475,19.675,46.557,-260.333,0.0383356,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131976,1,OK,51.7756734,21.7508922,48.2277880,-60.5862458,21.022,51.374,-254.713,0.0287033,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,131976,1,OK,91.3671134,5.1153371,-91.3725812,-2.6646574,53.392,-35.389,-168.273,0.0508202,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131984,1,OK,53.2937923,21.1737529,50.1346668,-42.6942586,19.075,46.795,-260.594,0.0375408,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131984,1,OK,51.8660834,22.1320293,48.1933238,-60.2000911,20.321,51.648,-254.954,0.0304252,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,131984,1,OK,91.3679494,5.1155968,-91.3734210,-2.6662405,53.399,-35.388,-168.267,0.0516323,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131992,1,OK,53.3004388,21.3373667,50.0889261,-42.6921255,18.964,46.871,-260.638,0.0376600,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,131992,1,OK,51.8793852,22.2836041,48.1531114,-60.1636304,20.179,51.739,-255.048,0.0288802,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,131992,1,OK,91.3692159,5.1151963,-91.3746917,-2.6686740,53.403,-35.387,-168.269,0.0516613,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,132000,1,OK,53.2598460,21.1571083,50.1020293,-43.0493178,19.249,46.879,-260.359,0.0405679,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,132000,1,OK,51.7978257,22.0598177,48.1418332,-60.6191118,20.496,51.719,-254.721,0.0257142,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,132000,1,OK,91.3696745,5.1146984,-91.3751511,-2.6695781,53.405,-35.387,-168.273,0.0520070,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,132008,1,OK,53.1503205,20.7756935,50.1017972,-43.7324240,19.852,46.817,-260.042,0.0387519,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,132008,1,OK,51.6474408,21.6088917,48.1329594,-61.3008711,21.235,51.617,-254.388,0.0247935,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,132008,1,OK,91.3687047,5.1157770,-91.3741798,-2.6676473,53.402,-35.386,-168.282,0.0517860,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,132016,1,OK,52.9718282,20.3135415,50.0480776,-44.4948405,20.567,46.723,-259.641,0.0376350,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,132016,1,OK,51.4339519,21.1452053,48.0546294,-62.0926320,22.166,51.460,-254.089,0.0257557,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,132016,1,OK,91.3670242,5.1166987,-91.3724945,-2.6643236,53.401,-35.379,-168.284,0.0516290,0
