Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546552,1,OK,51.7895152,12.4660787,50.6921193,-39.5393129,32.393,32.038,-253.708,0.0347147,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546552,1,OK,50.3520704,14.6055928,48.7476722,-59.5290714,33.012,37.175,-248.240,0.0336218,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546552,1,OK,50.9595678,-15.5932260,49.1608859,-37.4938497,-48.548,6.627,-220.423,0.0164375,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546552,1,OK,53.5024298,-13.9931153,52.1947845,48.9391713,-49.347,1.012,-226.269,0.0257233,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546560,1,OK,51.9937041,12.5512673,50.8890940,-39.3849611,32.024,31.675,-253.873,0.0326819,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546560,1,OK,50.5472538,14.7266529,48.9266132,-59.2034862,32.680,36.747,-248.404,0.0319121,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546560,1,OK,51.1829669,-15.4484602,49.4333881,-37.3544630,-48.914,5.755,-221.014,0.0175871,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546560,1,OK,53.7868556,-13.8658358,52.5171866,48.5872429,-49.707,0.237,-226.917,0.0239069,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546568,1,OK,52.1911745,12.7367145,51.0609143,-39.2347411,31.526,31.314,-254.269,0.0329102,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546568,1,OK,50.7394345,14.9289159,49.0837349,-58.9006928,32.159,36.324,-248.748,0.0307201,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546568,1,OK,51.4929672,-15.4389139,49.7654020,-37.1391067,-48.775,5.154,-221.551,0.0180675,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546568,1,OK,54.0488300,-13.8304979,52.7981124,48.2198276,-49.563,-0.429,-227.473,0.0226996,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546576,1,OK,52.3982188,12.9635039,51.2349859,-39.0653326,30.864,30.837,-254.800,0.0386707,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546576,1,OK,51.0029292,15.1346063,49.3156393,-58.6174158,31.522,35.922,-249.314,0.0351501,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546576,1,OK,51.7404810,-15.4916447,50.0163240,-37.0204413,-48.196,4.478,-221.824,0.0176791,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546576,1,OK,54.3140627,-13.8596459,53.0702820,47.7627119,-48.970,-0.994,-227.743,0.0262409,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546584,1,OK,52.7203098,13.1531334,51.5358389,-38.8275158,30.368,30.476,-255.420,0.0378417,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546584,1,OK,51.2884679,15.2810348,49.5848448,-58.2711771,30.939,35.507,-249.816,0.0314999,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546584,1,OK,52.0538127,-15.6007048,50.3242762,-36.7829127,-47.326,3.852,-221.917,0.0180683,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546584,1,OK,54.6288182,-13.9843753,53.3766559,47.2711236,-48.225,-1.655,-227.821,0.0234011,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546592,1,OK,53.0545446,13.3348760,51.8509947,-38.5667496,30.035,30.008,-255.930,0.0365189,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546592,1,OK,51.6113973,15.4998259,49.8771271,-57.8973254,30.610,34.975,-250.450,0.0319571,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546592,1,OK,52.4302672,-15.8347179,50.6706962,-36.5938178,-46.200,3.071,-222.099,0.0216874,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546592,1,OK,54.9869774,-14.1791422,53.7157379,46.8232566,-47.113,-2.376,-227.953,0.0187375,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546600,1,OK,53.3874936,13.5014558,52.1678259,-38.3295690,29.629,29.382,-256.345,0.0374028,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546600,1,OK,51.9549650,15.6796856,50.2006995,-57.4820000,30.226,34.340,-250.862,0.0324647,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546600,1,OK,52.8747095,-16.1872036,51.0622794,-36.0789130,-44.957,2.428,-222.503,0.0240211,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546600,1,OK,55.3567096,-14.4869521,54.0461346,46.2715011,-45.935,-3.097,-228.481,0.0255263,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546608,1,OK,53.7372643,13.7073166,52.4951177,-38.0298894,29.271,28.751,-256.756,0.0364082,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546608,1,OK,52.3090803,15.8427126,50.5397384,-57.0063037,29.805,33.714,-251.094,0.0314514,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546608,1,OK,53.2024485,-16.5048081,51.3375645,-35.8687037,-43.984,1.823,-223.215,0.0219172,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546608,1,OK,55.6733623,-14.8301354,54.3140672,45.7392885,-45.063,-3.679,-229.270,0.0250826,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546616,1,OK,54.0702150,13.8527446,52.8163374,-37.7899112,28.897,28.284,-256.991,0.0413235,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546616,1,OK,52.6500303,15.9941252,50.8677649,-56.5564836,29.467,33.188,-251.279,0.0356035,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546616,1,OK,53.5014794,-16.7769577,51.5928984,-35.6102704,-43.056,1.279,-223.873,0.0140958,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546616,1,OK,56.0487238,-15.0720986,54.6630042,45.1896331,-44.090,-4.011,-229.877,0.0245017,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546624,1,OK,54.3171543,13.9872521,53.0497324,-37.5697962,28.670,27.905,-257.322,0.0413745,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2546624,1,OK,52.9038077,16.1299178,51.1067302,-56.2204844,29.214,32.799,-251.559,0.0335403,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546624,1,OK,53.9016642,-17.0950537,51.9457932,-35.5240770,-42.063,0.974,-224.411,0.0151015,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2546624,1,OK,56.3600984,-15.3764002,54.9327713,44.7535611,-43.150,-4.471,-230.516,0.0174767,0
