Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,385311
1,0,PATTERN_START,0,385311
1, 1, SUCCESS, 0, 4091
1, 2, SUCCESS, 0, 3050
1, 3, SUCCESS, 0, 3235
1, 4, SUCCESS, 0, 1372
1, 5, ERROR, 1, 99
1, 5, SUCCESS, 0, 4504
1, 6, SUCCESS, 0, 2597
1,0,PATTERN_FINISH,0,404554
2,0,PATTERN_START,0,409554
2, 1, SUCCESS, 0, 5805
2, 2, SUCCESS, 0, 2790
2, 3, SUCCESS, 0, 3638
2, 4, SUCCESS, 0, 2392
2, 5, SUCCESS, 0, 4955
2, 6, SUCCESS, 0, 2551
2,0,PATTERN_FINISH,0,432081
3,0,PATTERN_START,0,437083
3, 1, SUCCESS, 0, 3469
3, 2, SUCCESS, 0, 2761
3, 3, SUCCESS, 0, 3766
3, 4, SUCCESS, 0, 3609
3, 5, SUCCESS, 0, 3100
3, 6, SUCCESS, 0, 2602
3,0,PATTERN_FINISH,0,456785
4,0,PATTERN_START,0,530768
4, 1, SUCCESS, 0, 3344
4, 2, SUCCESS, 0, 2780
4, 3, SUCCESS, 0, 2082
4, 4, ERROR, 1, 188
4, 4, SUCCESS, 0, 2590
4, 5, SUCCESS, 0, 2494
4, 6, SUCCESS, 0, 2150
4,0,PATTERN_FINISH,0,546606
5,0,PATTERN_START,0,551607
5, 1, ERROR, 1, 4763
5, 1, ERROR, 2, 5033
5, 1, ERROR, 3, 5039
5, 1, ERROR, 4, 5040
5, 1, ERROR, 5, 5043
5, 1, ERROR, 6, 5044
5, 1, ERROR, 7, 5046
5, 1, ERROR, 8, 5046
5, 1, ERROR, 9, 5047
5, 1, SUCCESS, 0, 6349
5, 2, SUCCESS, 0, 2023
5, 3, SUCCESS, 0, 2292
5, 4, SUCCESS, 0, 2312
5, 5, SUCCESS, 0, 2683
5, 6, SUCCESS, 0, 1866
5,0,PATTERN_FINISH,0,569524
6,0,PATTERN_START,0,574524
6, 1, SUCCESS, 0, 2083
6, 2, SUCCESS, 0, 2025
6, 3, SUCCESS, 0, 1947
6, 4, SUCCESS, 0, 3193
6, 5, SUCCESS, 0, 2926
6, 6, SUCCESS, 0, 2437
6,0,PATTERN_FINISH,0,589530
0,0,TASK_FINISH,0,589531

