Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652080,1,OK,57.0555095,17.5638682,55.2205854,-25.5058627,4.337,-17.311,-234.630,0.0508677,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652080,1,OK,56.4942729,17.6379640,54.6021310,-45.9930008,3.506,-12.408,-228.921,0.0249725,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5652080,1,OK,91.3159066,5.0461779,-91.3210277,-2.5625913,50.372,-35.539,-168.346,0.0486318,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652088,1,OK,57.0076105,17.5684820,55.1682344,-25.5628929,4.216,-17.480,-234.354,0.0474310,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652088,1,OK,56.4417105,17.6405164,54.5451312,-46.0714315,3.374,-12.579,-228.711,0.0256489,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5652088,1,OK,91.3177088,5.0450623,-91.3228346,-2.5660553,50.367,-35.543,-168.344,0.0492152,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652096,1,OK,56.9887109,17.5691945,55.1478202,-25.5851103,4.216,-17.726,-234.096,0.0478840,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652096,1,OK,56.4286041,17.6202236,54.5356558,-46.1177096,3.349,-12.797,-228.480,0.0285035,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5652096,1,OK,91.3196524,5.0470875,-91.3247899,-2.5699048,50.360,-35.554,-168.355,0.0490834,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652104,1,OK,56.9943520,17.5310748,55.1622586,-25.6010043,4.172,-17.820,-233.832,0.0513920,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652104,1,OK,56.4192892,17.5778651,54.5352308,-46.1506742,3.310,-12.914,-228.157,0.0263247,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5652104,1,OK,91.3189131,5.0479113,-91.3240494,-2.5684579,50.362,-35.552,-168.356,0.0480544,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652112,1,OK,56.9796784,17.5025009,55.1528153,-25.6274861,4.089,-17.970,-233.760,0.0459357,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652112,1,OK,56.4109065,17.5714549,54.5276830,-46.1835812,3.254,-13.099,-228.112,0.0300163,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5652112,1,OK,91.3184188,5.0501515,-91.3235577,-2.5675191,50.364,-35.548,-168.359,0.0471983,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652120,1,OK,56.9803641,17.5144994,55.1509146,-25.6183205,3.925,-18.237,-233.803,0.0453695,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652120,1,OK,56.4159330,17.5683787,54.5337700,-46.1757075,3.069,-13.323,-228.099,0.0310917,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5652120,1,OK,91.3188563,5.0495213,-91.3239956,-2.5683364,50.363,-35.549,-168.357,0.0473624,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652128,1,OK,56.9956912,17.5691011,55.1553225,-25.6378418,3.757,-18.390,-233.736,0.0432186,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652128,1,OK,56.4287664,17.6360035,54.5322579,-46.1756292,2.926,-13.504,-228.003,0.0282830,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5652128,1,OK,91.3164934,5.0496580,-91.3216238,-2.5637296,50.359,-35.543,-168.364,0.0469087,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652136,1,OK,57.0096496,17.5359647,55.1775753,-25.6394600,3.637,-18.517,-233.600,0.0451296,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652136,1,OK,56.4532353,17.6168723,54.5628503,-46.1727191,2.846,-13.611,-227.909,0.0288081,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5652136,1,OK,91.3153894,5.0496863,-91.3205156,-2.5614951,50.362,-35.538,-168.363,0.0470674,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652144,1,OK,57.0173405,17.5388376,55.1851848,-25.6506115,3.685,-18.748,-233.489,0.0469776,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652144,1,OK,56.4476274,17.6047954,54.5595601,-46.1905524,2.876,-13.857,-227.788,0.0248496,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5652144,1,OK,91.3150959,5.0517037,-91.3202250,-2.5609938,50.364,-35.536,-168.362,0.0469041,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652152,1,OK,56.9851044,17.5138713,55.1561312,-25.6726469,3.620,-18.929,-233.402,0.0481003,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5652152,1,OK,56.4246542,17.5989667,54.5362227,-46.1637800,2.822,-14.033,-227.646,0.0275287,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5652152,1,OK,91.3155868,5.0507459,-91.3207159,-2.5618606,50.366,-35.538,-168.356,0.0470286,0
