Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757336,1,OK,52.7375280,5.2154872,52.5560969,-33.5270690,44.309,10.970,-239.255,0.0286512,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757336,1,OK,51.3608593,7.6607153,50.9471834,-56.0624114,45.321,15.664,-233.478,0.0368916,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757336,1,OK,54.2209322,-11.9851276,53.2953617,42.6926778,-59.768,17.376,-246.469,0.0242906,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757336,1,OK,52.1569244,-14.0365684,50.7738312,-42.3892752,-57.602,22.919,-240.858,0.0113141,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757344,1,OK,52.5396920,5.1288302,52.3630037,-33.8922450,44.423,11.366,-238.707,0.0315037,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757344,1,OK,51.1703987,7.6414014,50.7559987,-56.3978029,45.543,16.028,-232.903,0.0394929,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757344,1,OK,54.2996350,-12.0772871,53.3621706,42.9854415,-59.468,16.907,-246.823,0.0247806,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757344,1,OK,52.2351645,-14.0617120,50.8509187,-41.8309180,-57.406,22.467,-241.102,0.0254994,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757352,1,OK,52.3184868,5.0756933,52.1440658,-34.3448851,44.618,11.746,-237.991,0.0269247,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757352,1,OK,50.9360886,7.5161778,50.5319090,-56.9022315,45.690,16.464,-232.282,0.0392788,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757352,1,OK,54.4878535,-12.2784788,53.5248698,43.0039220,-58.702,16.410,-246.837,0.0201562,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757352,1,OK,52.3774477,-14.3016360,50.9512857,-41.1168941,-56.791,21.877,-241.176,0.0204595,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757360,1,OK,52.0812711,5.0845467,51.9047320,-34.6490271,44.692,12.132,-237.322,0.0366351,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757360,1,OK,50.7121882,7.4632680,50.3105249,-57.4354720,45.839,16.918,-231.568,0.0435852,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757360,1,OK,54.5540402,-12.5720138,53.5457012,43.1482210,-58.016,15.631,-247.098,0.0293690,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757360,1,OK,52.4928116,-14.5525812,51.0205044,-41.0252819,-56.088,21.186,-241.388,0.0252316,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757368,1,OK,51.7652758,5.0457133,51.5894440,-35.2824987,44.594,12.573,-236.516,0.0354705,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757368,1,OK,50.4449028,7.4315665,50.0428512,-57.9819757,45.800,17.450,-230.801,0.0452284,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757368,1,OK,54.6875540,-12.8004373,53.6464237,43.3267272,-57.330,14.961,-247.271,0.0266788,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757368,1,OK,52.5813812,-14.7509215,51.0720234,-40.7737100,-55.395,20.544,-241.522,0.0245390,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757376,1,OK,51.4767858,5.1341157,51.2928118,-35.5862999,44.386,13.124,-235.675,0.0398060,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757376,1,OK,50.1225624,7.4731069,49.7112490,-58.5458671,45.582,17.988,-230.091,0.0451059,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757376,1,OK,54.8263220,-13.0485485,53.7488806,43.2822765,-56.539,14.221,-247.529,0.0220705,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757376,1,OK,52.7382305,-14.9719588,51.1904574,-40.4806792,-54.633,19.744,-241.604,0.0221668,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757384,1,OK,51.1857935,5.2479108,50.9915162,-35.9516726,43.937,13.611,-234.804,0.0374753,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757384,1,OK,49.8097686,7.6277343,49.3762662,-58.9912737,45.153,18.425,-229.208,0.0458303,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757384,1,OK,54.5366551,-13.5891751,53.3523918,43.2614496,-55.965,12.707,-248.285,0.0254135,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757384,1,OK,53.0518242,-15.2061438,51.4716942,-40.6080901,-53.165,19.196,-241.155,0.0364228,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757392,1,OK,50.9063260,5.3725137,50.7006178,-36.2357261,43.542,13.991,-233.926,0.0346133,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757392,1,OK,49.5292930,7.7107824,49.0817480,-59.5559146,44.811,18.844,-228.384,0.0426692,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757392,1,OK,54.7177022,-13.7446536,53.5135110,43.0748122,-54.367,12.435,-246.851,0.0232786,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757392,1,OK,52.9623036,-15.7253570,51.2619060,-40.5787376,-52.145,18.395,-240.902,0.0188891,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757400,1,OK,50.6223095,5.4772862,50.4062749,-36.5654083,43.171,14.399,-233.059,0.0368641,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757400,1,OK,49.2677670,7.8867130,48.7949502,-59.8151350,44.466,19.322,-227.456,0.0379576,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757400,1,OK,54.8559264,-13.8847521,53.6326225,42.7240006,-53.581,12.130,-245.582,0.0278184,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757400,1,OK,52.8291103,-16.0227006,51.0520234,-40.8029056,-51.606,17.681,-240.131,0.0148322,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757408,1,OK,50.4020826,5.5286652,50.1802174,-36.7958731,43.057,14.820,-232.436,0.0359844,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5757408,1,OK,49.0275096,7.8787281,48.5516155,-60.2756547,44.348,19.731,-226.767,0.0408255,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757408,1,OK,54.8777877,-13.9954792,53.6352606,42.7060548,-53.292,11.160,-245.446,0.0299920,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,5757408,1,OK,53.0395703,-15.9356813,51.2963035,-40.8998134,-51.226,16.978,-239.777,0.0182823,0
