Tools,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675640,1,OK,91.6970535,4.9443317,-91.7033938,-3.0476651,50.198,-34.860,-168.366,0.0561264,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675648,1,OK,91.6974652,4.9431472,-91.7038041,-3.0483860,50.194,-34.861,-168.366,0.0553577,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675656,1,OK,91.6979425,4.9418674,-91.7042798,-3.0491431,50.194,-34.865,-168.363,0.0557062,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675664,1,OK,91.6983110,4.9405561,-91.7046464,-3.0499156,50.191,-34.866,-168.350,0.0562835,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675672,1,OK,91.7012057,4.9381115,-91.7075456,-3.0551654,50.194,-34.869,-168.344,0.0568379,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675680,1,OK,91.7020664,4.9387013,-91.7084110,-3.0567570,50.196,-34.875,-168.346,0.0565886,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675688,1,OK,91.7032170,4.9380245,-91.7095642,-3.0587782,50.196,-34.875,-168.350,0.0568332,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675696,1,OK,91.7022076,4.9380496,-91.7085510,-3.0569667,50.193,-34.874,-168.350,0.0565607,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675704,1,OK,91.7031256,4.9364427,-91.7094683,-3.0586605,50.191,-34.876,-168.351,0.0558434,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675712,1,OK,91.7016818,4.9366390,-91.7080196,-3.0561300,50.191,-34.872,-168.352,0.0559536,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675720,1,OK,91.7053312,4.9356574,-91.7116801,-3.0625858,50.194,-34.883,-168.350,0.0565316,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675728,1,OK,91.7047260,4.9367757,-91.7110755,-3.0615371,50.194,-34.881,-168.352,0.0572592,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675736,1,OK,91.7047068,4.9360363,-91.7110543,-3.0613791,50.196,-34.880,-168.350,0.0569062,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675744,1,OK,91.7035824,4.9366714,-91.7099274,-3.0593459,50.197,-34.876,-168.359,0.0565377,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675752,1,OK,91.7007797,4.9385472,-91.7071191,-3.0542496,50.197,-34.870,-168.365,0.0555521,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675760,1,OK,91.7013105,4.9376494,-91.7076495,-3.0551651,50.197,-34.870,-168.364,0.0562894,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6675768,1,OK,91.7009118,4.9368447,-91.7072473,-3.0544522,50.197,-34.870,-168.364,0.0555715,0
