Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775616,1,OK,45.3692069,2.3850078,45.3201470,-48.1241217,51.159,-4.760,-191.686,0.0273351,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775616,1,OK,43.9673336,3.3214209,43.8672978,-70.7877327,53.758,0.521,-187.012,0.0408061,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775616,1,OK,48.6434053,-6.7430597,48.2911386,54.6008911,-68.260,-14.161,-187.840,0.0457992,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775616,1,OK,45.5066437,-7.2912705,45.0459246,-41.6096785,-68.838,-8.326,-182.697,0.0170802,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775624,1,OK,45.3675662,2.3974027,45.3179915,-48.0951792,51.179,-4.763,-191.704,0.0269411,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775624,1,OK,43.9652557,3.3233812,43.8650942,-70.7845109,53.764,0.521,-187.014,0.0408333,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775624,1,OK,48.6440094,-6.7467661,48.2913595,54.5904221,-68.264,-14.161,-187.848,0.0461086,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775624,1,OK,45.4953971,-7.2928593,45.0342924,-41.6476681,-68.839,-8.340,-182.697,0.0160960,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775632,1,OK,45.3691849,2.3983601,45.3195734,-48.0741635,51.191,-4.762,-191.714,0.0271549,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775632,1,OK,44.0165107,3.2738699,43.9194922,-70.5826205,53.787,0.570,-187.053,0.0361563,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775632,1,OK,48.6485771,-6.7511349,48.2955235,54.6020258,-68.266,-14.156,-187.851,0.0460715,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775632,1,OK,45.5032527,-7.2915311,45.0424452,-41.6494474,-68.840,-8.328,-182.702,0.0162707,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775640,1,OK,45.3696816,2.3916176,45.3203498,-48.0619841,51.200,-4.771,-191.710,0.0278778,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775640,1,OK,43.9641216,3.3059874,43.8650042,-70.7570491,53.756,0.513,-187.002,0.0407612,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775640,1,OK,48.6491261,-6.7488430,48.2963211,54.6126945,-68.259,-14.154,-187.846,0.0459097,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775640,1,OK,45.4976728,-7.2936567,45.0365032,-41.6607282,-68.841,-8.335,-182.704,0.0163937,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775648,1,OK,45.3666691,2.3827345,45.3176984,-48.0501732,51.208,-4.794,-191.712,0.0287892,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775648,1,OK,43.9697775,3.3065744,43.8706445,-70.7254529,53.775,0.501,-187.001,0.0400866,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775648,1,OK,48.6483812,-6.7508173,48.2953587,54.6219698,-68.260,-14.155,-187.850,0.0453483,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775648,1,OK,45.5001220,-7.2900260,45.0394561,-41.6739317,-68.835,-8.331,-182.697,0.0160715,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775656,1,OK,45.3711703,2.3810422,45.3222769,-48.0260964,51.229,-4.814,-191.717,0.0287183,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775656,1,OK,43.9832865,3.3058208,43.8842456,-70.6892631,53.790,0.488,-186.999,0.0407519,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775656,1,OK,48.6470756,-6.7522393,48.2938868,54.6300897,-68.261,-14.163,-187.857,0.0455538,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775656,1,OK,45.4894692,-7.2902639,45.0286001,-41.7073742,-68.833,-8.344,-182.700,0.0153476,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775664,1,OK,45.3802130,2.3803584,45.3313631,-47.9977956,51.255,-4.825,-191.717,0.0281992,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775664,1,OK,43.9924526,3.3018970,43.8936790,-70.6537468,53.801,0.470,-187.002,0.0410553,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775664,1,OK,48.6536750,-6.7517346,48.3006219,54.6246814,-68.260,-14.155,-187.864,0.0461485,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775664,1,OK,45.4915182,-7.2890119,45.0308424,-41.7069643,-68.833,-8.344,-182.702,0.0149768,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775672,1,OK,45.3908368,2.3739346,45.3422686,-47.9671512,51.268,-4.839,-191.719,0.0283700,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775672,1,OK,43.9987849,3.2963876,43.9003631,-70.6223144,53.807,0.450,-186.997,0.0414578,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775672,1,OK,48.6509042,-6.7483709,48.2981711,54.6145857,-68.258,-14.158,-187.859,0.0453545,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775672,1,OK,45.4951275,-7.2885516,45.0345689,-41.7350577,-68.830,-8.337,-182.701,0.0147237,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775680,1,OK,45.3941993,2.3709713,45.3457581,-47.9402903,51.283,-4.861,-191.710,0.0288105,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775680,1,OK,44.0089862,3.2941490,43.9107335,-70.5933288,53.823,0.435,-186.997,0.0417084,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775680,1,OK,48.6523009,-6.7479205,48.2996327,54.6258635,-68.255,-14.157,-187.861,0.0449140,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775680,1,OK,45.4988894,-7.2846736,45.0388870,-41.7490450,-68.826,-8.330,-182.698,0.0149960,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775688,1,OK,45.3995566,2.3750756,45.3509565,-47.9067121,51.308,-4.880,-191.714,0.0283064,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7775688,1,OK,44.0152821,3.2873379,43.9174577,-70.5899852,53.840,0.417,-186.994,0.0411024,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775688,1,OK,48.6506605,-6.7422851,48.2985658,54.6105329,-68.254,-14.162,-187.861,0.0451705,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7775688,1,OK,45.4948115,-7.2874474,45.0343889,-41.7684955,-68.829,-8.335,-182.705,0.0144278,0
