Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,24518
1,0,PATTERN_START,0,24518
1, 1, SUCCESS, 0, 3607
1, 2, SUCCESS, 0, 3224
1, 3, SUCCESS, 0, 3571
1, 4, SUCCESS, 0, 1961
1, 5, ERROR, 1, 208
1, 5, SUCCESS, 0, 4395
1, 6, SUCCESS, 0, 5472
1,0,PATTERN_FINISH,0,47145
2,0,PATTERN_START,0,52147
2, 1, SUCCESS, 0, 3965
2, 2, ERROR, 1, 2352
2, 2, ERROR, 2, 2352
2, 2, ERROR, 3, 2353
2, 2, ERROR, 4, 2356
2, 2, ERROR, 5, 2357
2, 2, ERROR, 6, 2389
2, 2, SUCCESS, 0, 3790
2, 3, SUCCESS, 0, 2719
2, 4, SUCCESS, 0, 2994
2, 5, SUCCESS, 0, 3286
2, 6, SUCCESS, 0, 2537
2,0,PATTERN_FINISH,0,71830
3,0,PATTERN_START,0,76830
3, 1, SUCCESS, 0, 2880
3, 2, SUCCESS, 0, 2397
3, 3, SUCCESS, 0, 2852
3, 4, SUCCESS, 0, 2515
3, 5, SUCCESS, 0, 3623
3, 6, SUCCESS, 0, 2343
3,0,PATTERN_FINISH,0,93837
4,0,PATTERN_START,0,129596
4, 1, SUCCESS, 0, 3328
4, 2, SUCCESS, 0, 3140
4, 3, SUCCESS, 0, 2529
4, 4, SUCCESS, 0, 2594
4, 5, SUCCESS, 0, 3986
4, 6, SUCCESS, 0, 3425
4,0,PATTERN_FINISH,0,148992
5,0,PATTERN_START,0,153992
5, 1, SUCCESS, 0, 1976
5, 2, SUCCESS, 0, 3090
5, 3, SUCCESS, 0, 2851
5, 4, SUCCESS, 0, 1426
5, 5, SUCCESS, 0, 2900
5, 6, SUCCESS, 0, 2749
5,0,PATTERN_FINISH,0,169379
6,0,PATTERN_START,0,174380
6, 1, SUCCESS, 0, 2739
6, 2, SUCCESS, 0, 2644
6, 3, SUCCESS, 0, 2164
6, 4, SUCCESS, 0, 3192
6, 5, SUCCESS, 0, 3788
6, 6, SUCCESS, 0, 2368
6,0,PATTERN_FINISH,0,191670
0,0,TASK_FINISH,0,191670

