Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688768,1,OK,60.0055828,14.2518258,58.9497223,-7.7416646,42.966,44.853,-291.171,0.0259852,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688768,1,OK,60.5181459,15.4665652,59.2935249,-25.7626499,38.906,49.302,-286.355,0.0408915,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,8688768,1,OK,89.4004230,3.3795228,-89.3993785,-1.1841230,56.518,-28.570,-168.307,0.0386440,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688776,1,OK,59.7215418,14.3004390,58.6458869,-7.7740232,42.813,45.672,-290.831,0.0440885,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688776,1,OK,60.1936623,15.5451833,58.9394619,-25.9069697,38.797,50.048,-286.056,0.0357561,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,8688776,1,OK,89.4011928,3.3779569,-89.4001506,-1.1826048,56.519,-28.570,-168.303,0.0385185,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688784,1,OK,59.4851734,14.3392372,58.3930927,-8.0354931,42.456,46.599,-290.074,0.0387116,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688784,1,OK,59.8462472,15.7023294,58.5472544,-26.3867578,38.611,50.724,-285.493,0.0255756,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,8688784,1,OK,89.4007694,3.3757838,-89.3997277,-1.1834343,56.517,-28.568,-168.292,0.0381899,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688792,1,OK,59.3251268,14.1175558,58.2607732,-8.9644869,41.698,47.990,-289.543,0.0341615,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688792,1,OK,59.5211983,15.5726917,58.2274324,-27.2902887,38.444,52.133,-284.549,0.0508449,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,8688792,1,OK,89.3989401,3.3740124,-89.3978963,-1.1870592,56.519,-28.561,-168.282,0.0383801,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688800,1,OK,58.7787750,14.4729087,57.6335628,-10.1205874,41.470,49.164,-289.097,0.0461011,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688800,1,OK,59.0573897,16.0090149,57.6612074,-28.6935044,38.225,53.718,-283.285,0.0325507,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,8688800,1,OK,89.3966304,3.3738748,-89.3955828,-1.1916332,56.522,-28.550,-168.269,0.0384310,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688808,1,OK,58.2606181,14.9490439,57.0105876,-10.2531859,41.054,49.258,-288.320,0.0455246,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688808,1,OK,58.7826989,16.5567864,57.2684194,-28.9581697,37.577,53.856,-283.720,0.0290516,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,8688808,1,OK,89.3955694,3.3725430,-89.3945208,-1.1937351,56.525,-28.549,-168.262,0.0386273,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688816,1,OK,58.1820959,15.4296519,56.8430721,-10.1416140,40.194,49.724,-287.734,0.0451804,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688816,1,OK,58.5668889,17.0137339,56.9499681,-28.9809323,36.598,54.226,-283.172,0.0286821,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,8688816,1,OK,89.3963456,3.3720942,-89.3952986,-1.1921980,56.525,-28.556,-168.265,0.0392293,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688824,1,OK,58.0790844,15.8845768,56.6508206,-10.2184087,39.604,49.840,-287.410,0.0416105,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688824,1,OK,58.4951947,17.4607071,56.7829900,-29.0060282,36.156,54.393,-283.090,0.0343450,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,8688824,1,OK,89.3954276,3.3697257,-89.3943805,-1.1940002,56.520,-28.556,-168.255,0.0391735,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688832,1,OK,57.9275452,15.8835091,56.4909154,-10.3797168,39.445,49.633,-287.082,0.0361000,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688832,1,OK,58.3965744,17.3981108,56.6905384,-29.1212766,35.892,54.293,-282.401,0.0437113,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,8688832,1,OK,89.3950500,3.3687342,-89.3940029,-1.1947405,56.524,-28.557,-168.248,0.0391123,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688840,1,OK,57.9254784,15.5924503,56.5429877,-10.4111559,39.646,49.240,-286.784,0.0500237,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8688840,1,OK,58.3839379,17.1152130,56.7347551,-29.2093036,36.177,53.891,-282.089,0.0322920,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,8688840,1,OK,89.3945842,3.3676906,-89.3935369,-1.1956559,56.521,-28.565,-168.247,0.0398374,0
