Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,128215
1,0,PATTERN_START,0,128215
1, 1, SUCCESS, 0, 3127
1, 2, SUCCESS, 0, 4070
1, 3, SUCCESS, 0, 2936
1, 4, ERROR, 1, 1266
1, 4, ERROR, 2, 1274
1, 4, ERROR, 3, 1278
1, 4, ERROR, 4, 1416
1, 4, ERROR, 5, 1425
1, 4, ERROR, 6, 1520
1, 4, ERROR, 7, 1521
1, 4, ERROR, 8, 1527
1, 4, ERROR, 9, 1529
1, 4, ERROR, 10, 1538
1, 4, ERROR, 11, 1548
1, 4, SUCCESS, 0, 3627
1, 5, SUCCESS, 0, 5295
1, 6, SUCCESS, 0, 3898
1,0,PATTERN_FINISH,0,151563
2,0,PATTERN_START,0,156563
2, 1, SUCCESS, 0, 2312
2, 2, SUCCESS, 0, 5161
2, 3, SUCCESS, 0, 3733
2, 4, SUCCESS, 0, 2500
2, 5, SUCCESS, 0, 3798
2, 6, SUCCESS, 0, 3466
2,0,PATTERN_FINISH,0,177929
3,0,PATTERN_START,0,182930
3, 1, SUCCESS, 0, 1783
3, 2, SUCCESS, 0, 3885
3, 3, SUCCESS, 0, 3461
3, 4, SUCCESS, 0, 2552
3, 5, SUCCESS, 0, 3376
3, 6, SUCCESS, 0, 3311
3,0,PATTERN_FINISH,0,201691
4,0,PATTERN_START,0,253629
4, 1, SUCCESS, 0, 2827
4, 2, SUCCESS, 0, 4608
4, 3, SUCCESS, 0, 3853
4, 4, SUCCESS, 0, 2088
4, 5, SUCCESS, 0, 3945
4, 6, SUCCESS, 0, 3213
4,0,PATTERN_FINISH,0,274560
5,0,PATTERN_START,0,279560
5, 1, SUCCESS, 0, 2122
5, 2, ERROR, 1, 146
5, 2, SUCCESS, 0, 4587
5, 3, SUCCESS, 0, 3086
5, 4, SUCCESS, 0, 1753
5, 5, SUCCESS, 0, 3797
5, 6, SUCCESS, 0, 3348
5,0,PATTERN_FINISH,0,298648
6,0,PATTERN_START,0,303648
6, 1, SUCCESS, 0, 1553
6, 2, SUCCESS, 0, 3691
6, 3, SUCCESS, 0, 3470
6, 4, SUCCESS, 0, 1741
6, 5, SUCCESS, 0, 3620
6, 6, SUCCESS, 0, 4139
6,0,PATTERN_FINISH,0,322255
0,0,TASK_FINISH,0,322255

