Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837832,1,OK,47.2371699,12.0968706,46.0218351,26.5613874,32.170,-4.561,-215.127,0.0576504,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837832,1,OK,49.4591399,13.1231785,48.1317207,0.4626930,25.069,-2.882,-216.413,0.0289914,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837832,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837832,1,OK,52.3775409,-15.8527494,50.6103330,-62.7367451,-40.144,-12.072,-210.943,0.0212536,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837848,1,OK,47.1766226,12.1517225,45.9472587,26.7739219,32.221,-4.428,-215.366,0.0502852,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837848,1,OK,49.4630122,13.1101404,48.1385006,0.2772549,25.164,-2.881,-216.421,0.0218498,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837848,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837848,1,OK,52.3733935,-15.5488909,50.6759735,-62.4013406,-41.164,-12.290,-210.839,0.0225106,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837856,1,OK,47.1723531,12.1323166,45.9468413,26.6838031,32.258,-4.433,-215.369,0.0503421,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837856,1,OK,49.4826434,13.0960925,48.1619966,0.2083294,25.169,-2.864,-216.412,0.0190185,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837856,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837856,1,OK,52.3398508,-15.3407995,50.6874442,-62.4591165,-41.848,-12.507,-210.817,0.0292469,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837872,1,OK,47.1817218,12.1040119,45.9624973,26.4981812,32.268,-4.416,-215.356,0.0518695,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837872,1,OK,49.5651976,13.0951686,48.2486683,0.2074514,25.401,-2.836,-216.396,0.0226078,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837872,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837872,1,OK,52.4272048,-15.0118409,50.8528518,-62.1460082,-42.845,-12.668,-210.715,0.0251388,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837880,1,OK,47.1808955,12.1005174,45.9623595,26.4226960,32.278,-4.428,-215.365,0.0515438,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837880,1,OK,49.5667072,13.0923896,48.2508265,0.1438273,25.407,-2.829,-216.400,0.0228073,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837880,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837880,1,OK,52.3270679,-14.8489982,50.7823471,-62.3786498,-43.472,-13.182,-210.717,0.0215098,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837888,1,OK,47.1823596,12.0926048,45.9655270,26.3869197,32.280,-4.429,-215.362,0.0507766,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837888,1,OK,49.5634966,13.0842643,48.2491498,0.1088699,25.405,-2.826,-216.396,0.0230688,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837888,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837888,1,OK,52.4384633,-14.6564030,50.9412595,-62.1563733,-43.815,-13.179,-210.620,0.0191913,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837904,1,OK,47.1817079,12.0835707,45.9667176,26.3286139,32.267,-4.448,-215.361,0.0495907,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837904,1,OK,49.5707136,13.0794248,48.2577123,0.0698474,25.400,-2.819,-216.398,0.0234835,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837904,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837904,1,OK,52.4189422,-14.4933430,50.9550697,-62.3769333,-44.813,-13.651,-210.658,0.0237565,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837912,1,OK,47.1897428,12.0807315,45.9756885,26.3119293,32.265,-4.441,-215.364,0.0497323,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837912,1,OK,49.5773311,13.0770462,48.2651359,0.0653091,25.401,-2.812,-216.402,0.0236242,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837912,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837912,1,OK,52.3854474,-14.3772302,50.9440301,-62.6093689,-44.924,-13.692,-210.588,0.0241956,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837920,1,OK,47.1920906,12.0808992,45.9781034,26.3298131,32.262,-4.443,-215.349,0.0510722,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837920,1,OK,49.5859430,13.0725172,48.2750934,0.0567427,25.397,-2.802,-216.399,0.0236495,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837920,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837920,1,OK,52.4134923,-14.3524485,50.9787066,-62.6829354,-44.923,-13.611,-210.597,0.0192303,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837928,1,OK,47.1980833,12.0765906,45.9852468,26.3331737,32.261,-4.431,-215.334,0.0506365,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837928,1,OK,49.5872093,13.0676852,48.2774198,0.0576842,25.391,-2.800,-216.398,0.0235840,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837928,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837928,1,OK,52.3800938,-14.3894382,50.9358514,-62.7487361,-44.985,-13.639,-210.656,0.0228272,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837944,1,OK,47.1998242,12.0708529,45.9882488,26.3059114,32.256,-4.444,-215.351,0.0515363,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837944,1,OK,49.5789341,13.0684729,48.2685906,0.0609103,25.389,-2.812,-216.397,0.0232940,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837944,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837944,1,OK,52.3925550,-14.3920460,50.9484323,-62.9845310,-44.953,-13.535,-210.668,0.0213628,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837952,1,OK,47.2053402,12.0670531,45.9947882,26.2888316,32.254,-4.430,-215.354,0.0499214,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837952,1,OK,49.5823740,13.0598525,48.2739770,0.0366496,25.385,-2.799,-216.394,0.0232251,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837952,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837952,1,OK,52.3494036,-14.4235402,50.8964093,-63.0377652,-44.967,-13.604,-210.625,0.0197979,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837968,1,OK,47.2103220,12.0641922,46.0005759,26.2460777,32.255,-4.409,-215.381,0.0496552,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837968,1,OK,49.5921610,13.0590903,48.2843833,-0.0181173,25.385,-2.777,-216.376,0.0228112,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837968,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837968,1,OK,52.3967721,-14.4144446,50.9482073,-62.8060656,-44.895,-13.549,-210.627,0.0242078,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837976,1,OK,47.2103903,12.0597975,46.0015540,26.2273931,32.251,-4.401,-215.386,0.0511682,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837976,1,OK,49.5902690,13.0555267,48.2831389,-0.0320933,25.385,-2.775,-216.379,0.0234331,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837976,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837976,1,OK,52.3554326,-14.4237987,50.9027068,-62.9685668,-44.939,-13.615,-210.653,0.0246363,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837992,1,OK,47.2050944,12.0680098,45.9943342,26.2425515,32.269,-4.400,-215.404,0.0509569,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1837992,1,OK,49.5793128,13.0589570,48.2709566,-0.0280547,25.387,-2.777,-216.371,0.0231972,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837992,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1837992,1,OK,52.3311073,-14.8317163,50.7903526,-63.1194859,-43.761,-13.183,-210.744,0.0237092,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838000,1,OK,47.2013254,12.0684569,45.9903099,26.2336443,32.270,-4.404,-215.416,0.0518874,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838000,1,OK,49.5729611,13.0566485,48.2647828,-0.0163266,25.387,-2.778,-216.366,0.0237066,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838000,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838000,1,OK,52.4632071,-14.9830637,50.8972113,-62.9339857,-42.840,-12.675,-210.502,0.0241440,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838008,1,OK,47.1947031,12.0702238,45.9830361,26.2337264,32.270,-4.410,-215.416,0.0520607,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838008,1,OK,49.5673584,13.0579557,48.2586452,-0.0096162,25.390,-2.780,-216.363,0.0244827,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838008,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838008,1,OK,52.4190467,-15.2655897,50.7882619,-63.1898850,-41.847,-12.363,-210.621,0.0283269,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838016,1,OK,47.1929887,12.0733855,45.9805941,26.2384904,32.272,-4.401,-215.409,0.0516054,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838016,1,OK,49.5726050,13.0577437,48.2641833,-0.0167898,25.397,-2.768,-216.367,0.0253266,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838016,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838016,1,OK,52.1772039,-15.8162575,50.4054237,-63.6493933,-41.050,-12.635,-210.949,0.0288076,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838024,1,OK,47.1922278,12.0767698,45.9791005,26.2588236,32.276,-4.385,-215.404,0.0515048,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838024,1,OK,49.5661747,13.0596985,48.2570449,0.0161702,25.397,-2.767,-216.363,0.0252864,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838024,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838024,1,OK,52.3365840,-16.0946671,50.5096906,-63.2892065,-39.385,-11.619,-210.680,0.0341049,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838040,1,OK,47.1928248,12.0818139,45.9786802,26.2827705,32.279,-4.375,-215.408,0.0518758,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838040,1,OK,49.5549905,13.0659118,48.2440457,0.0541027,25.399,-2.782,-216.360,0.0251773,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838040,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838040,1,OK,52.4415657,-16.9177404,50.4208501,-63.0986162,-37.006,-10.694,-211.008,0.0230471,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838048,1,OK,47.1890689,12.0806647,45.9749993,26.2852551,32.274,-4.385,-215.397,0.0516620,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838048,1,OK,49.5531472,13.0725736,48.2407346,0.0639151,25.400,-2.790,-216.362,0.0247453,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838048,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838048,1,OK,52.4099572,-16.9432801,50.3804329,-63.1790386,-35.797,-10.143,-210.850,0.0259435,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838056,1,OK,47.1885039,12.0909886,45.9722730,26.2998679,32.285,-4.393,-215.403,0.0510086,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838056,1,OK,49.5509661,13.0811975,48.2366615,0.0758067,25.403,-2.799,-216.372,0.0243613,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838056,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838056,1,OK,52.4383812,-17.2007361,50.3455384,-63.0322968,-35.427,-9.887,-210.978,0.0216935,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838072,1,OK,47.1856925,12.0871645,45.9701312,26.2859886,32.267,-4.406,-215.393,0.0513246,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838072,1,OK,49.5515200,13.0844585,48.2365650,0.0708991,25.397,-2.812,-216.377,0.0243986,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838072,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838072,1,OK,52.3484987,-17.3556517,50.2085465,-63.1630861,-35.468,-10.045,-211.131,0.0198626,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838080,1,OK,47.1823549,12.0881306,45.9664488,26.2936737,32.263,-4.413,-215.382,0.0505983,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838080,1,OK,49.5490249,13.0902689,48.2327453,0.0664724,25.395,-2.824,-216.384,0.0236578,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838080,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838080,1,OK,52.3815982,-17.3317042,50.2504985,-63.1178835,-35.456,-9.969,-211.071,0.0166705,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838088,1,OK,47.1848796,12.0901362,45.9686677,26.2793953,32.261,-4.415,-215.379,0.0500849,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838088,1,OK,49.5506671,13.0923497,48.2340332,0.0519004,25.394,-2.829,-216.384,0.0236014,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838088,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838088,1,OK,52.3685574,-17.2928117,50.2465097,-63.0729279,-35.433,-9.971,-211.054,0.0115031,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838096,1,OK,47.1849080,12.0881850,45.9691014,26.2772142,32.260,-4.423,-215.396,0.0497514,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838096,1,OK,49.5461686,13.0952399,48.2287207,0.0537195,25.387,-2.839,-216.374,0.0238650,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838096,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838096,1,OK,52.3349999,-17.2898115,50.2110817,-63.2128293,-35.444,-10.026,-211.068,0.0198472,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838104,1,OK,47.1810219,12.0914466,45.9643711,26.2665402,32.263,-4.445,-215.397,0.0504502,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838104,1,OK,49.5491766,13.0984719,48.2312001,0.0299205,25.388,-2.844,-216.384,0.0231150,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838104,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838104,1,OK,52.3060617,-17.3073852,50.1752946,-63.2147596,-35.507,-10.118,-211.151,0.0263455,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838120,1,OK,47.1754581,12.0954873,45.9577282,26.2401681,32.253,-4.490,-215.395,0.0522044,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838120,1,OK,49.5526507,13.1039653,48.2336975,-0.0194486,25.381,-2.868,-216.403,0.0223673,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838120,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838120,1,OK,52.3435205,-17.2952735,50.2188589,-63.1608586,-35.504,-10.069,-211.095,0.0199305,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838128,1,OK,47.1812819,12.0993505,45.9630046,26.2180767,32.247,-4.511,-215.389,0.0526757,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1838128,1,OK,49.5540408,13.1037121,48.2352065,-0.0323929,25.365,-2.885,-216.403,0.0224508,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838128,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1838128,1,OK,52.3585095,-17.3046130,50.2326106,-63.1309095,-35.458,-10.019,-211.101,0.0190555,0
