Tools,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810640,1,OK,92.1781727,4.5766635,-92.1851434,-3.8012949,58.124,-33.948,-168.902,0.0435652,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810648,1,OK,92.1852995,4.5769081,-92.1922938,-3.8139171,58.125,-33.944,-168.901,0.0430339,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810656,1,OK,92.1932063,4.5746959,-92.2002192,-3.8277643,58.129,-33.936,-168.907,0.0438046,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810664,1,OK,92.1981783,4.5729307,-92.2052017,-3.8364353,58.141,-33.924,-168.923,0.0435619,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810672,1,OK,92.2016947,4.5732922,-92.2087304,-3.8426751,58.142,-33.914,-168.940,0.0429048,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810680,1,OK,92.2032029,4.5717918,-92.2102389,-3.8453529,58.146,-33.907,-168.933,0.0423546,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810688,1,OK,92.2032989,4.5716180,-92.2103346,-3.8455816,58.152,-33.895,-168.937,0.0415103,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810696,1,OK,92.2036799,4.5722638,-92.2107188,-3.8462192,58.162,-33.879,-168.947,0.0415076,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810704,1,OK,92.2051942,4.5721228,-92.2122375,-3.8488718,58.165,-33.866,-168.943,0.0412707,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810712,1,OK,92.2108574,4.5712425,-92.2179161,-3.8589169,58.166,-33.867,-168.948,0.0406317,0
