Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071800,1,OK,58.6520372,17.2641747,56.9904820,-30.6342704,15.834,13.497,-258.042,0.0392961,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071800,1,OK,57.9455207,19.1731201,55.8131668,-47.2580705,16.489,17.772,-251.891,0.0271648,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6071800,1,OK,91.8313446,6.4486647,-91.8430095,-3.4666146,52.322,-30.679,-168.534,0.0511936,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071808,1,OK,58.6504756,17.2195082,56.9978213,-30.6379136,15.939,13.349,-258.161,0.0348035,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071808,1,OK,57.9734600,19.1099525,55.8583450,-47.2392562,16.601,17.681,-251.962,0.0314259,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6071808,1,OK,91.8321084,6.4470694,-91.8437724,-3.4679442,52.327,-30.676,-168.534,0.0505142,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071816,1,OK,58.6940113,17.1552613,57.0571133,-30.6137157,15.997,13.342,-258.176,0.0406770,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071816,1,OK,58.0082646,19.0782569,55.9035036,-47.1379955,16.707,17.632,-251.973,0.0280520,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6071816,1,OK,91.8311899,6.4482828,-91.8428524,-3.4662003,52.329,-30.673,-168.538,0.0509727,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071824,1,OK,58.7689635,17.0963374,57.1486979,-30.5920739,16.264,13.207,-258.275,0.0422914,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071824,1,OK,58.0497458,19.0192626,55.9622181,-47.1135393,16.968,17.438,-252.123,0.0293980,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6071824,1,OK,91.8299101,6.4502703,-91.8415718,-3.4638975,52.326,-30.676,-168.542,0.0506111,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071832,1,OK,58.8413729,16.9527671,57.2540915,-30.5614108,16.569,12.877,-258.504,0.0389225,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071832,1,OK,58.1211217,18.8692228,56.0741804,-47.0833186,17.283,17.112,-252.384,0.0266563,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6071832,1,OK,91.8314129,6.4490611,-91.8430797,-3.4667152,52.328,-30.679,-168.544,0.0506402,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071840,1,OK,58.9362293,16.8410016,57.3767196,-30.4603245,16.998,12.545,-258.918,0.0371754,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071840,1,OK,58.2014522,18.7387837,56.1908125,-46.9948573,17.717,16.735,-252.685,0.0294569,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6071840,1,OK,91.8325543,6.4463235,-91.8442184,-3.4688789,52.332,-30.676,-168.540,0.0498640,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071848,1,OK,59.0591309,16.6770547,57.5387315,-30.3690935,17.606,12.158,-259.259,0.0350304,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071848,1,OK,58.3390013,18.5614107,56.3792014,-46.7980732,18.275,16.412,-252.990,0.0293317,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6071848,1,OK,91.8322184,6.4441553,-91.8438725,-3.4681619,52.333,-30.671,-168.538,0.0501045,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071856,1,OK,59.1678289,16.6224974,57.6644000,-30.2540889,17.740,11.867,-259.572,0.0339512,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071856,1,OK,58.4389522,18.5015689,56.5002435,-46.6286652,18.389,16.102,-253.276,0.0257436,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6071856,1,OK,91.8317593,6.4409407,-91.8433988,-3.4671667,52.337,-30.664,-168.537,0.0491776,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071864,1,OK,59.2201019,16.6132546,57.7215807,-30.1755451,17.938,11.570,-259.851,0.0290422,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071864,1,OK,58.5103000,18.4948023,56.5786107,-46.5154044,18.606,15.821,-253.590,0.0283268,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6071864,1,OK,91.8344236,6.4389879,-91.8460729,-3.4722702,52.332,-30.670,-168.536,0.0485818,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071872,1,OK,59.2892796,16.5282078,57.8108708,-30.1386942,18.044,11.500,-259.972,0.0353346,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6071872,1,OK,58.5532030,18.3854125,56.6488458,-46.5339583,18.698,15.722,-253.650,0.0282220,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6071872,1,OK,91.8357212,6.4367476,-91.8473706,-3.4748222,52.323,-30.671,-168.531,0.0481903,0
