Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,97425
1,0,PATTERN_START,0,97426
1, 1, ERROR, 1, 3867
1, 1, ERROR, 2, 3868
1, 1, ERROR, 3, 4036
1, 1, ERROR, 4, 4049
1, 1, ERROR, 5, 4066
1, 1, ERROR, 6, 4069
1, 1, ERROR, 7, 4104
1, 1, ERROR, 8, 4112
1, 1, ERROR, 9, 4114
1, 1, ERROR, 10, 4139
1, 1, ERROR, 11, 4147
1, 1, ERROR, 12, 4150
1, 1, ERROR, 13, 4158
1, 1, ERROR, 14, 4159
1, 1, ERROR, 15, 4159
1, 1, ERROR, 16, 4162
1, 1, ERROR, 17, 4163
1, 1, ERROR, 18, 4164
1, 1, ERROR, 19, 4168
1, 1, ERROR, 20, 4174
1, 1, ERROR, 21, 4177
1, 1, ERROR, 22, 4179
1, 1, ERROR, 23, 4186
1, 1, ERROR, 24, 4187
1, 1, ERROR, 25, 4189
1, 1, ERROR, 26, 4191
1, 1, ERROR, 27, 4198
1, 1, ERROR, 28, 4201
1, 1, ERROR, 29, 4202
1, 1, ERROR, 30, 4210
1, 1, ERROR, 31, 4211
1, 1, ERROR, 32, 4472
1, 1, ERROR, 33, 4481
1, 1, ERROR, 34, 4482
1, 1, ERROR, 35, 4491
1, 1, ERROR, 36, 4496
1, 1, ERROR, 37, 4496
1, 1, ERROR, 38, 4498
1, 1, ERROR, 39, 4504
1, 1, ERROR, 40, 4505
1, 1, ERROR, 41, 4506
1, 1, ERROR, 42, 4513
1, 1, ERROR, 43, 4514
1, 1, SUCCESS, 0, 4527
1, 2, SUCCESS, 0, 4141
1, 3, SUCCESS, 0, 2440
1, 4, SUCCESS, 0, 1029
1, 5, SUCCESS, 0, 1684
1, 6, SUCCESS, 0, 2490
1,0,PATTERN_FINISH,0,114130
2,0,PATTERN_START,0,119131
2, 1, ERROR, 1, 1362
2, 1, ERROR, 2, 1364
2, 1, ERROR, 3, 1364
2, 1, ERROR, 4, 1367
2, 1, ERROR, 5, 1368
2, 1, ERROR, 6, 1370
2, 1, ERROR, 7, 1371
2, 1, ERROR, 8, 1375
2, 1, ERROR, 9, 1375
2, 1, ERROR, 10, 1376
2, 1, ERROR, 11, 1380
2, 1, ERROR, 12, 1437
2, 1, ERROR, 13, 1439
2, 1, ERROR, 14, 1441
2, 1, ERROR, 15, 1447
2, 1, ERROR, 16, 1450
2, 1, ERROR, 17, 1451
2, 1, ERROR, 18, 1476
2, 1, ERROR, 19, 1480
2, 1, ERROR, 20, 1482
2, 1, ERROR, 21, 1484
2, 1, SUCCESS, 0, 1499
2, 2, ERROR, 22, 36
2, 2, SUCCESS, 0, 2180
2, 3, SUCCESS, 0, 2098
2, 4, SUCCESS, 0, 1918
2, 5, SUCCESS, 0, 3158
2, 6, SUCCESS, 0, 2371
2,0,PATTERN_FINISH,0,132748
3,0,PATTERN_START,0,137749
3, 1, ERROR, 1, 2501
3, 1, ERROR, 2, 2599
3, 1, ERROR, 3, 2619
3, 1, ERROR, 4, 2621
3, 1, ERROR, 5, 2622
3, 1, ERROR, 6, 2627
3, 1, ERROR, 7, 2652
3, 1, ERROR, 8, 2661
3, 1, ERROR, 9, 2690
3, 1, ERROR, 10, 2704
3, 1, ERROR, 11, 2715
3, 1, ERROR, 12, 2719
3, 1, ERROR, 13, 2744
3, 1, ERROR, 14, 2753
3, 1, SUCCESS, 0, 2764
3, 2, ERROR, 15, 13
3, 2, SUCCESS, 0, 2449
3, 3, SUCCESS, 0, 2525
3, 4, SUCCESS, 0, 1656
3, 5, SUCCESS, 0, 2991
3, 6, SUCCESS, 0, 3579
3,0,PATTERN_FINISH,0,154107
4,0,PATTERN_START,0,186603
4, 1, SUCCESS, 0, 2431
4, 2, SUCCESS, 0, 3130
4, 3, SUCCESS, 0, 2032
4, 4, ERROR, 1, 142
4, 4, ERROR, 2, 142
4, 4, ERROR, 3, 143
4, 4, SUCCESS, 0, 3051
4, 5, SUCCESS, 0, 2744
4, 6, SUCCESS, 0, 3553
4,0,PATTERN_FINISH,0,203938
5,0,PATTERN_START,0,208939
5, 1, ERROR, 1, 1429
5, 1, ERROR, 2, 1430
5, 1, ERROR, 3, 1431
5, 1, ERROR, 4, 1431
5, 1, ERROR, 5, 1432
5, 1, ERROR, 6, 1433
5, 1, ERROR, 7, 1435
5, 1, ERROR, 8, 1448
5, 1, ERROR, 9, 1449
5, 1, ERROR, 10, 1452
5, 1, ERROR, 11, 1454
5, 1, ERROR, 12, 1455
5, 1, ERROR, 13, 1456
5, 1, ERROR, 14, 1459
5, 1, ERROR, 15, 1461
5, 1, ERROR, 16, 1464
5, 1, ERROR, 17, 1467
5, 1, ERROR, 18, 1468
5, 1, ERROR, 19, 1470
5, 1, ERROR, 20, 1473
5, 1, ERROR, 21, 1478
5, 1, ERROR, 22, 1480
5, 1, ERROR, 23, 1488
5, 1, ERROR, 24, 1491
5, 1, ERROR, 25, 1493
5, 1, ERROR, 26, 1498
5, 1, ERROR, 27, 1503
5, 1, ERROR, 28, 1553
5, 1, ERROR, 29, 1558
5, 1, ERROR, 30, 1560
5, 1, ERROR, 31, 1561
5, 1, ERROR, 32, 1563
5, 1, ERROR, 33, 1569
5, 1, ERROR, 34, 1573
5, 1, ERROR, 35, 1575
5, 1, ERROR, 36, 1577
5, 1, ERROR, 37, 1597
5, 1, ERROR, 38, 1602
5, 1, ERROR, 39, 1605
5, 1, ERROR, 40, 1612
5, 1, ERROR, 41, 1616
5, 1, ERROR, 42, 1620
5, 1, ERROR, 43, 1623
5, 1, ERROR, 44, 1624
5, 1, ERROR, 45, 1635
5, 1, ERROR, 46, 1636
5, 1, ERROR, 47, 1639
5, 1, ERROR, 48, 1647
5, 1, ERROR, 49, 1654
5, 1, ERROR, 50, 1662
5, 1, ERROR, 51, 1663
5, 1, ERROR, 52, 1667
5, 1, ERROR, 53, 1673
5, 1, ERROR, 54, 1684
5, 1, ERROR, 55, 1685
5, 1, ERROR, 56, 1688
5, 1, ERROR, 57, 1689
5, 1, ERROR, 58, 1693
5, 1, ERROR, 59, 1694
5, 1, ERROR, 60, 1700
5, 1, ERROR, 61, 1701
5, 1, ERROR, 62, 1702
5, 1, ERROR, 63, 1704
5, 1, ERROR, 64, 1705
5, 1, ERROR, 65, 1707
5, 1, ERROR, 66, 1708
5, 1, ERROR, 67, 1711
5, 1, ERROR, 68, 1712
5, 1, ERROR, 69, 1713
5, 1, ERROR, 70, 1716
5, 1, ERROR, 71, 1717
5, 1, ERROR, 72, 1717
5, 1, ERROR, 73, 1721
5, 1, ERROR, 74, 1722
5, 1, ERROR, 75, 1724
5, 1, ERROR, 76, 1727
5, 1, SUCCESS, 0, 3132
5, 2, SUCCESS, 0, 3311
5, 3, SUCCESS, 0, 3403
5, 4, ERROR, 77, 249
5, 4, SUCCESS, 0, 1873
5, 5, ERROR, 78, 43
5, 5, SUCCESS, 0, 2260
5, 6, SUCCESS, 0, 1798
5,0,PATTERN_FINISH,0,225112
6,0,PATTERN_START,0,230113
6, 1, SUCCESS, 0, 1739
6, 2, SUCCESS, 0, 2059
6, 3, ERROR, 1, 32
6, 3, SUCCESS, 0, 1420
6, 4, SUCCESS, 0, 1258
6, 5, SUCCESS, 0, 2841
6, 6, SUCCESS, 0, 2010
6,0,PATTERN_FINISH,0,241833
0,0,TASK_FINISH,0,241835

