Tools,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392752,1,OK,90.6564456,2.4334378,-90.6570381,1.3117728,58.175,-35.714,-168.950,0.0187935,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392760,1,OK,90.6526621,2.4342882,-90.6532516,1.3042140,58.181,-35.700,-168.946,0.0188766,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392768,1,OK,90.6511119,2.4322151,-90.6516991,1.3011197,58.177,-35.705,-168.941,0.0187851,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392776,1,OK,90.6482446,2.4319457,-90.6488290,1.2953940,58.176,-35.701,-168.941,0.0190135,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392784,1,OK,90.6462445,2.4324300,-90.6468274,1.2913949,58.175,-35.701,-168.934,0.0194802,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392792,1,OK,90.6423886,2.4346310,-90.6429690,1.2836890,58.173,-35.690,-168.932,0.0196665,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392800,1,OK,90.6398215,2.4336694,-90.6403991,1.2785564,58.173,-35.685,-168.924,0.0188598,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392808,1,OK,90.6384896,2.4345991,-90.6390665,1.2758944,58.174,-35.683,-168.926,0.0183012,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392816,1,OK,90.6387979,2.4347814,-90.6393751,1.2765106,58.174,-35.681,-168.928,0.0179120,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392824,1,OK,90.6374547,2.4343456,-90.6380305,1.2738255,58.175,-35.678,-168.926,0.0178240,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392832,1,OK,90.6357213,2.4343976,-90.6362956,1.2703606,58.171,-35.680,-168.934,0.0183021,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392840,1,OK,90.6356659,2.4351857,-90.6362405,1.2702499,58.172,-35.678,-168.934,0.0179519,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392848,1,OK,90.6390625,2.4360346,-90.6396406,1.2770361,58.175,-35.687,-168.940,0.0181366,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392856,1,OK,90.6427178,2.4369136,-90.6432996,1.2843352,58.179,-35.693,-168.944,0.0179341,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392864,1,OK,90.6422711,2.4368145,-90.6428525,1.2834451,58.179,-35.692,-168.946,0.0175571,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392872,1,OK,90.6420213,2.4360900,-90.6426021,1.2829462,58.179,-35.692,-168.945,0.0175505,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392880,1,OK,90.6439874,2.4369368,-90.6445703,1.2868771,58.182,-35.696,-168.948,0.0174537,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392888,1,OK,90.6454329,2.4368339,-90.6460171,1.2897618,58.182,-35.701,-168.942,0.0174416,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392896,1,OK,90.6442772,2.4357496,-90.6448599,1.2874511,58.183,-35.704,-168.942,0.0172580,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392904,1,OK,90.6409088,2.4364483,-90.6414887,1.2807242,58.182,-35.696,-168.935,0.0176749,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392912,1,OK,90.6409802,2.4361636,-90.6415601,1.2808695,58.184,-35.690,-168.940,0.0169722,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392920,1,OK,90.6420270,2.4358783,-90.6426077,1.2829606,58.183,-35.694,-168.947,0.0168555,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392928,1,OK,90.6376629,2.4364006,-90.6382398,1.2742389,58.181,-35.677,-168.937,0.0170632,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392936,1,OK,90.6379581,2.4355727,-90.6385349,1.2748322,58.180,-35.678,-168.937,0.0173749,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392944,1,OK,90.6397713,2.4349504,-90.6403494,1.2784578,58.181,-35.679,-168.938,0.0177662,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392952,1,OK,90.6404954,2.4354453,-90.6410745,1.2799038,58.181,-35.681,-168.944,0.0181763,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392960,1,OK,90.6407447,2.4356260,-90.6413241,1.2804030,58.179,-35.683,-168.948,0.0183941,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392968,1,OK,90.6409051,2.4358717,-90.6414848,1.2807248,58.177,-35.685,-168.950,0.0190069,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392976,1,OK,90.6405125,2.4370979,-90.6410924,1.2799416,58.183,-35.676,-168.955,0.0195557,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392984,1,OK,90.6442863,2.4378157,-90.6448699,1.2874772,58.185,-35.688,-168.966,0.0191148,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6392992,1,OK,90.6455183,2.4377748,-90.6461030,1.2899371,58.181,-35.697,-168.960,0.0196817,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393000,1,OK,90.6468852,2.4362574,-90.6474704,1.2926700,58.180,-35.703,-168.952,0.0201416,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393008,1,OK,90.6492536,2.4359223,-90.6498409,1.2974029,58.177,-35.713,-168.958,0.0195857,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393016,1,OK,90.6506588,2.4365717,-90.6512476,1.3002069,58.170,-35.720,-168.958,0.0192098,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393024,1,OK,90.6518116,2.4356140,-90.6524010,1.3025100,58.167,-35.730,-168.959,0.0184620,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393032,1,OK,90.6523388,2.4355230,-90.6529287,1.3035640,58.170,-35.728,-168.959,0.0180763,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393040,1,OK,90.6523474,2.4353232,-90.6529371,1.3035789,58.168,-35.732,-168.968,0.0176699,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393048,1,OK,90.6512082,2.4350704,-90.6517968,1.3013043,58.168,-35.725,-168.960,0.0172026,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393056,1,OK,90.6549261,2.4343125,-90.6555177,1.3087308,58.159,-35.741,-168.957,0.0168117,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393064,1,OK,90.6541660,2.4333896,-90.6547564,1.3072161,58.157,-35.732,-168.954,0.0168554,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393072,1,OK,90.6540718,2.4327591,-90.6546619,1.3070315,58.159,-35.723,-168.949,0.0168574,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393080,1,OK,90.6542703,2.4342757,-90.6548613,1.3074244,58.160,-35.716,-168.952,0.0165024,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393088,1,OK,90.6572039,2.4338312,-90.6577973,1.3132887,58.162,-35.717,-168.957,0.0167518,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393096,1,OK,90.6561254,2.4326950,-90.6567172,1.3111385,58.170,-35.705,-168.946,0.0170603,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393104,1,OK,90.6571645,2.4314842,-90.6577567,1.3132153,58.167,-35.703,-168.938,0.0177184,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393112,1,OK,90.6605272,2.4309887,-90.6611222,1.3199372,58.165,-35.713,-168.937,0.0177351,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393120,1,OK,90.6603086,2.4308693,-90.6609034,1.3195019,58.168,-35.703,-168.927,0.0182718,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393128,1,OK,90.6623668,2.4318200,-90.6629639,1.3236130,58.170,-35.703,-168.939,0.0180732,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393136,1,OK,90.6612081,2.4320300,-90.6618042,1.3213004,58.173,-35.697,-168.941,0.0184850,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393144,1,OK,90.6643052,2.4322960,-90.6649043,1.3274846,58.175,-35.706,-168.940,0.0184115,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393152,1,OK,90.6637736,2.4334134,-90.6643728,1.3264161,58.171,-35.712,-168.943,0.0177605,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393160,1,OK,90.6640617,2.4345226,-90.6646617,1.3269931,58.166,-35.717,-168.941,0.0181606,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393168,1,OK,90.6637959,2.4343344,-90.6643955,1.3264612,58.164,-35.721,-168.932,0.0183378,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393176,1,OK,90.6648730,2.4343460,-90.6654736,1.3286075,58.159,-35.729,-168.937,0.0182134,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393184,1,OK,90.6618194,2.4356429,-90.6624179,1.3225054,58.166,-35.715,-168.943,0.0183578,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393192,1,OK,90.6612703,2.4348478,-90.6618679,1.3214080,58.162,-35.715,-168.945,0.0184742,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393200,1,OK,90.6628808,2.4336962,-90.6634793,1.3246262,58.158,-35.725,-168.949,0.0182164,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393208,1,OK,90.6613754,2.4340512,-90.6619726,1.3216166,58.159,-35.721,-168.945,0.0186584,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393216,1,OK,90.6593091,2.4347878,-90.6599049,1.3174887,58.162,-35.709,-168.948,0.0187351,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393224,1,OK,90.6562554,2.4352836,-90.6568486,1.3113933,58.159,-35.702,-168.948,0.0186401,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393232,1,OK,90.6580472,2.4350916,-90.6586420,1.3149786,58.159,-35.704,-168.950,0.0192755,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393240,1,OK,90.6585499,2.4339941,-90.6591446,1.3159820,58.161,-35.705,-168.959,0.0186966,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393248,1,OK,90.6572075,2.4335165,-90.6578008,1.3132994,58.159,-35.705,-168.972,0.0182438,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,6393256,1,OK,90.6556296,2.4351105,-90.6562222,1.3101479,58.166,-35.699,-168.982,0.0179429,0
