Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237360,1,OK,43.5682347,0.3640044,43.5670191,-17.8476053,61.748,-3.303,-192.205,0.0391215,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237360,1,OK,44.6634191,1.4722479,44.6442719,-43.8906893,61.817,2.090,-187.449,0.0343597,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5237360,1,OK,90.2639223,1.3963192,-90.2640006,0.5228250,58.546,-35.475,-168.903,0.0160152,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237368,1,OK,43.5670498,0.3603895,43.5658582,-17.8505371,61.738,-3.294,-192.205,0.0392615,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237368,1,OK,44.6608215,1.4733970,44.6416427,-43.8993955,61.815,2.099,-187.444,0.0345263,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5237368,1,OK,90.2617197,1.3980488,-90.2617976,0.5184590,58.549,-35.475,-168.913,0.0157210,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237376,1,OK,43.5648311,0.3578359,43.5636562,-17.8574296,61.734,-3.287,-192.202,0.0395821,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237376,1,OK,44.6573589,1.4805460,44.6379911,-43.9053608,61.821,2.102,-187.450,0.0345881,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5237376,1,OK,90.2602298,1.3984991,-90.2603073,0.5155113,58.548,-35.475,-168.905,0.0157411,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237384,1,OK,43.5625139,0.3567099,43.5613463,-17.8588055,61.731,-3.291,-192.195,0.0396797,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237384,1,OK,44.6529070,1.4809473,44.6335256,-43.9352311,61.823,2.099,-187.458,0.0334539,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5237384,1,OK,90.2616992,1.3975894,-90.2617770,0.5184243,58.550,-35.479,-168.895,0.0155608,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237392,1,OK,43.5624809,0.3597094,43.5612936,-17.8785705,61.733,-3.291,-192.190,0.0394789,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237392,1,OK,44.6522444,1.4775382,44.6329517,-43.9369290,61.819,2.095,-187.457,0.0337228,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5237392,1,OK,90.2637497,1.3958418,-90.2638280,0.5224859,58.547,-35.487,-168.898,0.0157389,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237400,1,OK,43.5628137,0.3543716,43.5616614,-17.9017394,61.723,-3.287,-192.184,0.0396613,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237400,1,OK,44.6558054,1.4746114,44.6365916,-43.9522224,61.819,2.101,-187.450,0.0328717,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5237400,1,OK,90.2632399,1.3953904,-90.2633180,0.5214746,58.544,-35.486,-168.898,0.0157917,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237408,1,OK,43.5636451,0.3533563,43.5624994,-17.9050064,61.719,-3.285,-192.169,0.0394752,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237408,1,OK,44.6581373,1.4772273,44.6388568,-43.9439915,61.824,2.103,-187.452,0.0330413,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5237408,1,OK,90.2639421,1.3962445,-90.2640204,0.5228664,58.542,-35.491,-168.902,0.0160400,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237416,1,OK,43.5649399,0.3531102,43.5637958,-17.9114370,61.718,-3.285,-192.158,0.0397255,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237416,1,OK,44.6585920,1.4775063,44.6393045,-43.9389448,61.824,2.104,-187.451,0.0336639,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5237416,1,OK,90.2648227,1.3950770,-90.2649012,0.5246142,58.537,-35.494,-168.895,0.0164310,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237424,1,OK,43.5673433,0.3581237,43.5661666,-17.9281692,61.723,-3.280,-192.156,0.0399524,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237424,1,OK,44.6557974,1.4751270,44.6365701,-43.9693945,61.825,2.103,-187.449,0.0327018,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5237424,1,OK,90.2641575,1.3942262,-90.2642357,0.5232910,58.544,-35.488,-168.888,0.0154923,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237432,1,OK,43.5706711,0.3719643,43.5694019,-17.9354572,61.742,-3.277,-192.163,0.0399867,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,5237432,1,OK,44.6594117,1.4720581,44.6402668,-43.9740096,61.819,2.109,-187.450,0.0330841,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,5237432,1,OK,90.2639495,1.3932810,-90.2640276,0.5228804,58.546,-35.487,-168.878,0.0156322,0
