Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,167831
1,0,PATTERN_START,0,167831
1, 1, ERROR, 1, 3185
1, 1, ERROR, 2, 3189
1, 1, ERROR, 3, 3191
1, 1, ERROR, 4, 3192
1, 1, ERROR, 5, 3194
1, 1, ERROR, 6, 3196
1, 1, SUCCESS, 0, 3625
1, 2, SUCCESS, 0, 3966
1, 3, SUCCESS, 0, 3254
1, 4, SUCCESS, 0, 2024
1, 5, SUCCESS, 0, 4707
1, 6, SUCCESS, 0, 2489
1,0,PATTERN_FINISH,0,188292
2,0,PATTERN_START,0,193293
2, 1, SUCCESS, 0, 4411
2, 2, ERROR, 1, 105
2, 2, SUCCESS, 0, 2561
2, 3, SUCCESS, 0, 1752
2, 4, SUCCESS, 0, 1756
2, 5, SUCCESS, 0, 2660
2, 6, SUCCESS, 0, 2405
2,0,PATTERN_FINISH,0,209233
3,0,PATTERN_START,0,214234
3, 1, SUCCESS, 0, 2547
3, 2, SUCCESS, 0, 2345
3, 3, SUCCESS, 0, 2761
3, 4, ERROR, 1, 1089
3, 4, ERROR, 2, 1095
3, 4, ERROR, 3, 1110
3, 4, ERROR, 4, 1115
3, 4, ERROR, 5, 1117
3, 4, ERROR, 6, 1137
3, 4, ERROR, 7, 1160
3, 4, ERROR, 8, 1172
3, 4, ERROR, 9, 1173
3, 4, ERROR, 10, 1231
3, 4, ERROR, 11, 1238
3, 4, ERROR, 12, 1247
3, 4, ERROR, 13, 1249
3, 4, ERROR, 14, 1251
3, 4, ERROR, 15, 1263
3, 4, ERROR, 16, 1267
3, 4, ERROR, 17, 1269
3, 4, ERROR, 18, 1273
3, 4, ERROR, 19, 1276
3, 4, ERROR, 20, 1277
3, 4, ERROR, 21, 1277
3, 4, ERROR, 22, 1281
3, 4, ERROR, 23, 1281
3, 4, ERROR, 24, 1282
3, 4, ERROR, 25, 1289
3, 4, ERROR, 26, 1290
3, 4, ERROR, 27, 1294
3, 4, ERROR, 28, 1301
3, 4, ERROR, 29, 1313
3, 4, ERROR, 30, 1314
3, 4, ERROR, 31, 1324
3, 4, ERROR, 32, 1333
3, 4, SUCCESS, 0, 2710
3, 5, SUCCESS, 0, 1925
3, 6, SUCCESS, 0, 2028
3,0,PATTERN_FINISH,0,228945
4,0,PATTERN_START,0,267372
4, 1, SUCCESS, 0, 3214
4, 2, SUCCESS, 0, 1914
4, 3, SUCCESS, 0, 2047
4, 4, SUCCESS, 0, 1974
4, 5, SUCCESS, 0, 3683
4, 6, SUCCESS, 0, 3177
4,0,PATTERN_FINISH,0,283779
5,0,PATTERN_START,0,288779
5, 1, SUCCESS, 0, 2601
5, 2, SUCCESS, 0, 2039
5, 3, SUCCESS, 0, 2095
5, 4, ERROR, 1, 707
5, 4, ERROR, 2, 708
5, 4, ERROR, 3, 709
5, 4, ERROR, 4, 710
5, 4, ERROR, 5, 712
5, 4, ERROR, 6, 713
5, 4, ERROR, 7, 714
5, 4, ERROR, 8, 716
5, 4, ERROR, 9, 716
5, 4, ERROR, 10, 748
5, 4, ERROR, 11, 780
5, 4, ERROR, 12, 828
5, 4, ERROR, 13, 830
5, 4, ERROR, 14, 840
5, 4, ERROR, 15, 843
5, 4, ERROR, 16, 849
5, 4, ERROR, 17, 867
5, 4, ERROR, 18, 890
5, 4, ERROR, 19, 896
5, 4, ERROR, 20, 897
5, 4, ERROR, 21, 901
5, 4, ERROR, 22, 902
5, 4, ERROR, 23, 903
5, 4, ERROR, 24, 904
5, 4, ERROR, 25, 909
5, 4, ERROR, 26, 913
5, 4, ERROR, 27, 914
5, 4, ERROR, 28, 940
5, 4, ERROR, 29, 941
5, 4, ERROR, 30, 943
5, 4, ERROR, 31, 954
5, 4, ERROR, 32, 955
5, 4, ERROR, 33, 956
5, 4, ERROR, 34, 961
5, 4, ERROR, 35, 964
5, 4, ERROR, 36, 965
5, 4, ERROR, 37, 966
5, 4, ERROR, 38, 966
5, 4, ERROR, 39, 967
5, 4, ERROR, 40, 969
5, 4, SUCCESS, 0, 3026
5, 5, SUCCESS, 0, 2748
5, 6, SUCCESS, 0, 1964
5,0,PATTERN_FINISH,0,303647
6,0,PATTERN_START,0,308648
6, 1, ERROR, 1, 1864
6, 1, ERROR, 2, 1865
6, 1, ERROR, 3, 1867
6, 1, ERROR, 4, 1871
6, 1, ERROR, 5, 1874
6, 1, ERROR, 6, 1903
6, 1, ERROR, 7, 1906
6, 1, ERROR, 8, 1915
6, 1, ERROR, 9, 1923
6, 1, SUCCESS, 0, 2909
6, 2, SUCCESS, 0, 2119
6, 3, SUCCESS, 0, 1913
6, 4, ERROR, 10, 85
6, 4, SUCCESS, 0, 2117
6, 5, SUCCESS, 0, 2608
6, 6, SUCCESS, 0, 2369
6,0,PATTERN_FINISH,0,323077
0,0,TASK_FINISH,0,323077

