Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559856,1,OK,49.4109796,12.5988993,48.1885243,33.7086178,30.438,-12.425,-214.104,0.0358399,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559856,1,OK,51.7163046,13.1512646,50.4877965,9.1234928,23.621,-11.421,-215.639,0.0276097,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559856,1,OK,55.2589661,-11.4666492,54.4457130,18.6861947,-50.472,-26.342,-223.351,0.0371281,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559856,1,OK,56.4028461,-14.9774834,55.0535923,-55.4375293,-43.011,-22.488,-221.046,0.0268975,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559864,1,OK,49.4135664,12.5987667,48.1912513,33.7008634,30.446,-12.436,-214.099,0.0355607,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559864,1,OK,51.7211970,13.1546112,50.4922636,9.1263663,23.631,-11.429,-215.634,0.0269055,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559864,1,OK,54.6780099,-11.4133468,53.8547186,18.9061270,-49.272,-23.436,-220.021,0.0304198,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559864,1,OK,55.7733927,-15.1606379,54.3558618,-56.5785322,-42.309,-20.213,-217.900,0.0349434,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559872,1,OK,49.4178995,12.5985956,48.1958093,33.7058197,30.449,-12.443,-214.098,0.0355403,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559872,1,OK,51.7232434,13.1558389,50.4941651,9.1286085,23.640,-11.438,-215.631,0.0269549,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559872,1,OK,54.0528747,-11.6702123,53.1709319,19.4225613,-49.108,-22.624,-218.198,0.0402838,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559872,1,OK,55.0651068,-15.3649905,53.5677596,-57.7763507,-42.033,-19.138,-216.457,0.0353980,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559880,1,OK,49.4164727,12.5984210,48.1943546,33.7154945,30.452,-12.451,-214.069,0.0354103,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559880,1,OK,51.7271787,13.1583784,50.4977877,9.1232282,23.648,-11.439,-215.620,0.0271139,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559880,1,OK,53.6081737,-11.5283250,52.7337446,19.2895120,-49.546,-21.973,-216.740,0.0296542,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559880,1,OK,54.6617614,-15.1929257,53.1766304,-58.5202729,-42.403,-18.349,-214.919,0.0295462,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559888,1,OK,49.4195579,12.5977019,48.1977192,33.7201742,30.452,-12.450,-214.055,0.0355692,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559888,1,OK,51.7285709,13.1620344,50.4985377,9.1306953,23.656,-11.441,-215.616,0.0268828,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559888,1,OK,53.4946092,-11.2113821,52.6651600,19.5288394,-50.138,-21.300,-215.633,0.0327020,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559888,1,OK,54.2431353,-15.1181616,52.7498412,-59.0544837,-43.379,-18.325,-214.264,0.0137417,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559896,1,OK,49.4238567,12.6060559,48.2005372,33.7229069,30.461,-12.454,-214.065,0.0361879,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559896,1,OK,51.7315058,13.1651270,50.5010082,9.1341348,23.664,-11.442,-215.622,0.0271142,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559896,1,OK,53.1914678,-11.0955787,52.3703103,19.5999115,-50.921,-21.304,-215.206,0.0243125,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559896,1,OK,54.0510815,-14.9449295,52.5826114,-59.3091894,-44.036,-17.888,-213.502,0.0247580,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559904,1,OK,49.4267667,12.6047092,48.2038445,33.7354727,30.463,-12.447,-214.057,0.0359694,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559904,1,OK,51.7357270,13.1623499,50.5059545,9.1346813,23.669,-11.435,-215.629,0.0266186,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559904,1,OK,52.6775261,-10.9472157,51.8634326,20.1905322,-51.375,-21.699,-214.921,0.0372184,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559904,1,OK,54.0058051,-14.8646851,52.5512085,-59.3667130,-44.781,-17.180,-212.568,0.0315437,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559912,1,OK,49.4235368,12.6053354,48.2003473,33.7444785,30.467,-12.454,-214.068,0.0368316,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559912,1,OK,51.7370981,13.1603096,50.5077803,9.1418477,23.675,-11.432,-215.630,0.0269730,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559912,1,OK,52.7651322,-10.9394841,51.9548155,19.5956063,-51.612,-20.622,-213.726,0.0329066,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559912,1,OK,53.6805095,-14.6804628,52.2457805,-60.0126247,-44.642,-17.188,-212.263,0.0299071,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559920,1,OK,49.4288007,12.6123089,48.2044485,33.7561501,30.483,-12.443,-214.062,0.0365856,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559920,1,OK,51.7347577,13.1622189,50.5049668,9.1574230,23.683,-11.436,-215.637,0.0268213,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559920,1,OK,52.5995280,-11.0407714,51.7687932,19.7959484,-51.522,-20.427,-213.418,0.0376382,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559920,1,OK,53.5854327,-14.6627157,52.1492245,-60.2662196,-44.319,-16.843,-211.548,0.0299674,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559928,1,OK,49.4274997,12.6132342,48.2029050,33.7685208,30.490,-12.443,-214.068,0.0363171,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7559928,1,OK,51.7452547,13.1634132,50.5157050,9.1489404,23.691,-11.420,-215.641,0.0263553,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559928,1,OK,52.5082016,-11.1273183,51.6612826,19.6669943,-51.293,-20.320,-213.301,0.0311120,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7559928,1,OK,53.5481584,-14.7843429,52.0850723,-60.2919881,-44.108,-16.717,-211.550,0.0345655,0
