Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,212761
1,0,PATTERN_START,0,212761
1, 1, SUCCESS, 0, 4026
1, 2, SUCCESS, 0, 3154
1, 3, SUCCESS, 0, 3654
1, 4, SUCCESS, 0, 2378
1, 5, SUCCESS, 0, 3488
1, 6, SUCCESS, 0, 3319
1,0,PATTERN_FINISH,0,233177
2,0,PATTERN_START,0,238177
2, 1, SUCCESS, 0, 2996
2, 2, SUCCESS, 0, 2582
2, 3, SUCCESS, 0, 1998
2, 4, ERROR, 1, 1402
2, 4, ERROR, 2, 1402
2, 4, ERROR, 3, 1403
2, 4, ERROR, 4, 1408
2, 4, ERROR, 5, 1409
2, 4, ERROR, 6, 1420
2, 4, ERROR, 7, 1424
2, 4, ERROR, 8, 1429
2, 4, ERROR, 9, 1435
2, 4, ERROR, 10, 1441
2, 4, ERROR, 11, 1444
2, 4, ERROR, 12, 1445
2, 4, ERROR, 13, 1465
2, 4, ERROR, 14, 1473
2, 4, ERROR, 15, 1476
2, 4, ERROR, 16, 1479
2, 4, ERROR, 17, 1492
2, 4, ERROR, 18, 1556
2, 4, ERROR, 19, 1569
2, 4, ERROR, 20, 1648
2, 4, ERROR, 21, 1660
2, 4, ERROR, 22, 1661
2, 4, ERROR, 23, 1662
2, 4, ERROR, 24, 1664
2, 4, ERROR, 25, 1668
2, 4, ERROR, 26, 1681
2, 4, ERROR, 27, 1683
2, 4, ERROR, 28, 1689
2, 4, SUCCESS, 0, 3734
2, 5, SUCCESS, 0, 3742
2, 6, SUCCESS, 0, 3156
2,0,PATTERN_FINISH,0,256778
3,0,PATTERN_START,0,261779
3, 1, SUCCESS, 0, 6135
3, 2, SUCCESS, 0, 2397
3, 3, SUCCESS, 0, 2273
3, 4, SUCCESS, 0, 1958
3, 5, SUCCESS, 0, 2711
3, 6, SUCCESS, 0, 2928
3,0,PATTERN_FINISH,0,280577
4,0,PATTERN_START,0,326748
4, 1, SUCCESS, 0, 2832
4, 2, SUCCESS, 0, 2251
4, 3, SUCCESS, 0, 2661
4, 4, SUCCESS, 0, 1848
4, 5, SUCCESS, 0, 2872
4, 6, SUCCESS, 0, 5021
4,0,PATTERN_FINISH,0,344628
5,0,PATTERN_START,0,349628
5, 1, SUCCESS, 0, 2617
5, 2, ERROR, 1, 151
5, 2, SUCCESS, 0, 2527
5, 3, SUCCESS, 0, 2675
5, 4, SUCCESS, 0, 1735
5, 5, SUCCESS, 0, 2100
5, 6, SUCCESS, 0, 2136
5,0,PATTERN_FINISH,0,363812
6,0,PATTERN_START,0,368813
6, 1, SUCCESS, 0, 2357
6, 2, SUCCESS, 0, 2936
6, 3, SUCCESS, 0, 2070
6, 4, ERROR, 1, 1366
6, 4, ERROR, 2, 1369
6, 4, ERROR, 3, 1378
6, 4, ERROR, 4, 1382
6, 4, ERROR, 5, 1412
6, 4, ERROR, 6, 1414
6, 4, ERROR, 7, 1414
6, 4, ERROR, 8, 1428
6, 4, ERROR, 9, 1584
6, 4, ERROR, 10, 1608
6, 4, ERROR, 11, 1609
6, 4, ERROR, 12, 1613
6, 4, ERROR, 13, 1613
6, 4, ERROR, 14, 1615
6, 4, ERROR, 15, 1616
6, 4, ERROR, 16, 1617
6, 4, ERROR, 17, 1619
6, 4, ERROR, 18, 1620
6, 4, ERROR, 19, 1622
6, 4, SUCCESS, 0, 2125
6, 5, SUCCESS, 0, 2788
6, 6, SUCCESS, 0, 2156
6,0,PATTERN_FINISH,0,383638
0,0,TASK_FINISH,0,383638

