Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143320,1,OK,55.3479518,7.9391086,54.9638114,-33.6644189,37.058,-11.198,-233.201,0.0326411,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143320,1,OK,55.2979107,8.7396359,54.8304892,-51.8765079,39.983,-7.316,-227.488,0.0408154,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143320,1,OK,53.2364972,-10.6945427,52.4760451,-27.5269696,-65.899,-3.129,-223.274,0.0256103,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143320,1,OK,56.4113844,-9.0839679,55.9267233,51.6510332,-64.937,-8.003,-229.731,0.0217763,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143328,1,OK,55.3431280,7.7458997,54.9775743,-34.0222860,37.785,-11.007,-233.384,0.0268939,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143328,1,OK,55.2612568,8.5571202,54.8127732,-52.1897810,40.805,-7.195,-227.681,0.0382306,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143328,1,OK,53.2026309,-10.5350233,52.4642106,-27.7708395,-66.409,-2.441,-223.624,0.0191181,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143328,1,OK,56.3775284,-8.9182514,55.9100142,51.6084159,-65.548,-7.334,-230.061,0.0218490,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143336,1,OK,55.4503209,7.3910980,55.1191174,-34.6461568,39.209,-10.871,-233.748,0.0259144,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143336,1,OK,55.3312117,8.1929239,54.9215823,-52.6471572,42.418,-7.149,-228.035,0.0330633,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143336,1,OK,53.2727118,-10.3320338,52.5648202,-28.0150238,-67.024,-2.052,-224.119,0.0156519,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143336,1,OK,56.4590920,-8.7585280,56.0097789,51.3147280,-66.194,-6.915,-230.623,0.0250924,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143344,1,OK,55.5017893,6.9981312,55.2057168,-35.0595841,40.728,-10.929,-234.118,0.0286514,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143344,1,OK,55.3833238,7.7545342,55.0174982,-52.9532864,44.004,-7.192,-228.494,0.0354274,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143344,1,OK,53.3440273,-10.2060634,52.6554091,-27.9434513,-67.655,-1.988,-224.791,0.0186023,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143344,1,OK,56.5603402,-8.6373840,56.1252030,51.2275596,-66.781,-6.804,-231.353,0.0296122,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143352,1,OK,55.5060257,6.6867574,55.2359461,-35.0206780,41.730,-10.920,-234.259,0.0248403,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143352,1,OK,55.3774990,7.4736628,55.0378598,-52.9510944,45.109,-7.197,-228.672,0.0347751,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143352,1,OK,53.5036017,-10.0483938,52.8403691,-27.4017248,-68.433,-1.881,-225.384,0.0174687,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143352,1,OK,56.7185431,-8.4515190,56.3046542,51.2297476,-67.433,-6.756,-231.905,0.0304187,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143360,1,OK,55.5967746,6.3310212,55.3556736,-34.8372572,42.759,-10.935,-234.666,0.0250839,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143360,1,OK,55.4665176,7.1161720,55.1598834,-52.7636749,46.120,-7.221,-229.026,0.0350781,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143360,1,OK,53.5924399,-9.7620090,52.9691268,-26.8946182,-69.824,-2.242,-226.303,0.0187226,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143360,1,OK,56.8828914,-8.1627072,56.4995246,51.3127759,-68.534,-6.895,-232.651,0.0245862,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143368,1,OK,55.7954920,5.9644657,55.5832506,-34.7367818,44.239,-11.024,-235.416,0.0192812,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143368,1,OK,55.6857452,6.7023775,55.4162185,-52.5491113,47.592,-7.271,-229.733,0.0386451,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143368,1,OK,53.7673785,-9.3334052,53.2020525,-26.4932154,-70.993,-2.283,-227.079,0.0238304,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143368,1,OK,57.0551849,-7.9014395,56.6985736,51.3751901,-69.782,-7.117,-233.677,0.0172572,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143376,1,OK,55.9733964,5.7135257,55.7800318,-34.3360183,45.374,-11.164,-236.475,0.0228857,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143376,1,OK,55.8479983,6.4907232,55.5968794,-52.0896255,48.730,-7.411,-230.893,0.0366358,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143376,1,OK,53.9563300,-9.0325865,53.4310324,-25.9524678,-71.974,-2.214,-227.834,0.0173364,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143376,1,OK,57.2734837,-7.6394733,56.9431296,51.2401862,-70.568,-6.956,-234.384,0.0257083,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143384,1,OK,56.1062598,5.5702858,55.9234367,-33.9032025,46.052,-11.070,-237.678,0.0255501,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143384,1,OK,56.0040422,6.3530776,55.7649418,-51.5653505,49.371,-7.255,-232.121,0.0381380,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143384,1,OK,54.0451087,-8.9238048,53.5342361,-25.8032581,-72.845,-2.296,-228.664,0.0217213,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143384,1,OK,57.3736737,-7.4987615,57.0567120,51.1926624,-71.251,-7.081,-235.051,0.0295505,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143392,1,OK,56.2141094,5.4342877,56.0408547,-33.4572666,46.457,-10.377,-238.436,0.0241979,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143392,1,OK,56.1044329,6.2285480,55.8755426,-51.2019776,49.679,-6.568,-232.709,0.0364490,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143392,1,OK,54.0974750,-8.8437786,53.5968153,-25.3751545,-73.226,-2.315,-229.008,0.0134084,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143392,1,OK,57.4720334,-7.3978605,57.1647870,51.3425062,-71.560,-6.894,-235.421,0.0203670,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143400,1,OK,56.0861108,5.4159132,55.9131966,-33.0425825,46.977,-9.859,-238.710,0.0280977,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143400,1,OK,56.0387832,6.1689601,55.8137207,-50.8646065,50.061,-5.906,-232.940,0.0368511,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143400,1,OK,54.1785047,-8.6995390,53.6957000,-25.3788362,-73.415,-2.103,-229.238,0.0220172,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143400,1,OK,57.4957452,-7.3421869,57.1934225,51.3733843,-71.865,-6.817,-235.773,0.0273861,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143408,1,OK,55.9541880,5.2326596,55.7920233,-32.7283822,47.286,-9.113,-238.486,0.0283292,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143408,1,OK,55.9268813,6.0017979,55.7130201,-50.7219595,50.296,-5.173,-232.704,0.0429562,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143408,1,OK,54.1456094,-8.6419551,53.6686756,-24.8232980,-73.831,-2.063,-229.521,0.0180933,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143408,1,OK,57.5184216,-7.2788532,57.2215962,51.4508742,-72.153,-6.695,-235.950,0.0248888,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143416,1,OK,55.7549960,5.1111709,55.5991413,-32.5995244,47.806,-8.649,-238.374,0.0219364,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143416,1,OK,55.7094653,5.9393299,55.4983372,-50.6590360,50.773,-4.660,-232.553,0.0407138,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143416,1,OK,54.1449665,-8.5876945,53.6740663,-24.6827425,-74.174,-1.837,-229.683,0.0251623,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143416,1,OK,57.5547676,-7.2157416,57.2635193,51.5423226,-72.369,-6.373,-236.166,0.0245323,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143424,1,OK,55.5560291,4.9282628,55.4100872,-32.5402713,48.238,-7.758,-238.192,0.0243764,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3143424,1,OK,55.4916691,5.7458407,55.2925249,-50.8144309,51.196,-3.716,-232.487,0.0342132,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143424,1,OK,54.0929388,-8.5128208,53.6294236,-24.7263696,-74.332,-1.462,-229.596,0.0246575,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3143424,1,OK,57.4925159,-7.2147735,57.2006448,51.6118719,-72.645,-6.069,-236.251,0.0275906,0
