Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011416,1,OK,0.7044357,-0.4213302,-0.5540098,-0.1390124,95.255,-102.528,-162.134,0.0038562,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011416,1,OK,0.9145015,0.2590661,0.1232583,-0.2852702,-15.874,64.645,-267.848,0.0406734,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011424,1,OK,0.7044736,-0.4213861,-0.5539331,-0.1389565,95.246,-102.526,-162.133,0.0038579,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011424,1,OK,0.9147259,0.2586375,0.1228647,-0.2851095,-16.087,64.635,-267.617,0.0439239,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011432,1,OK,0.7044670,-0.4214064,-0.5539150,-0.1390002,95.238,-102.526,-162.105,0.0032399,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011432,1,OK,0.9151250,0.2588767,0.1218732,-0.2840352,-16.191,64.572,-267.614,0.0453051,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011440,1,OK,0.7044342,-0.4213336,-0.5539696,-0.1391695,95.228,-102.530,-162.077,0.0035032,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011440,1,OK,0.9149874,0.2595112,0.1214572,-0.2840778,-16.256,64.515,-267.877,0.0457672,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011448,1,OK,0.7044840,-0.4216100,-0.5537832,-0.1388221,95.231,-102.535,-162.071,0.0008582,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011448,1,OK,0.9145147,0.2596567,0.1219788,-0.2852411,-16.292,64.416,-268.123,0.0469549,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011456,1,OK,0.7045260,-0.4217898,-0.5536433,-0.1386202,95.231,-102.533,-162.070,0.0009860,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011456,1,OK,0.9139919,0.2596805,0.1227613,-0.2865563,-16.351,64.308,-268.199,0.0430376,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011464,1,OK,0.7045118,-0.4216827,-0.5537211,-0.1387073,95.232,-102.528,-162.076,0.0014846,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011464,1,OK,0.9146173,0.2593502,0.1227215,-0.2848721,-16.052,64.483,-267.915,0.0438202,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011472,1,OK,0.7044877,-0.4215602,-0.5538049,-0.1388674,95.228,-102.531,-162.062,0.0007271,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011472,1,OK,0.9145561,0.2593994,0.1224699,-0.2851318,-16.152,64.479,-267.873,0.0440052,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011480,1,OK,0.7044960,-0.4216794,-0.5537226,-0.1387914,95.224,-102.534,-162.049,0.0005695,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011480,1,OK,0.9145360,0.2595086,0.1223409,-0.2851524,-16.232,64.491,-267.847,0.0443069,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011488,1,OK,0.7044632,-0.4215810,-0.5538141,-0.1388918,95.231,-102.533,-162.061,0.0014248,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011488,1,OK,0.9144380,0.2595182,0.1223571,-0.2854510,-16.281,64.481,-267.858,0.0444434,0
