Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194536,1,OK,0.8750472,0.2424888,-0.0738872,-0.4123497,11.015,-8.544,-157.634,0.0403379,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194536,1,OK,0.6809411,-0.3606646,-0.6088934,-0.1883855,93.167,-107.714,-162.126,0.0015259,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194536,1,OK,0.8831449,0.4242523,-0.1028043,0.1717453,-10.974,49.766,-234.127,0.0481755,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194544,1,OK,0.8750675,0.2424588,-0.0738844,-0.4123248,11.012,-8.548,-157.625,0.0402587,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194544,1,OK,0.6809516,-0.3606925,-0.6088670,-0.1883795,93.163,-107.714,-162.116,0.0020242,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194544,1,OK,0.8831272,0.4242946,-0.1027710,0.1717516,-10.960,49.758,-234.128,0.0477651,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194552,1,OK,0.8750401,0.2424720,-0.0738808,-0.4123758,11.014,-8.545,-157.625,0.0400849,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194552,1,OK,0.6809311,-0.3605969,-0.6089190,-0.1884683,93.159,-107.717,-162.111,0.0019653,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194552,1,OK,0.8831353,0.4243205,-0.1027271,0.1716723,-10.945,49.753,-234.117,0.0480333,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194560,1,OK,0.8750473,0.2425076,-0.0739130,-0.4123339,11.015,-8.543,-157.629,0.0400546,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194560,1,OK,0.6808869,-0.3605074,-0.6089940,-0.1885568,93.166,-107.717,-162.121,0.0021789,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194560,1,OK,0.8831515,0.4243341,-0.1026868,0.1715794,-10.941,49.752,-234.103,0.0477309,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194568,1,OK,0.8750633,0.2425025,-0.0739486,-0.4122964,11.017,-8.542,-157.624,0.0397915,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194568,1,OK,0.6809458,-0.3607367,-0.6088740,-0.1882933,93.176,-107.718,-162.140,0.0019029,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194568,1,OK,0.8831203,0.4243168,-0.1028045,0.1717121,-10.948,49.753,-234.072,0.0477633,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194576,1,OK,0.8750560,0.2425204,-0.0739473,-0.4123017,11.019,-8.539,-157.628,0.0395430,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194576,1,OK,0.6809640,-0.3608137,-0.6088460,-0.1881704,93.184,-107.718,-162.141,0.0019730,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194576,1,OK,0.8830720,0.4242861,-0.1029915,0.1719242,-10.970,49.757,-234.055,0.0477834,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194584,1,OK,0.8750418,0.2425110,-0.0740077,-0.4123265,11.024,-8.541,-157.638,0.0393049,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194584,1,OK,0.6810214,-0.3609572,-0.6087345,-0.1880480,93.170,-107.719,-162.135,0.0020084,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194584,1,OK,0.8830764,0.4242560,-0.1031038,0.1719084,-11.006,49.759,-234.048,0.0479243,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194592,1,OK,0.8750534,0.2425094,-0.0739799,-0.4123079,11.024,-8.537,-157.643,0.0394421,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194592,1,OK,0.6809369,-0.3607454,-0.6088981,-0.1882307,93.180,-107.724,-162.138,0.0029735,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194592,1,OK,0.8831109,0.4242291,-0.1031259,0.1717846,-11.053,49.758,-234.040,0.0475232,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194600,1,OK,0.8751012,0.2424821,-0.0739953,-0.4122196,11.025,-8.539,-157.642,0.0390999,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194600,1,OK,0.6809620,-0.3608191,-0.6088411,-0.1881831,93.170,-107.727,-162.131,0.0033626,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194600,1,OK,0.8831677,0.4241606,-0.1031629,0.1716394,-11.085,49.751,-234.019,0.0475497,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194608,1,OK,0.8751330,0.2424848,-0.0740246,-0.4121453,11.027,-8.540,-157.650,0.0384479,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194608,1,OK,0.6808988,-0.3605876,-0.6089853,-0.1883891,93.177,-107.726,-162.137,0.0045439,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194608,1,OK,0.8831937,0.4241339,-0.1031969,0.1715507,-11.116,49.760,-234.001,0.0475471,0
