Tools,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840624,1,OK,0.8536590,0.3538600,0.2615612,-0.2786309,-2.286,23.168,-310.232,0.0394437,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840624,1,OK,0.6826226,-0.3892261,-0.5830959,-0.2062247,86.892,-115.271,-161.912,0.0028713,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840632,1,OK,0.8537050,0.3539153,0.2614243,-0.2785481,-2.277,23.161,-310.203,0.0405275,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840632,1,OK,0.6826521,-0.3892598,-0.5830549,-0.2061795,86.889,-115.269,-161.917,0.0035873,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840640,1,OK,0.8537532,0.3539317,0.2613444,-0.2784544,-2.280,23.155,-310.201,0.0401951,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840640,1,OK,0.6826238,-0.3891925,-0.5831160,-0.2062271,86.893,-115.270,-161.923,0.0028285,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840648,1,OK,0.8536848,0.3539156,0.2614156,-0.2786177,-2.279,23.156,-310.204,0.0390868,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840648,1,OK,0.6826529,-0.3893464,-0.5830323,-0.2060770,86.895,-115.273,-161.916,0.0031978,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840656,1,OK,0.8536897,0.3538529,0.2614294,-0.2786696,-2.265,23.149,-310.184,0.0379099,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840656,1,OK,0.6827518,-0.3896466,-0.5828242,-0.2057703,86.896,-115.272,-161.910,0.0049354,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840664,1,OK,0.8536928,0.3538118,0.2614976,-0.2786483,-2.270,23.141,-310.163,0.0378179,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840664,1,OK,0.6827271,-0.3894831,-0.5829179,-0.2058965,86.895,-115.272,-161.931,0.0036862,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840672,1,OK,0.8536737,0.3537739,0.2616168,-0.2786428,-2.286,23.136,-310.171,0.0382556,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840672,1,OK,0.6826118,-0.3891174,-0.5831628,-0.2062761,86.896,-115.272,-161.933,0.0033618,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840680,1,OK,0.8537802,0.3539096,0.2614359,-0.2783140,-2.279,23.148,-310.189,0.0378659,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840680,1,OK,0.6825857,-0.3891193,-0.5831898,-0.2062826,86.896,-115.274,-161.918,0.0024632,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840688,1,OK,0.8537870,0.3539827,0.2613398,-0.2782904,-2.284,23.165,-310.159,0.0370321,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840688,1,OK,0.6825696,-0.3890317,-0.5832441,-0.2063478,86.899,-115.275,-161.930,0.0024366,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840696,1,OK,0.8538704,0.3540105,0.2612065,-0.2781242,-2.284,23.148,-310.180,0.0375915,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840696,1,OK,0.6825112,-0.3888479,-0.5833681,-0.2065367,86.902,-115.274,-161.935,0.0028018,0
