Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100880,1,OK,0.6815772,-0.3916605,-0.5818013,-0.2087145,87.804,-115.016,-161.911,0.0025132,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100880,1,OK,0.8814463,0.4358064,-0.0876543,0.1595055,-6.738,36.048,-207.403,0.0181979,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100880,1,OK,0.8776121,0.2587790,-0.0539733,-0.3998967,29.221,2.453,-189.273,0.0444719,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100888,1,OK,0.6815975,-0.3917150,-0.5817600,-0.2086615,87.805,-115.014,-161.911,0.0034239,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100888,1,OK,0.8814855,0.4358421,-0.0874107,0.1593245,-6.684,36.066,-207.386,0.0222752,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100888,1,OK,0.8776125,0.2590114,-0.0539874,-0.3997434,29.177,2.430,-189.255,0.0444580,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100896,1,OK,0.6816279,-0.3917649,-0.5817096,-0.2086088,87.800,-115.012,-161.917,0.0034851,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100896,1,OK,0.8816294,0.4358341,-0.0870609,0.1587407,-6.675,36.081,-207.359,0.0315913,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100896,1,OK,0.8777013,0.2591286,-0.0542015,-0.3994434,29.132,2.388,-189.248,0.0442460,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100904,1,OK,0.6816024,-0.3917390,-0.5817406,-0.2086544,87.801,-115.011,-161.906,0.0035404,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100904,1,OK,0.8816011,0.4358794,-0.0870519,0.1587783,-6.709,36.096,-207.322,0.0425716,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100904,1,OK,0.8778052,0.2591937,-0.0543666,-0.3991503,29.080,2.359,-189.242,0.0433722,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100912,1,OK,0.6816639,-0.3919404,-0.5815945,-0.2084823,87.798,-115.011,-161.894,0.0049211,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100912,1,OK,0.8814679,0.4359792,-0.0873882,0.1590590,-6.734,36.116,-207.313,0.0519384,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100912,1,OK,0.8777610,0.2593060,-0.0545033,-0.3991558,29.028,2.332,-189.228,0.0443365,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100920,1,OK,0.6816611,-0.3919518,-0.5815935,-0.2084727,87.799,-115.014,-161.887,0.0039912,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100920,1,OK,0.8814140,0.4360326,-0.0875938,0.1590985,-6.769,36.125,-207.309,0.0602184,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100920,1,OK,0.8778115,0.2594415,-0.0546396,-0.3989381,28.966,2.321,-189.213,0.0442556,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100928,1,OK,0.6816711,-0.3919319,-0.5815986,-0.2084637,87.804,-115.010,-161.900,0.0040808,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100928,1,OK,0.8814599,0.4360158,-0.0876293,0.1588703,-6.803,36.107,-207.326,0.0653151,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100928,1,OK,0.8778884,0.2595855,-0.0548339,-0.3986484,28.909,2.315,-189.208,0.0437809,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100936,1,OK,0.6817069,-0.3920476,-0.5815276,-0.2083267,87.806,-115.010,-161.900,0.0047164,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100936,1,OK,0.8814252,0.4359687,-0.0877488,0.1591259,-6.825,36.104,-207.325,0.0655422,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100936,1,OK,0.8779682,0.2596979,-0.0550654,-0.3983675,28.860,2.305,-189.199,0.0428941,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100944,1,OK,0.6817108,-0.3920895,-0.5815041,-0.2083009,87.806,-115.010,-161.893,0.0044754,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100944,1,OK,0.8813517,0.4359809,-0.0878723,0.1594313,-6.805,36.123,-207.273,0.0584939,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100944,1,OK,0.8781301,0.2597592,-0.0553190,-0.3979353,28.806,2.294,-189.195,0.0421707,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100952,1,OK,0.6816885,-0.3920121,-0.5815543,-0.2083792,87.803,-115.011,-161.897,0.0036505,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100952,1,OK,0.8815157,0.4358965,-0.0875317,0.1589419,-6.760,36.094,-207.278,0.0511390,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100952,1,OK,0.8782570,0.2597849,-0.0555731,-0.3976029,28.763,2.287,-189.196,0.0417978,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100960,1,OK,0.6816943,-0.3920504,-0.5815387,-0.2083319,87.808,-115.013,-161.900,0.0050966,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100960,1,OK,0.8815272,0.4358480,-0.0873262,0.1591242,-6.694,36.086,-207.274,0.0421157,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100960,1,OK,0.8783650,0.2598002,-0.0557939,-0.3973233,28.710,2.300,-189.188,0.0418062,0
