Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955136,1,OK,0.7170932,-0.4793059,-0.4989409,-0.0842680,92.371,-97.296,-161.964,0.0047302,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955136,1,OK,0.9419735,0.2797801,0.0500973,-0.1786036,-8.561,57.169,-261.907,0.0431546,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955144,1,OK,0.7171273,-0.4796172,-0.4986512,-0.0839209,92.363,-97.303,-161.933,0.0050341,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955144,1,OK,0.9421435,0.2784928,0.0515074,-0.1793163,-8.307,57.377,-261.594,0.0418450,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955152,1,OK,0.7171227,-0.4795862,-0.4986819,-0.0839551,92.367,-97.302,-161.940,0.0054422,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955152,1,OK,0.9423787,0.2769750,0.0526313,-0.1801031,-8.038,57.605,-261.060,0.0378141,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955160,1,OK,0.7170765,-0.4792745,-0.4989931,-0.0842804,92.378,-97.298,-161.964,0.0050386,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955160,1,OK,0.9427385,0.2755039,0.0540162,-0.1800667,-7.864,57.724,-260.619,0.0377682,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955168,1,OK,0.7170583,-0.4791553,-0.4991136,-0.0843994,92.386,-97.294,-161.978,0.0048814,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955168,1,OK,0.9429973,0.2740739,0.0553202,-0.1804973,-7.622,57.864,-260.330,0.0378641,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955176,1,OK,0.7170524,-0.4791753,-0.4991101,-0.0843557,92.395,-97.293,-161.988,0.0047100,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955176,1,OK,0.9430257,0.2728554,0.0565301,-0.1818153,-7.406,58.057,-259.973,0.0376685,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955184,1,OK,0.7170812,-0.4793243,-0.4989727,-0.0840778,92.408,-97.287,-162.009,0.0055082,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955184,1,OK,0.9432689,0.2722337,0.0572556,-0.1812579,-7.182,58.219,-259.684,0.0399829,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955192,1,OK,0.7170568,-0.4791967,-0.4991100,-0.0841977,92.413,-97.287,-162.017,0.0050060,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955192,1,OK,0.9434020,0.2715418,0.0578512,-0.1814140,-6.965,58.293,-259.552,0.0397283,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955200,1,OK,0.7170045,-0.4790473,-0.4992913,-0.0844180,92.422,-97.290,-162.009,0.0041731,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955200,1,OK,0.9433959,0.2706836,0.0589196,-0.1823816,-6.890,58.286,-259.416,0.0414042,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955208,1,OK,0.7169984,-0.4791710,-0.4992047,-0.0842797,92.423,-97.295,-162.003,0.0047540,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955208,1,OK,0.9432473,0.2708483,0.0595858,-0.1826888,-6.794,58.335,-259.375,0.0416225,0
