Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338040,1,OK,0.7125667,-0.4199840,-0.5425096,-0.1467835,95.508,-103.645,-162.102,0.0035933,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338040,1,OK,0.8766396,0.4192912,-0.1127606,0.2073234,-6.956,52.292,-215.155,0.0444429,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338040,1,OK,0.7576864,0.2575462,-0.0557458,-0.5970541,15.322,16.234,-190.968,0.0390398,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338048,1,OK,0.7125441,-0.4198603,-0.5425841,-0.1469719,95.496,-103.649,-162.093,0.0021539,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338048,1,OK,0.8764727,0.4194911,-0.1128422,0.2075799,-6.882,52.259,-215.192,0.0447394,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338048,1,OK,0.7573882,0.2577212,-0.0546012,-0.5974626,15.206,15.845,-190.369,0.0393494,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338056,1,OK,0.7125342,-0.4198753,-0.5426005,-0.1469163,95.500,-103.650,-162.092,0.0025739,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338056,1,OK,0.8764350,0.4197563,-0.1126477,0.2073085,-6.830,52.230,-215.289,0.0438678,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338056,1,OK,0.7578520,0.2589125,-0.0549419,-0.5963271,14.886,15.363,-190.247,0.0366717,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338064,1,OK,0.7125167,-0.4197565,-0.5426951,-0.1469916,95.504,-103.650,-162.112,0.0020426,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338064,1,OK,0.8764690,0.4199763,-0.1123477,0.2068815,-6.820,52.223,-215.367,0.0439380,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338064,1,OK,0.7582950,0.2595577,-0.0554255,-0.5954380,14.560,15.029,-190.192,0.0360404,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338072,1,OK,0.7124725,-0.4196483,-0.5428097,-0.1470914,95.522,-103.649,-162.119,0.0021570,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338072,1,OK,0.8763730,0.4201352,-0.1124194,0.2069265,-6.821,52.196,-215.424,0.0435448,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338072,1,OK,0.7585408,0.2599746,-0.0555948,-0.5949271,14.461,14.960,-190.183,0.0327347,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338080,1,OK,0.7124431,-0.4194673,-0.5429431,-0.1472576,95.526,-103.646,-162.132,0.0026611,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338080,1,OK,0.8762777,0.4201418,-0.1126932,0.2071678,-6.816,52.182,-215.436,0.0430377,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338080,1,OK,0.7583461,0.2594636,-0.0555811,-0.5953994,14.413,14.991,-190.101,0.0355605,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338088,1,OK,0.7124009,-0.4193790,-0.5430347,-0.1473753,95.531,-103.645,-162.123,0.0030890,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338088,1,OK,0.8762221,0.4201438,-0.1128823,0.2072960,-6.884,52.185,-215.397,0.0430674,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338088,1,OK,0.7587035,0.2595232,-0.0558787,-0.5948901,14.477,15.122,-190.145,0.0349829,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338096,1,OK,0.7123793,-0.4193406,-0.5430659,-0.1474739,95.527,-103.647,-162.107,0.0024336,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338096,1,OK,0.8763250,0.4202126,-0.1128058,0.2067627,-6.977,52.179,-215.435,0.0431769,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338096,1,OK,0.7591408,0.2598780,-0.0560459,-0.5941612,14.421,14.998,-190.385,0.0351003,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338104,1,OK,0.7123512,-0.4191995,-0.5431589,-0.1476685,95.528,-103.643,-162.104,0.0030957,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338104,1,OK,0.8763401,0.4199327,-0.1130487,0.2071343,-6.987,52.165,-215.335,0.0361906,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338104,1,OK,0.7581110,0.2606159,-0.0558741,-0.5951682,14.384,14.802,-190.478,0.0358721,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338112,1,OK,0.7123016,-0.4189887,-0.5433287,-0.1478813,95.533,-103.642,-162.110,0.0047929,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338112,1,OK,0.8760983,0.4196689,-0.1139168,0.2082131,-7.021,52.154,-215.321,0.0333971,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338112,1,OK,0.7578345,0.2614325,-0.0551824,-0.5952267,14.313,14.548,-190.736,0.0335163,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338120,1,OK,0.7122487,-0.4188566,-0.5434689,-0.1479953,95.544,-103.644,-162.108,0.0058461,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338120,1,OK,0.8759429,0.4195050,-0.1144427,0.2089080,-7.081,52.138,-215.354,0.0288730,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338120,1,OK,0.7569097,0.2624306,-0.0543904,-0.5960366,14.270,14.428,-190.921,0.0335873,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338128,1,OK,0.7122057,-0.4187147,-0.5435911,-0.1481543,95.550,-103.645,-162.108,0.0061495,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338128,1,OK,0.8758966,0.4196001,-0.1145591,0.2088469,-7.148,52.134,-215.369,0.0273319,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338128,1,OK,0.7570147,0.2626781,-0.0551432,-0.5957249,14.179,14.350,-191.095,0.0366875,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338136,1,OK,0.7122500,-0.4187775,-0.5435080,-0.1480690,95.545,-103.644,-162.116,0.0055449,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338136,1,OK,0.8758033,0.4195596,-0.1149829,0.2090870,-7.206,52.127,-215.365,0.0288929,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338136,1,OK,0.7578621,0.2628549,-0.0560899,-0.5944798,14.147,14.514,-191.236,0.0340991,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338144,1,OK,0.7122544,-0.4188254,-0.5434855,-0.1479948,95.552,-103.642,-162.125,0.0048427,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338144,1,OK,0.8755951,0.4195475,-0.1156607,0.2096085,-7.496,52.123,-215.390,0.0439712,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338144,1,OK,0.7572928,0.2623308,-0.0560274,-0.5954420,14.116,14.669,-191.144,0.0389415,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338152,1,OK,0.7123297,-0.4190310,-0.5433017,-0.1477251,95.550,-103.636,-162.129,0.0036249,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338152,1,OK,0.8756866,0.4194422,-0.1154671,0.2095440,-7.341,52.116,-215.353,0.0305405,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338152,1,OK,0.7573785,0.2620644,-0.0560948,-0.5954439,14.108,14.753,-191.096,0.0351303,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338160,1,OK,0.7123515,-0.4191538,-0.5431945,-0.1476659,95.540,-103.637,-162.103,0.0020164,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338160,1,OK,0.8756260,0.4193047,-0.1157373,0.2099224,-7.399,52.121,-215.348,0.0344751,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338160,1,OK,0.7578059,0.2618906,-0.0567019,-0.5949188,14.141,14.826,-191.026,0.0359110,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338168,1,OK,0.7123920,-0.4191882,-0.5431213,-0.1476417,95.529,-103.632,-162.107,0.0025120,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338168,1,OK,0.8755898,0.4192389,-0.1159937,0.2100635,-7.450,52.127,-215.320,0.0383725,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338168,1,OK,0.7581680,0.2613135,-0.0570732,-0.5946758,14.152,14.920,-190.941,0.0354504,0
