Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703560,1,OK,0.7398548,0.2760403,0.0224319,-0.6131178,24.216,-8.072,-189.523,0.0493924,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703560,1,OK,0.8557641,0.4610548,-0.0664657,0.2251189,16.440,41.647,-242.153,0.0458810,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703560,1,OK,0.7045739,-0.3984294,-0.5555804,-0.1901580,101.287,-117.108,-161.954,0.0053780,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703568,1,OK,0.7362700,0.2720178,0.0229417,-0.6191821,24.729,-6.948,-188.923,0.0413201,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703568,1,OK,0.8556484,0.4611468,-0.0666997,0.2253012,16.421,41.627,-241.971,0.0462963,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703568,1,OK,0.7046538,-0.3986479,-0.5553958,-0.1899430,101.277,-117.108,-161.944,0.0047070,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703576,1,OK,0.7315106,0.2680374,0.0234884,-0.6264954,25.410,-5.603,-188.161,0.0467201,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703576,1,OK,0.8559176,0.4612573,-0.0661606,0.2242089,16.424,41.574,-241.946,0.0485886,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703576,1,OK,0.7047348,-0.3988570,-0.5552323,-0.1896813,101.278,-117.112,-161.954,0.0034210,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703584,1,OK,0.7270359,0.2629625,0.0250016,-0.6337542,25.786,-4.085,-187.091,0.0539458,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703584,1,OK,0.8557803,0.4614485,-0.0659157,0.2244114,16.526,41.540,-242.187,0.0461811,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703584,1,OK,0.7047210,-0.3987743,-0.5553006,-0.1897066,101.283,-117.114,-161.971,0.0031370,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703592,1,OK,0.7272936,0.2584678,0.0228723,-0.6353859,25.903,-2.303,-185.777,0.0469660,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703592,1,OK,0.8557666,0.4617461,-0.0652448,0.2240470,16.714,41.551,-242.252,0.0440903,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703592,1,OK,0.7046789,-0.3986228,-0.5554088,-0.1898645,101.280,-117.115,-161.971,0.0052550,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703600,1,OK,0.7247304,0.2535937,0.0212422,-0.6403162,25.967,-0.623,-184.461,0.0478962,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703600,1,OK,0.8561383,0.4621553,-0.0638444,0.2221794,16.749,41.575,-242.086,0.0584984,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703600,1,OK,0.7046843,-0.3986138,-0.5554066,-0.1898698,101.282,-117.112,-161.982,0.0048523,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703608,1,OK,0.7198323,0.2493346,0.0213401,-0.6474707,26.130,0.774,-183.686,0.0479212,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703608,1,OK,0.8559357,0.4622190,-0.0632828,0.2229864,17.196,41.554,-242.309,0.0444391,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703608,1,OK,0.7047787,-0.3988402,-0.5552068,-0.1896282,101.278,-117.108,-161.984,0.0031686,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703616,1,OK,0.7201290,0.2465563,0.0204150,-0.6482341,26.515,1.792,-183.210,0.0375796,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703616,1,OK,0.8558768,0.4622224,-0.0627585,0.2233531,17.469,41.545,-242.386,0.0428829,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703616,1,OK,0.7047533,-0.3988128,-0.5552304,-0.1897113,101.275,-117.106,-161.966,0.0038998,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703624,1,OK,0.7138635,0.2435171,0.0221528,-0.6562070,27.387,2.527,-182.828,0.0495701,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703624,1,OK,0.8561632,0.4626808,-0.0611671,0.2217423,17.744,41.570,-242.507,0.0446564,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703624,1,OK,0.7047535,-0.3988439,-0.5552094,-0.1897066,101.274,-117.106,-161.956,0.0039157,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703632,1,OK,0.7156425,0.2394321,0.0219420,-0.6557794,27.907,3.121,-181.923,0.0395857,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703632,1,OK,0.8563280,0.4631001,-0.0596887,0.2206305,18.056,41.594,-242.569,0.0475213,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703632,1,OK,0.7048125,-0.3989922,-0.5550945,-0.1895118,101.274,-117.106,-161.958,0.0031638,0
