Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785688,1,OK,0.6996847,0.2804961,-0.0037191,-0.6570764,1.258,-13.694,-165.304,0.0391510,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785688,1,OK,0.8819144,0.4322465,-0.0726603,0.1735232,0.496,59.038,-241.775,0.0458357,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785688,1,OK,0.7050129,-0.3990911,-0.5528056,-0.1951641,100.354,-119.941,-161.918,0.0039333,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785696,1,OK,0.6995603,0.2813281,-0.0038173,-0.6568526,1.292,-14.005,-165.477,0.0398137,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785696,1,OK,0.8818245,0.4323085,-0.0730466,0.1736639,0.378,58.982,-241.894,0.0458064,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785696,1,OK,0.7050363,-0.3991303,-0.5527540,-0.1951457,100.350,-119.935,-161.905,0.0037682,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785704,1,OK,0.6994291,0.2821925,-0.0028834,-0.6566262,1.258,-14.483,-165.694,0.0395804,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785704,1,OK,0.8817145,0.4326011,-0.0726854,0.1736449,0.521,58.926,-241.837,0.0338489,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785704,1,OK,0.7049966,-0.3990208,-0.5528293,-0.1952994,100.340,-119.937,-161.892,0.0033258,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785712,1,OK,0.6969925,0.2831987,-0.0005459,-0.6587865,1.246,-15.111,-165.987,0.0408577,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785712,1,OK,0.8818226,0.4325559,-0.0722535,0.1733891,0.596,58.995,-241.889,0.0450354,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785712,1,OK,0.7049968,-0.3990350,-0.5528216,-0.1952918,100.341,-119.937,-161.880,0.0026399,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785720,1,OK,0.6964461,0.2847998,0.0003173,-0.6586743,1.209,-15.619,-166.431,0.0371049,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785720,1,OK,0.8818337,0.4325199,-0.0723244,0.1733926,0.573,59.000,-241.880,0.0454151,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785720,1,OK,0.7050298,-0.3991473,-0.5527377,-0.1951804,100.337,-119.937,-161.881,0.0032205,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785728,1,OK,0.6961459,0.2859934,0.0011005,-0.6584735,1.131,-16.187,-166.924,0.0398044,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785728,1,OK,0.8818354,0.4325306,-0.0723382,0.1733514,0.560,59.001,-241.905,0.0455146,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785728,1,OK,0.7050212,-0.3991283,-0.5527730,-0.1951508,100.345,-119.941,-161.898,0.0032699,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785736,1,OK,0.6953133,0.2870244,0.0023163,-0.6589014,1.069,-16.714,-167.185,0.0383747,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785736,1,OK,0.8819204,0.4328247,-0.0715356,0.1725161,0.589,58.925,-241.913,0.0609119,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785736,1,OK,0.7049736,-0.3990226,-0.5528696,-0.1952651,100.346,-119.942,-161.903,0.0037526,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785744,1,OK,0.6954284,0.2883729,0.0026007,-0.6581896,0.916,-17.196,-167.467,0.0324480,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785744,1,OK,0.8819596,0.4330953,-0.0708898,0.1719024,0.672,58.926,-241.934,0.0733858,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785744,1,OK,0.7050084,-0.3990881,-0.5528044,-0.1951900,100.347,-119.942,-161.904,0.0031448,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785752,1,OK,0.6939240,0.2901060,0.0041931,-0.6590072,0.764,-17.628,-167.882,0.0386079,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785752,1,OK,0.8816296,0.4331896,-0.0703678,0.1735637,1.285,58.993,-242.008,0.0474519,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785752,1,OK,0.7050527,-0.3992286,-0.5526932,-0.1950573,100.346,-119.939,-161.896,0.0030212,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785760,1,OK,0.6946935,0.2914269,0.0038318,-0.6576143,0.569,-18.087,-168.140,0.0413980,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785760,1,OK,0.8814583,0.4331546,-0.0701398,0.1746102,1.460,59.008,-241.934,0.0453362,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785760,1,OK,0.7050460,-0.3991874,-0.5527089,-0.1951215,100.347,-119.936,-161.897,0.0038452,0
