Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962776,1,OK,0.6945026,-0.4080191,-0.5752556,-0.1423643,99.321,-107.417,-162.106,0.0035154,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962776,1,OK,0.6090859,0.4739866,0.1517578,-0.6175116,5.395,-76.907,-243.547,0.0191742,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962776,1,OK,0.6923448,0.5449855,-0.3163000,0.3515734,-15.173,-2.005,-304.547,0.0517026,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962784,1,OK,0.6944949,-0.4080533,-0.5752528,-0.1423146,99.325,-107.422,-162.104,0.0025902,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962784,1,OK,0.6090540,0.4740840,0.1517236,-0.6174768,5.424,-76.893,-243.514,0.0193289,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962784,1,OK,0.6923698,0.5450434,-0.3162315,0.3514958,-15.178,-2.000,-304.542,0.0504039,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962792,1,OK,0.6944014,-0.4076789,-0.5755383,-0.1426896,99.335,-107.424,-162.125,0.0046536,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962792,1,OK,0.6090769,0.4741037,0.1517146,-0.6174412,5.426,-76.885,-243.513,0.0194835,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962792,1,OK,0.6923683,0.5450771,-0.3162288,0.3514491,-15.180,-1.989,-304.538,0.0501880,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962800,1,OK,0.6944332,-0.4077935,-0.5754626,-0.1425120,99.340,-107.423,-162.142,0.0038959,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962800,1,OK,0.6092212,0.4740834,0.1516193,-0.6173379,5.417,-76.898,-243.519,0.0192300,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962800,1,OK,0.6923557,0.5451166,-0.3162322,0.3514095,-15.182,-1.983,-304.571,0.0513351,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962808,1,OK,0.6944848,-0.4079741,-0.5753383,-0.1422459,99.340,-107.424,-162.158,0.0029997,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962808,1,OK,0.6092697,0.4740515,0.1515587,-0.6173293,5.414,-76.910,-243.523,0.0197012,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962808,1,OK,0.6924047,0.5451305,-0.3161313,0.3513823,-15.188,-1.998,-304.588,0.0485960,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962816,1,OK,0.6945360,-0.4081165,-0.5752063,-0.1421209,99.329,-107.424,-162.143,0.0026529,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962816,1,OK,0.6092714,0.4740403,0.1515518,-0.6173380,5.410,-76.915,-243.517,0.0205605,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962816,1,OK,0.6923779,0.5451013,-0.3161746,0.3514414,-15.192,-2.002,-304.595,0.0488606,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962824,1,OK,0.6945355,-0.4080447,-0.5752263,-0.1422487,99.317,-107.422,-162.112,0.0032259,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962824,1,OK,0.6092586,0.4739964,0.1515700,-0.6173799,5.405,-76.924,-243.529,0.0206588,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962824,1,OK,0.6923659,0.5450953,-0.3162003,0.3514511,-15.192,-1.995,-304.586,0.0487621,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962832,1,OK,0.6945067,-0.4078889,-0.5753389,-0.1423805,99.323,-107.422,-162.122,0.0039147,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962832,1,OK,0.6093055,0.4739348,0.1515421,-0.6173878,5.391,-76.938,-243.557,0.0212409,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962832,1,OK,0.6923670,0.5450272,-0.3162208,0.3515362,-15.188,-2.020,-304.596,0.0473233,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962840,1,OK,0.6945123,-0.4078535,-0.5753475,-0.1424200,99.315,-107.422,-162.121,0.0048455,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962840,1,OK,0.6091834,0.4739339,0.1515924,-0.6174965,5.401,-76.939,-243.540,0.0203101,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962840,1,OK,0.6923760,0.5449756,-0.3162441,0.3515774,-15.171,-2.040,-304.577,0.0474777,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962848,1,OK,0.6945143,-0.4080095,-0.5752772,-0.1422473,99.324,-107.425,-162.118,0.0040726,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962848,1,OK,0.6091481,0.4739476,0.1515734,-0.6175256,5.420,-76.947,-243.522,0.0191994,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962848,1,OK,0.6923644,0.5450005,-0.3162201,0.3515834,-15.173,-2.033,-304.584,0.0467982,0
