Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924088,1,OK,0.6869433,-0.3791102,-0.5910061,-0.1873399,86.012,-106.328,-162.106,0.0032004,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924088,1,OK,0.8539594,0.3685659,0.2290329,-0.2871523,-8.317,30.663,-311.854,0.0385623,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924096,1,OK,0.6868830,-0.3788189,-0.5911572,-0.1876729,86.002,-106.322,-162.107,0.0019322,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924096,1,OK,0.8538996,0.3685584,0.2290546,-0.2873224,-8.300,30.669,-311.841,0.0391805,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924104,1,OK,0.6868524,-0.3786677,-0.5912392,-0.1878317,85.998,-106.321,-162.106,0.0020497,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924104,1,OK,0.8539090,0.3686311,0.2290719,-0.2871875,-8.309,30.679,-311.818,0.0401606,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924112,1,OK,0.6868357,-0.3786931,-0.5912271,-0.1878798,85.996,-106.321,-162.085,0.0026236,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924112,1,OK,0.8539322,0.3686673,0.2289946,-0.2871338,-8.314,30.682,-311.855,0.0411263,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924120,1,OK,0.6867918,-0.3786605,-0.5912942,-0.1878948,86.006,-106.328,-162.087,0.0040281,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924120,1,OK,0.8538813,0.3686405,0.2290851,-0.2872473,-8.320,30.692,-311.891,0.0418120,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924128,1,OK,0.6867617,-0.3784735,-0.5913917,-0.1880746,86.003,-106.326,-162.091,0.0051503,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924128,1,OK,0.8539601,0.3687240,0.2289472,-0.2870154,-8.296,30.691,-311.865,0.0418684,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924136,1,OK,0.6868044,-0.3785359,-0.5913384,-0.1879608,86.003,-106.322,-162.112,0.0032639,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924136,1,OK,0.8540859,0.3687670,0.2287764,-0.2867221,-8.286,30.671,-311.840,0.0413534,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924144,1,OK,0.6868097,-0.3786562,-0.5912849,-0.1878671,86.011,-106.324,-162.105,0.0026781,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924144,1,OK,0.8541328,0.3688260,0.2286817,-0.2865819,-8.292,30.677,-311.836,0.0418198,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924152,1,OK,0.6868410,-0.3788145,-0.5911962,-0.1877129,86.013,-106.325,-162.101,0.0026188,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924152,1,OK,0.8541666,0.3688522,0.2285830,-0.2865263,-8.281,30.675,-311.832,0.0420100,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924160,1,OK,0.6868676,-0.3788484,-0.5911639,-0.1876485,86.010,-106.326,-162.106,0.0028153,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924160,1,OK,0.8541785,0.3687925,0.2285623,-0.2865840,-8.277,30.656,-311.790,0.0415133,0
