Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455584,1,OK,42.8982807,1.1132574,42.8866382,-26.1189006,61.874,-5.282,-192.357,0.0429729,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455584,1,OK,44.3525824,0.7339371,44.3477737,-51.5826970,64.121,-0.096,-187.789,0.0330816,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455584,1,OK,90.0343162,1.6459032,-90.0343304,0.0684397,58.515,-36.151,-168.822,0.0159808,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455592,1,OK,42.8979081,1.1075396,42.8863848,-26.1233555,61.865,-5.282,-192.355,0.0425002,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455592,1,OK,44.3519530,0.7326759,44.3471606,-51.5867590,64.119,-0.099,-187.786,0.0335452,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455592,1,OK,90.0344937,1.6457320,-90.0345080,0.0687939,58.518,-36.151,-168.825,0.0160951,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455600,1,OK,42.8997425,1.1144153,42.8880764,-26.1417998,61.874,-5.282,-192.366,0.0420534,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455600,1,OK,44.3544773,0.7342538,44.3496647,-51.5642566,64.117,-0.099,-187.785,0.0340263,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455600,1,OK,90.0333749,1.6457156,-90.0333887,0.0665627,58.518,-36.147,-168.827,0.0160763,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455608,1,OK,42.9017606,1.1157786,42.8900668,-26.1480813,61.872,-5.285,-192.364,0.0425495,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455608,1,OK,44.3570335,0.7339895,44.3522249,-51.5564068,64.118,-0.096,-187.785,0.0345045,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455608,1,OK,90.0345585,1.6443022,-90.0345728,0.0689234,58.517,-36.155,-168.820,0.0159687,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455616,1,OK,42.9049156,1.1095703,42.8933529,-26.1478827,61.863,-5.279,-192.360,0.0430390,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455616,1,OK,44.3565719,0.7324873,44.3517828,-51.5417687,64.115,-0.098,-187.778,0.0359281,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455616,1,OK,90.0332577,1.6433371,-90.0332713,0.0663287,58.519,-36.151,-168.812,0.0157601,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455624,1,OK,42.9098407,1.1081260,42.8983100,-26.1507781,61.862,-5.271,-192.360,0.0432300,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455624,1,OK,44.3565138,0.7401824,44.3516235,-51.5353950,64.121,-0.100,-187.776,0.0368422,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455624,1,OK,90.0329178,1.6447981,-90.0329314,0.0656511,58.516,-36.150,-168.827,0.0159173,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455632,1,OK,42.9121383,1.1118873,42.9005301,-26.1608534,61.862,-5.268,-192.355,0.0435969,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455632,1,OK,44.3543905,0.7353792,44.3495632,-51.5573160,64.118,-0.103,-187.774,0.0355926,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455632,1,OK,90.0312351,1.6447484,-90.0312480,0.0622955,58.517,-36.142,-168.823,0.0160365,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455640,1,OK,42.9130632,1.1103911,42.9014866,-26.1785787,61.859,-5.268,-192.352,0.0437176,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455640,1,OK,44.3494172,0.7286951,44.3446764,-51.5817769,64.107,-0.110,-187.763,0.0358615,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455640,1,OK,90.0315886,1.6449372,-90.0316016,0.0630003,58.518,-36.143,-168.826,0.0159346,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455648,1,OK,42.9132458,1.1099489,42.9016785,-26.1853579,61.858,-5.268,-192.350,0.0434967,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455648,1,OK,44.3497736,0.7257257,44.3450714,-51.5895068,64.102,-0.115,-187.766,0.0366314,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455648,1,OK,90.0313125,1.6458250,-90.0313255,0.0624497,58.518,-36.143,-168.829,0.0162012,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455656,1,OK,42.9127982,1.1074330,42.9012832,-26.2010719,61.855,-5.270,-192.348,0.0434991,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455656,1,OK,44.3473626,0.7272467,44.3426403,-51.6209487,64.105,-0.118,-187.772,0.0366806,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455656,1,OK,90.0333340,1.6454194,-90.0333478,0.0664815,58.517,-36.148,-168.824,0.0163176,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455664,1,OK,42.9104195,1.1030269,42.8989950,-26.2284507,61.845,-5.273,-192.345,0.0437760,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455664,1,OK,44.3457415,0.7243501,44.3410565,-51.6408173,64.100,-0.128,-187.774,0.0373206,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455664,1,OK,90.0334512,1.6449736,-90.0334650,0.0667157,58.511,-36.154,-168.818,0.0164024,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455672,1,OK,42.9109394,1.1017652,42.8995412,-26.2508355,61.839,-5.275,-192.340,0.0441529,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455672,1,OK,44.3477261,0.7172517,44.3431328,-51.6540383,64.095,-0.124,-187.773,0.0379669,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455672,1,OK,90.0335503,1.6449730,-90.0335641,0.0669130,58.508,-36.151,-168.816,0.0163975,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455680,1,OK,42.9063429,1.0915372,42.8951536,-26.2839476,61.823,-5.277,-192.330,0.0443632,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455680,1,OK,44.3464329,0.7143547,44.3418764,-51.6851908,64.091,-0.125,-187.773,0.0377112,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455680,1,OK,90.0361269,1.6433454,-90.0361418,0.0720518,58.504,-36.161,-168.813,0.0163135,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455688,1,OK,42.9057195,1.0862632,42.8946378,-26.3310850,61.817,-5.273,-192.322,0.0433173,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7455688,1,OK,44.3461561,0.7124757,44.3416235,-51.7094310,64.086,-0.127,-187.777,0.0375661,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,7455688,1,OK,90.0366145,1.6443723,-90.0366296,0.0730244,58.508,-36.158,-168.820,0.0163464,0
