Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644752,1,OK,51.1128449,13.5164957,49.7839246,36.1198293,30.748,-8.351,-215.195,0.0411717,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644752,1,OK,50.5544892,12.3602236,49.4267157,14.9890030,24.013,-6.712,-215.865,0.0293493,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644752,1,OK,50.8725207,-13.1136072,49.6131602,7.2522739,-47.175,-18.128,-210.999,0.0295232,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644752,1,OK,53.0856621,-16.5741706,51.1960798,-67.6425137,-39.336,-15.911,-211.566,0.0260985,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644760,1,OK,51.1081872,13.5226846,49.7777830,36.1165083,30.745,-8.382,-215.224,0.0413266,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644760,1,OK,50.5472205,12.3652631,49.4182044,14.9886492,24.002,-6.741,-215.895,0.0298371,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644760,1,OK,50.8689587,-13.1056896,49.6110041,7.2572639,-47.208,-18.149,-211.006,0.0294771,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644760,1,OK,53.0786032,-16.5690970,51.1897380,-67.6703597,-39.375,-15.941,-211.572,0.0254070,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644768,1,OK,51.1117941,13.5243858,49.7812187,36.1063743,30.756,-8.390,-215.236,0.0417127,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644768,1,OK,50.5510146,12.3575055,49.4236094,14.9619206,24.003,-6.741,-215.901,0.0303261,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644768,1,OK,50.8581561,-13.1079455,49.5992611,7.2599357,-47.238,-18.179,-211.017,0.0300162,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644768,1,OK,53.0633357,-16.5693720,51.1733293,-67.6988134,-39.404,-15.985,-211.591,0.0256392,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644776,1,OK,51.1120554,13.5230472,49.7817648,36.0951270,30.770,-8.401,-215.228,0.0409196,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644776,1,OK,50.5548350,12.3516270,49.4286881,14.9489470,24.016,-6.739,-215.890,0.0310438,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644776,1,OK,50.8550768,-13.0990774,49.5977979,7.2533864,-47.227,-18.178,-211.003,0.0297738,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644776,1,OK,53.0628407,-16.5668289,51.1734083,-67.7006009,-39.398,-15.982,-211.583,0.0256465,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644784,1,OK,51.1136772,13.5238510,49.7833018,36.0916918,30.783,-8.400,-215.202,0.0400652,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644784,1,OK,50.5594574,12.3501190,49.4337814,14.9412830,24.023,-6.737,-215.873,0.0308411,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644784,1,OK,50.8560096,-13.0984988,49.5988880,7.2842302,-47.224,-18.179,-211.000,0.0303096,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644784,1,OK,53.0630457,-16.5666046,51.1736814,-67.7059994,-39.399,-15.977,-211.582,0.0260597,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644792,1,OK,51.1109376,13.5243070,49.7803366,36.0943679,30.773,-8.410,-215.188,0.0405803,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644792,1,OK,50.5635177,12.3499583,49.4380371,14.9363838,24.017,-6.740,-215.867,0.0304864,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644792,1,OK,50.8529385,-13.1010548,49.5951704,7.2990780,-47.228,-18.188,-211.004,0.0305677,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644792,1,OK,53.0600744,-16.5674687,51.1702940,-67.7051764,-39.403,-15.984,-211.582,0.0243779,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644800,1,OK,51.1128554,13.5226498,49.7826844,36.0927842,30.763,-8.419,-215.186,0.0412190,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644800,1,OK,50.5647405,12.3430748,49.4405992,14.9337581,24.002,-6.747,-215.869,0.0313040,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644800,1,OK,50.8527814,-13.0991073,49.5953919,7.2963111,-47.227,-18.189,-211.009,0.0303447,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644800,1,OK,53.0519355,-16.5662501,51.1618736,-67.7143634,-39.402,-15.994,-211.576,0.0245448,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644808,1,OK,51.1150937,13.5202787,49.7855131,36.0983410,30.757,-8.417,-215.203,0.0403412,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644808,1,OK,50.5661142,12.3426585,49.4421066,14.9300490,23.997,-6.751,-215.885,0.0309711,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644808,1,OK,50.8501185,-13.0925386,49.5939082,7.2667107,-47.222,-18.190,-210.998,0.0293171,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644808,1,OK,53.0595867,-16.5592125,51.1717484,-67.6857729,-39.393,-15.973,-211.556,0.0252109,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644816,1,OK,51.1184127,13.5188850,49.7892761,36.0990482,30.760,-8.422,-215.209,0.0406727,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644816,1,OK,50.5675354,12.3421647,49.4436781,14.9250777,24.000,-6.763,-215.898,0.0311218,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644816,1,OK,50.8542919,-13.0894266,49.5988879,7.2546836,-47.225,-18.180,-210.999,0.0287374,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644816,1,OK,53.0612502,-16.5613058,51.1730280,-67.6772036,-39.405,-15.971,-211.566,0.0250959,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644824,1,OK,51.1178060,13.5212055,49.7881683,36.0940752,30.767,-8.437,-215.257,0.0406329,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7644824,1,OK,50.5637454,12.3398059,49.4401758,14.9460884,24.006,-6.775,-215.918,0.0315958,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644824,1,OK,50.8494258,-13.0935998,49.5929739,7.2608771,-47.239,-18.192,-211.006,0.0285937,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7644824,1,OK,53.0537781,-16.5689928,51.1631892,-67.6851697,-39.426,-15.991,-211.566,0.0256929,0
