Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,157668
1,0,PATTERN_START,0,157669
1, 1, SUCCESS, 0, 5085
1, 2, SUCCESS, 0, 5068
1, 3, SUCCESS, 0, 3721
1, 4, ERROR, 1, 1720
1, 4, ERROR, 2, 1726
1, 4, ERROR, 3, 1738
1, 4, ERROR, 4, 1743
1, 4, ERROR, 5, 1756
1, 4, ERROR, 6, 1758
1, 4, SUCCESS, 0, 1799
1, 5, ERROR, 7, 54
1, 5, SUCCESS, 0, 3132
1, 6, SUCCESS, 0, 2254
1,0,PATTERN_FINISH,0,179119
2,0,PATTERN_START,0,184120
2, 1, SUCCESS, 0, 4370
2, 2, SUCCESS, 0, 2688
2, 3, ERROR, 1, 173
2, 3, SUCCESS, 0, 2017
2, 4, SUCCESS, 0, 1923
2, 5, SUCCESS, 0, 3304
2, 6, SUCCESS, 0, 3155
2,0,PATTERN_FINISH,0,201973
3,0,PATTERN_START,0,206973
3, 1, ERROR, 1, 1496
3, 1, ERROR, 2, 1499
3, 1, ERROR, 3, 1509
3, 1, ERROR, 4, 1510
3, 1, ERROR, 5, 1539
3, 1, ERROR, 6, 1570
3, 1, ERROR, 7, 1607
3, 1, ERROR, 8, 1668
3, 1, ERROR, 9, 1670
3, 1, ERROR, 10, 1730
3, 1, ERROR, 11, 1736
3, 1, ERROR, 12, 1771
3, 1, ERROR, 13, 1779
3, 1, ERROR, 14, 1790
3, 1, ERROR, 15, 2058
3, 1, ERROR, 16, 2061
3, 1, ERROR, 17, 2063
3, 1, ERROR, 18, 2162
3, 1, ERROR, 19, 2172
3, 1, ERROR, 20, 2207
3, 1, ERROR, 21, 2213
3, 1, ERROR, 22, 2216
3, 1, SUCCESS, 0, 3711
3, 2, SUCCESS, 0, 1434
3, 3, SUCCESS, 0, 2428
3, 4, SUCCESS, 0, 1987
3, 5, ERROR, 23, 130
3, 5, SUCCESS, 0, 3467
3, 6, SUCCESS, 0, 3366
3,0,PATTERN_FINISH,0,223762
4,0,PATTERN_START,0,283782
4, 1, ERROR, 1, 4141
4, 1, ERROR, 2, 4147
4, 1, ERROR, 3, 4153
4, 1, SUCCESS, 0, 4153
4, 2, ERROR, 4, 18
4, 2, SUCCESS, 0, 2297
4, 3, SUCCESS, 0, 2159
4, 4, SUCCESS, 0, 1619
4, 5, SUCCESS, 0, 3271
4, 6, SUCCESS, 0, 3067
4,0,PATTERN_FINISH,0,300741
5,0,PATTERN_START,0,305742
5, 1, ERROR, 1, 1316
5, 1, ERROR, 2, 1319
5, 1, ERROR, 3, 1320
5, 1, ERROR, 4, 1333
5, 1, ERROR, 5, 1343
5, 1, ERROR, 6, 1344
5, 1, ERROR, 7, 1345
5, 1, ERROR, 8, 1346
5, 1, ERROR, 9, 1348
5, 1, ERROR, 10, 1356
5, 1, ERROR, 11, 1359
5, 1, ERROR, 12, 1366
5, 1, ERROR, 13, 1369
5, 1, ERROR, 14, 1369
5, 1, ERROR, 15, 1381
5, 1, ERROR, 16, 1390
5, 1, ERROR, 17, 1410
5, 1, ERROR, 18, 1551
5, 1, ERROR, 19, 1552
5, 1, ERROR, 20, 1572
5, 1, ERROR, 21, 1920
5, 1, SUCCESS, 0, 2109
5, 2, SUCCESS, 0, 5259
5, 3, SUCCESS, 0, 2910
5, 4, SUCCESS, 0, 1949
5, 5, ERROR, 22, 276
5, 5, ERROR, 23, 278
5, 5, ERROR, 24, 279
5, 5, ERROR, 25, 280
5, 5, ERROR, 26, 281
5, 5, ERROR, 27, 281
5, 5, SUCCESS, 0, 3272
5, 6, SUCCESS, 0, 1945
5,0,PATTERN_FINISH,0,323582
6,0,PATTERN_START,0,328584
6, 1, SUCCESS, 0, 3565
6, 2, SUCCESS, 0, 2711
6, 3, ERROR, 1, 270
6, 3, ERROR, 2, 272
6, 3, ERROR, 3, 285
6, 3, ERROR, 4, 285
6, 3, ERROR, 5, 287
6, 3, ERROR, 6, 290
6, 3, ERROR, 7, 292
6, 3, ERROR, 8, 299
6, 3, ERROR, 9, 304
6, 3, ERROR, 10, 306
6, 3, ERROR, 11, 307
6, 3, ERROR, 12, 313
6, 3, ERROR, 13, 316
6, 3, ERROR, 14, 321
6, 3, SUCCESS, 0, 1923
6, 4, ERROR, 15, 190
6, 4, SUCCESS, 0, 1943
6, 5, SUCCESS, 0, 3316
6, 6, SUCCESS, 0, 1812
6,0,PATTERN_FINISH,0,344247
0,0,TASK_FINISH,0,344247

