Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,532815
1,0,PATTERN_START,0,532815
1, 1, SUCCESS, 0, 4463
1, 2, SUCCESS, 0, 3718
1, 3, SUCCESS, 0, 3037
1, 4, SUCCESS, 0, 1726
1, 5, SUCCESS, 0, 3068
1, 6, SUCCESS, 0, 2447
1,0,PATTERN_FINISH,0,551670
2,0,PATTERN_START,0,556672
2, 1, SUCCESS, 0, 3230
2, 2, SUCCESS, 0, 3923
2, 3, SUCCESS, 0, 1859
2, 4, SUCCESS, 0, 1890
2, 5, SUCCESS, 0, 3539
2, 6, SUCCESS, 0, 2102
2,0,PATTERN_FINISH,0,573607
3,0,PATTERN_START,0,578609
3, 1, SUCCESS, 0, 2476
3, 2, SUCCESS, 0, 2245
3, 3, SUCCESS, 0, 2560
3, 4, SUCCESS, 0, 1481
3, 5, SUCCESS, 0, 2227
3, 6, SUCCESS, 0, 2123
3,0,PATTERN_FINISH,0,592112
4,0,PATTERN_START,0,629853
4, 1, SUCCESS, 0, 2916
4, 2, SUCCESS, 0, 2126
4, 3, SUCCESS, 0, 2118
4, 4, SUCCESS, 0, 1869
4, 5, SUCCESS, 0, 5887
4, 6, SUCCESS, 0, 4428
4,0,PATTERN_FINISH,0,649591
5,0,PATTERN_START,0,654592
5, 1, ERROR, 1, 1838
5, 1, ERROR, 2, 1856
5, 1, SUCCESS, 0, 4444
5, 2, SUCCESS, 0, 2291
5, 3, SUCCESS, 0, 2551
5, 4, ERROR, 3, 471
5, 4, ERROR, 4, 471
5, 4, ERROR, 5, 472
5, 4, ERROR, 6, 472
5, 4, ERROR, 7, 473
5, 4, ERROR, 8, 475
5, 4, ERROR, 9, 477
5, 4, ERROR, 10, 479
5, 4, SUCCESS, 0, 2550
5, 5, SUCCESS, 0, 2556
5, 6, SUCCESS, 0, 2160
5,0,PATTERN_FINISH,0,671537
6,0,PATTERN_START,0,676537
6, 1, SUCCESS, 0, 2901
6, 2, SUCCESS, 0, 2223
6, 3, SUCCESS, 0, 1824
6, 4, SUCCESS, 0, 1903
6, 5, SUCCESS, 0, 1913
6, 6, SUCCESS, 0, 2494
6,0,PATTERN_FINISH,0,690191
0,0,TASK_FINISH,0,690192

