Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273456,1,OK,52.2532281,0.7968689,52.2489375,-27.8562811,58.650,-12.566,-223.424,0.0351528,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273456,1,OK,51.5972342,3.9478632,51.4891285,-50.0831043,60.217,-7.651,-217.897,0.0326673,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1273456,1,OK,90.3527445,4.9365918,-90.3540579,-0.6835039,52.643,-34.357,-169.119,0.0568286,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273464,1,OK,52.1101648,1.1288172,52.1015096,-27.7858261,57.855,-12.430,-223.309,0.0417633,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273464,1,OK,51.5032243,3.9640164,51.3938613,-49.9289615,59.230,-7.560,-217.841,0.0330014,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1273464,1,OK,90.3536685,4.9365924,-90.3549853,-0.6852846,52.648,-34.358,-169.128,0.0561363,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273472,1,OK,52.1404514,1.2973478,52.1290305,-27.5924399,57.011,-12.189,-223.410,0.0381775,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273472,1,OK,51.5814209,4.0096686,51.4698309,-49.7460453,58.456,-7.272,-217.828,0.0314283,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1273472,1,OK,90.3549814,4.9359695,-90.3563028,-0.6878427,52.644,-34.363,-169.129,0.0564015,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273480,1,OK,52.2036201,1.4656137,52.1890764,-27.5247057,56.776,-12.269,-223.580,0.0399578,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273480,1,OK,51.6314208,4.0994007,51.5149748,-49.6581077,58.272,-7.399,-217.982,0.0299566,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1273480,1,OK,90.3574667,4.9362987,-90.3587975,-0.6926722,52.641,-34.370,-169.130,0.0552502,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273488,1,OK,52.3025201,1.4786334,52.2877695,-27.5285603,56.682,-12.448,-223.821,0.0412723,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273488,1,OK,51.7064931,4.0292409,51.5943131,-49.6582369,58.192,-7.638,-218.320,0.0351183,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1273488,1,OK,90.3581453,4.9357524,-90.3594784,-0.6939815,52.642,-34.373,-169.130,0.0556575,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273496,1,OK,52.3637401,1.4530839,52.3495264,-27.5729400,56.634,-12.646,-224.042,0.0405191,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273496,1,OK,51.7364081,3.8746630,51.6328040,-49.6652289,58.110,-7.862,-218.589,0.0296465,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1273496,1,OK,90.3593447,4.9348868,-90.3606817,-0.6963049,52.647,-34.373,-169.123,0.0560952,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273504,1,OK,52.3992788,1.5004364,52.3841428,-27.4876803,56.525,-12.607,-224.078,0.0372747,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273504,1,OK,51.7509811,3.8840706,51.6469264,-49.5409913,57.975,-7.928,-218.530,0.0407891,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1273504,1,OK,90.3601120,4.9359073,-90.3614525,-0.6977810,52.649,-34.378,-169.125,0.0560269,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273512,1,OK,52.3479257,1.5875214,52.3309495,-27.4454022,56.247,-12.531,-223.903,0.0349735,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273512,1,OK,51.7711548,3.8362381,51.6697274,-49.4754517,57.624,-7.650,-218.409,0.0390672,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1273512,1,OK,90.3576075,4.9377548,-90.3589396,-0.6929251,52.647,-34.377,-169.135,0.0559721,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273520,1,OK,52.1954722,1.6943441,52.1760267,-27.4419910,56.055,-12.257,-223.570,0.0436066,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273520,1,OK,51.5964341,3.8598480,51.4931045,-49.6759951,57.274,-7.464,-218.088,0.0287653,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1273520,1,OK,90.3573604,4.9403899,-90.3586931,-0.6924357,52.646,-34.378,-169.144,0.0561217,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273528,1,OK,51.9844891,1.7624529,51.9632875,-27.5002530,55.653,-11.883,-223.198,0.0452762,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1273528,1,OK,51.4192929,3.9763959,51.3089121,-49.7303796,57.019,-7.083,-217.755,0.0272276,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1273528,1,OK,90.3577836,4.9411264,-90.3591182,-0.6932468,52.646,-34.379,-169.145,0.0559800,0
