Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390680,1,OK,47.7999386,2.6942472,47.7424202,-13.3745783,54.269,-14.796,-208.516,0.0339739,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390680,1,OK,48.3849675,3.3117402,48.2997719,-38.9598719,52.962,-9.621,-203.486,0.0228787,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390680,1,OK,59.2497457,-12.0970619,58.4724412,51.9883935,-43.989,-53.511,-202.840,0.0153677,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390680,1,OK,55.9291584,-12.4974713,54.9834022,-17.4705174,-46.949,-49.462,-196.387,0.0235189,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390688,1,OK,47.8607656,2.6691644,47.8044351,-13.8245794,54.212,-14.877,-208.643,0.0342232,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390688,1,OK,48.4346041,3.3129571,48.3494946,-39.3252832,52.982,-9.745,-203.591,0.0235909,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390688,1,OK,59.2518168,-12.0963000,58.4746769,51.9703690,-43.988,-53.502,-202.834,0.0156852,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390688,1,OK,55.9347723,-12.4974411,54.9892228,-17.4428869,-46.951,-49.454,-196.389,0.0241186,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390696,1,OK,47.9973505,2.6675745,47.9413565,-14.1354005,54.341,-15.103,-208.976,0.0354371,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390696,1,OK,48.5656124,3.4478293,48.4738408,-39.0768926,53.361,-10.023,-203.773,0.0317221,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390696,1,OK,59.2518005,-12.0938488,58.4749823,51.9758816,-43.983,-53.497,-202.831,0.0159927,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390696,1,OK,55.9337701,-12.5001922,54.9877573,-17.4835837,-46.950,-49.453,-196.396,0.0230448,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390704,1,OK,48.0010822,2.6987369,47.9437780,-14.4766206,54.390,-15.249,-209.236,0.0299351,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390704,1,OK,48.6085927,3.4595885,48.5163325,-39.3755517,53.363,-9.960,-203.800,0.0342818,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390704,1,OK,59.2530984,-12.0938032,58.4763266,51.9724700,-43.980,-53.493,-202.829,0.0161363,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390704,1,OK,55.9326406,-12.5066179,54.9855888,-17.5218710,-46.957,-49.455,-196.409,0.0227939,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390712,1,OK,48.0398042,2.6563868,47.9843622,-14.9923055,54.128,-14.981,-209.293,0.0352165,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390712,1,OK,48.6179515,3.2124581,48.5384521,-40.2964868,53.049,-9.754,-203.947,0.0262638,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390712,1,OK,59.2536314,-12.0986498,58.4762391,51.9788724,-43.987,-53.496,-202.839,0.0156620,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390712,1,OK,55.9398545,-12.5082083,54.9928155,-17.4474525,-46.961,-49.448,-196.422,0.0248261,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390720,1,OK,48.0575506,2.6002523,48.0044631,-15.5925844,54.174,-15.074,-209.298,0.0319877,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390720,1,OK,48.6232272,3.2125877,48.5437362,-40.8756149,53.266,-9.885,-204.047,0.0273362,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390720,1,OK,59.2554268,-12.0977774,58.4782050,51.9958165,-43.985,-53.493,-202.843,0.0149308,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390720,1,OK,55.9373889,-12.5110387,54.9898212,-17.4726913,-46.966,-49.453,-196.429,0.0242754,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390728,1,OK,48.3233194,2.6896618,48.2670416,-15.2861516,54.376,-15.178,-208.983,0.0508803,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390728,1,OK,48.6283130,3.1859398,48.5501517,-41.3556976,53.431,-9.916,-204.108,0.0287126,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390728,1,OK,59.2534206,-12.0951567,58.4764809,51.9916889,-43.988,-53.493,-202.844,0.0153492,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390728,1,OK,55.9353442,-12.5127902,54.9874306,-17.4513156,-46.973,-49.465,-196.434,0.0253485,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390736,1,OK,48.3430817,2.7136192,48.2858352,-15.7011130,54.314,-15.154,-209.050,0.0481451,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390736,1,OK,48.6254781,3.2018221,48.5465262,-41.8680506,53.489,-9.821,-204.230,0.0263611,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390736,1,OK,59.2514079,-12.0940718,58.4745481,51.9846949,-43.989,-53.493,-202.836,0.0156744,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390736,1,OK,55.9390666,-12.5139551,54.9911061,-17.4380426,-46.977,-49.458,-196.435,0.0258749,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390744,1,OK,48.1236189,2.5410870,48.0730402,-17.3892674,54.096,-14.958,-209.342,0.0344963,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390744,1,OK,48.6278692,3.1211763,48.5528579,-42.4213449,53.486,-9.762,-204.041,0.0284433,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390744,1,OK,59.2509465,-12.0944320,58.4740251,51.9949042,-43.988,-53.495,-202.848,0.0155304,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390744,1,OK,55.9370899,-12.5181191,54.9884105,-17.4246609,-46.985,-49.465,-196.440,0.0265974,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390752,1,OK,48.2148474,2.4005092,48.1698606,-18.1343019,54.224,-15.060,-209.349,0.0325609,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390752,1,OK,48.7323864,3.0015729,48.6632782,-43.2337959,53.811,-9.819,-204.071,0.0342336,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390752,1,OK,59.2507720,-12.0939639,58.4739067,51.9838059,-43.984,-53.494,-202.854,0.0152941,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390752,1,OK,55.9394466,-12.5211926,54.9903742,-17.4444481,-46.982,-49.462,-196.442,0.0261361,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390760,1,OK,48.2828137,2.2881810,48.2420402,-18.9161243,54.582,-15.244,-209.504,0.0325155,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390760,1,OK,48.8104111,2.9127076,48.7455195,-43.8108045,54.359,-10.012,-204.203,0.0339658,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390760,1,OK,59.2499298,-12.0956621,58.4728150,51.9840151,-43.985,-53.500,-202.859,0.0152804,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390760,1,OK,55.9379883,-12.5178890,54.9893772,-17.4491978,-46.973,-49.462,-196.440,0.0263231,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390768,1,OK,48.3565953,2.2127732,48.3185661,-19.6374678,54.502,-15.144,-209.406,0.0341012,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1390768,1,OK,48.8619234,2.9206505,48.7967953,-44.2041548,54.511,-9.971,-204.275,0.0356605,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390768,1,OK,59.2502121,-12.0940366,58.4733198,51.9760038,-43.987,-53.503,-202.862,0.0155189,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1390768,1,OK,55.9387520,-12.5186765,54.9900459,-17.4933619,-46.971,-49.458,-196.438,0.0253754,0
