Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2243976,1,OK,43.9580141,0.0050115,43.9580139,-26.4903732,58.726,-1.892,-192.567,0.0377802,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2243976,1,OK,43.3071202,2.1907063,43.2626430,-53.4105605,59.206,3.609,-187.882,0.0430545,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2243976,1,OK,89.4722212,1.4910314,-89.4720425,-1.0555529,58.258,-36.690,-168.627,0.0240961,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2243984,1,OK,43.9704669,-0.0316431,43.9704579,-26.4997219,58.968,-1.997,-192.543,0.0374615,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2243984,1,OK,43.3367757,2.1039884,43.2957958,-53.5610817,59.426,3.543,-187.828,0.0395561,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2243984,1,OK,89.4796903,1.4905164,-89.4795142,-1.0406148,58.264,-36.681,-168.636,0.0233644,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2243992,1,OK,43.9820362,-0.0874815,43.9819670,-26.4873310,59.229,-2.053,-192.513,0.0363267,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2243992,1,OK,43.3333569,2.0375289,43.2949226,-53.5416384,59.671,3.495,-187.768,0.0341726,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2243992,1,OK,89.4895963,1.4904978,-89.4894235,-1.0208028,58.272,-36.678,-168.645,0.0226818,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244000,1,OK,43.9892422,-0.2248685,43.9887851,-26.4808197,59.414,-2.084,-192.373,0.0350067,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244000,1,OK,43.3764882,1.9012814,43.3430765,-53.5182284,59.872,3.512,-187.745,0.0371641,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2244000,1,OK,89.4977878,1.4912788,-89.4976177,-1.0044195,58.276,-36.665,-168.644,0.0223070,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244008,1,OK,44.0227392,-0.2661299,44.0220997,-26.5374857,59.588,-2.083,-192.456,0.0341954,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244008,1,OK,43.3899248,1.9395072,43.3551713,-53.3520860,60.118,3.455,-187.863,0.0446523,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2244008,1,OK,89.5084015,1.4895847,-89.5082353,-0.9831924,58.280,-36.656,-168.641,0.0221179,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244016,1,OK,44.0167989,-0.2658975,44.0161604,-26.5000863,59.737,-2.192,-192.529,0.0334796,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244016,1,OK,43.3862993,1.9171576,43.3523385,-53.4505873,60.249,3.376,-187.908,0.0409194,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2244016,1,OK,89.5186998,1.4893952,-89.5185371,-0.9625955,58.282,-36.644,-168.643,0.0220253,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244024,1,OK,44.0572282,-0.2735092,44.0565536,-26.5205308,59.743,-2.163,-192.499,0.0379855,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244024,1,OK,43.4064903,1.8373822,43.3753210,-53.5497732,60.207,3.372,-187.803,0.0381948,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2244024,1,OK,89.5269332,1.4879866,-89.5267736,-0.9461287,58.285,-36.635,-168.658,0.0213515,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244032,1,OK,44.0451500,-0.2812704,44.0444362,-26.5886247,59.726,-2.199,-192.433,0.0371086,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244032,1,OK,43.4111007,1.8256093,43.3803348,-53.5764564,60.193,3.389,-187.739,0.0388206,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2244032,1,OK,89.5374793,1.4889909,-89.5373231,-0.9250364,58.295,-36.625,-168.676,0.0209000,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244040,1,OK,44.0463544,-0.3191852,44.0454352,-26.5635615,59.653,-2.164,-192.430,0.0370091,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244040,1,OK,43.3730849,1.8328850,43.3420318,-53.5528568,60.140,3.368,-187.783,0.0348714,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2244040,1,OK,89.5458385,1.4869513,-89.5456855,-0.9083180,58.292,-36.627,-168.688,0.0203220,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244048,1,OK,44.0013368,-0.2771516,44.0006426,-26.6368528,59.427,-2.070,-192.597,0.0491280,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2244048,1,OK,43.3543338,1.8379991,43.3230866,-53.7313744,59.962,3.360,-187.614,0.0440994,0,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2244048,1,OK,89.5535448,1.4875658,-89.5533943,-0.8929056,58.293,-36.629,-168.701,0.0201707,0
