Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435072,1,OK,48.3219750,13.8094464,46.7851288,34.7807457,28.293,-5.220,-214.813,0.0377504,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435072,1,OK,50.3450800,14.0537771,48.8636677,9.1194472,21.276,-4.041,-216.268,0.0264703,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435072,1,OK,53.7282352,-16.7794795,51.8352071,-65.5237840,-38.403,-14.566,-214.999,0.0388383,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435072,1,OK,52.0017461,-13.4443114,50.7294146,9.8258462,-46.133,-17.223,-214.923,0.0308477,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435080,1,OK,48.3074132,13.8461652,46.7612636,34.8241125,28.212,-5.247,-214.858,0.0380213,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435080,1,OK,50.3464496,14.0558126,48.8646659,9.2408915,21.428,-4.032,-216.334,0.0297206,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435080,1,OK,53.7572625,-16.7078357,51.8832105,-65.4890630,-38.494,-14.547,-214.941,0.0258131,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435080,1,OK,52.0142639,-13.3902465,50.7530538,9.8319835,-46.218,-17.270,-214.965,0.0270948,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435088,1,OK,48.2908148,13.8564670,46.7413505,34.8486911,28.198,-5.284,-214.907,0.0378089,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435088,1,OK,50.3316777,14.0626533,48.8476019,9.2526267,21.411,-4.053,-216.367,0.0302940,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435088,1,OK,53.7730054,-16.6839442,51.9056782,-65.4363535,-38.668,-14.690,-215.118,0.0267988,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435088,1,OK,52.0361804,-13.3699293,50.7799267,9.8560331,-46.429,-17.417,-215.155,0.0299375,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435096,1,OK,48.2883495,13.8592488,46.7381018,34.8457221,28.208,-5.284,-214.917,0.0381198,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435096,1,OK,50.3297344,14.0696018,48.8440321,9.2451554,21.421,-4.052,-216.364,0.0303895,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435096,1,OK,53.7838677,-16.6814221,51.9178938,-65.4640859,-38.765,-14.790,-215.217,0.0213637,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435096,1,OK,52.0725189,-13.3374603,50.8242174,9.6638467,-46.375,-17.507,-215.027,0.0252412,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435104,1,OK,48.2952491,13.8624338,46.7446472,34.8284105,28.221,-5.264,-214.913,0.0373593,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435104,1,OK,50.3250372,14.0725590,48.8384336,9.2480284,21.429,-4.049,-216.358,0.0317147,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435104,1,OK,53.7915988,-16.6697057,51.9289153,-65.3961361,-38.599,-14.787,-215.091,0.0334200,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435104,1,OK,52.0313744,-13.3406656,50.7805703,9.5853332,-46.427,-17.587,-215.052,0.0232113,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435112,1,OK,48.2984548,13.8687430,46.7465667,34.8287537,28.237,-5.252,-214.917,0.0384150,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435112,1,OK,50.3249575,14.0765071,48.8374842,9.2387363,21.435,-4.044,-216.355,0.0316415,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435112,1,OK,53.7672408,-16.7007892,51.8955487,-65.4430213,-38.601,-14.797,-215.138,0.0369624,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435112,1,OK,52.0604928,-13.3616935,50.8069528,9.8833690,-46.437,-17.575,-215.103,0.0325962,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435120,1,OK,48.3073810,13.8674876,46.7562833,34.8251959,28.244,-5.225,-214.898,0.0401743,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435120,1,OK,50.3277351,14.0779927,48.8400862,9.2320816,21.443,-4.032,-216.357,0.0311032,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435120,1,OK,53.7548498,-16.7170535,51.8784565,-65.4965933,-38.631,-14.794,-215.164,0.0256475,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435120,1,OK,52.0863727,-13.3805811,50.8303630,10.1431679,-46.361,-17.492,-215.077,0.0421908,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435128,1,OK,48.3083549,13.8623048,46.7585146,34.8247923,28.244,-5.212,-214.893,0.0391545,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435128,1,OK,50.3275859,14.0791431,48.8396767,9.2330121,21.450,-4.024,-216.363,0.0306753,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435128,1,OK,53.7564669,-16.7339984,51.8761917,-65.4933805,-38.584,-14.757,-215.153,0.0260567,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435128,1,OK,52.0893062,-13.4112010,50.8274904,10.1643700,-46.267,-17.425,-215.033,0.0494880,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435136,1,OK,48.3039945,13.8647196,46.7533502,34.8306582,28.251,-5.220,-214.890,0.0369828,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435136,1,OK,50.3244426,14.0817352,48.8357951,9.2285735,21.455,-4.030,-216.350,0.0314708,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435136,1,OK,53.7688634,-16.7486910,51.8859957,-65.4665214,-38.551,-14.755,-215.191,0.0269699,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435136,1,OK,52.0555073,-13.4587311,50.7828641,9.9753457,-46.257,-17.510,-215.129,0.0451235,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435144,1,OK,48.3062892,13.8705534,46.7544185,34.8357506,28.262,-5.219,-214.897,0.0364248,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,2435144,1,OK,50.3219208,14.0837525,48.8326945,9.2361428,21.457,-4.032,-216.350,0.0311770,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435144,1,OK,53.8133208,-16.8046485,51.9203775,-65.5621794,-38.389,-14.752,-215.211,0.0248420,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,2435144,1,OK,52.0767692,-13.4784583,50.8012640,9.9761961,-46.193,-17.535,-215.216,0.0505341,0
