Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,778100
1,0,PATTERN_START,0,778100
1, 1, SUCCESS, 0, 3562
1, 2, SUCCESS, 0, 2979
1, 3, SUCCESS, 0, 3994
1, 4, SUCCESS, 0, 3400
1, 5, SUCCESS, 0, 3685
1, 6, ERROR, 1, 220
1, 6, SUCCESS, 0, 4942
1,0,PATTERN_FINISH,0,801059
2,0,PATTERN_START,0,806060
2, 1, SUCCESS, 0, 3317
2, 2, SUCCESS, 0, 4633
2, 3, SUCCESS, 0, 3571
2, 4, ERROR, 1, 1162
2, 4, ERROR, 2, 1165
2, 4, ERROR, 3, 1712
2, 4, ERROR, 4, 1758
2, 4, ERROR, 5, 1759
2, 4, ERROR, 6, 1760
2, 4, ERROR, 7, 1761
2, 4, ERROR, 8, 1767
2, 4, SUCCESS, 0, 3711
2, 5, SUCCESS, 0, 4754
2, 6, SUCCESS, 0, 6317
2,0,PATTERN_FINISH,0,832759
3,0,PATTERN_START,0,837760
3, 1, SUCCESS, 0, 6828
3, 2, SUCCESS, 0, 4043
3, 3, ERROR, 1, 199
3, 3, SUCCESS, 0, 2317
3, 4, SUCCESS, 0, 3344
3, 5, SUCCESS, 0, 4823
3, 6, SUCCESS, 0, 4126
3,0,PATTERN_FINISH,0,863635
4,0,PATTERN_START,0,930628
4, 1, SUCCESS, 0, 3325
4, 2, SUCCESS, 0, 2983
4, 3, SUCCESS, 0, 1777
4, 4, SUCCESS, 0, 1872
4, 5, ERROR, 1, 376
4, 5, ERROR, 2, 379
4, 5, SUCCESS, 0, 3652
4, 6, ERROR, 3, 459
4, 6, ERROR, 4, 461
4, 6, ERROR, 5, 465
4, 6, ERROR, 6, 508
4, 6, ERROR, 7, 2736
4, 6, ERROR, 8, 2998
4, 6, ERROR, 9, 3099
4, 6, ERROR, 10, 3455
4, 6, SUCCESS, 0, 3499
4,0,PATTERN_FINISH,0,948132
5,0,PATTERN_START,0,953133
5, 1, SUCCESS, 0, 3309
5, 2, SUCCESS, 0, 2543
5, 3, SUCCESS, 0, 4121
5, 4, SUCCESS, 0, 9746
5, 5, ERROR, 1, 213
5, 5, SUCCESS, 0, 3579
5, 6, SUCCESS, 0, 3170
5,0,PATTERN_FINISH,0,979996
6,0,PATTERN_START,0,984996
6, 1, SUCCESS, 0, 3330
6, 2, SUCCESS, 0, 3308
6, 3, SUCCESS, 0, 3221
6, 4, SUCCESS, 0, 1738
6, 5, SUCCESS, 0, 3738
6, 6, SUCCESS, 0, 2856
6,0,PATTERN_FINISH,0,1003583
0,0,TASK_FINISH,0,1003584

