Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044200,1,OK,48.7877467,13.9394623,47.2468041,44.4611597,35.142,-5.271,-216.013,0.0367931,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044200,1,OK,48.7537917,12.3880525,47.5448909,21.3559947,28.319,-4.509,-217.411,0.0357188,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044200,1,OK,49.1685365,-13.6535125,47.7125642,13.7557856,-45.383,-16.912,-212.489,0.0339561,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044200,1,OK,50.9745412,-17.2131959,48.7618243,-67.9903536,-37.814,-13.831,-212.193,0.0278668,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044208,1,OK,48.7284639,13.7195383,47.2343394,44.5977552,35.496,-5.392,-216.005,0.0301711,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044208,1,OK,48.7161405,12.2647703,47.5302756,21.4824509,28.747,-4.646,-217.360,0.0371618,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044208,1,OK,49.1736774,-13.6436985,47.7201421,13.7843146,-45.385,-16.910,-212.477,0.0344223,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044208,1,OK,50.9782958,-17.2102149,48.7666943,-67.9667396,-37.828,-13.834,-212.191,0.0285552,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044216,1,OK,48.7850607,13.2298409,47.4020750,44.7471061,36.247,-5.281,-215.882,0.0311053,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044216,1,OK,48.7168052,12.0757968,47.5682487,21.7888869,29.841,-4.772,-217.253,0.0334167,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044216,1,OK,49.1830588,-13.6338556,47.7321862,13.8193365,-45.382,-16.899,-212.465,0.0352251,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044216,1,OK,50.9846148,-17.2004274,48.7761839,-67.9420340,-37.832,-13.825,-212.187,0.0280460,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044224,1,OK,48.6997962,13.2227247,47.3141043,44.4111235,36.857,-5.809,-215.873,0.0337439,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044224,1,OK,48.7335708,11.8448112,47.6303713,21.4613082,30.299,-5.057,-217.442,0.0368194,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044224,1,OK,49.1909982,-13.6254001,47.7424041,13.7875682,-45.383,-16.889,-212.464,0.0342795,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044224,1,OK,50.9926488,-17.1924314,48.7870391,-67.9265245,-37.834,-13.813,-212.189,0.0281309,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044232,1,OK,48.7487075,13.1740442,47.3759604,44.5816080,37.361,-5.933,-215.893,0.0339283,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044232,1,OK,48.7940795,11.6903991,47.7225302,21.5400031,30.588,-5.098,-217.228,0.0325054,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044232,1,OK,49.1909032,-13.6131934,47.7449910,13.7506830,-45.376,-16.888,-212.446,0.0331311,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044232,1,OK,50.9928424,-17.1917955,48.7874208,-67.9108277,-37.845,-13.815,-212.182,0.0285600,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044240,1,OK,48.7154386,13.0219448,47.3736383,44.7107619,37.726,-6.183,-215.992,0.0322961,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044240,1,OK,48.7444904,11.5699184,47.6936147,21.5793044,30.994,-5.448,-217.472,0.0339982,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044240,1,OK,49.1904284,-13.6039541,47.7465235,13.7497243,-45.378,-16.886,-212.435,0.0326233,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044240,1,OK,50.9923934,-17.1810353,48.7898499,-67.9180436,-37.840,-13.809,-212.177,0.0282367,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044248,1,OK,48.7594407,12.8729784,47.4512146,44.5667569,37.942,-6.193,-215.932,0.0404540,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044248,1,OK,48.8141782,11.4901493,47.7806893,21.5975816,31.276,-5.379,-217.405,0.0318487,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044248,1,OK,49.1865263,-13.5957120,47.7442297,13.7508413,-45.377,-16.884,-212.434,0.0324407,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044248,1,OK,50.9897385,-17.1760265,48.7883357,-67.9397835,-37.849,-13.811,-212.179,0.0284265,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044264,1,OK,48.8457166,12.8698094,47.5422033,44.5742493,38.025,-6.157,-215.889,0.0435819,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044264,1,OK,48.8114561,11.4589856,47.7836064,21.8179745,31.360,-5.454,-217.397,0.0377738,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044264,1,OK,49.1828429,-13.5845560,47.7428051,13.7709780,-45.377,-16.882,-212.431,0.0329993,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044264,1,OK,50.9805078,-17.1642754,48.7815369,-67.9958591,-37.849,-13.818,-212.170,0.0271637,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044272,1,OK,48.7861837,12.9590159,47.4611157,44.9160098,38.119,-6.289,-215.932,0.0386928,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044272,1,OK,48.8169821,11.4474474,47.7914560,21.8440088,31.351,-5.506,-217.430,0.0378735,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044272,1,OK,49.1823596,-13.5735707,47.7447073,13.7708161,-45.374,-16.872,-212.433,0.0329305,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044272,1,OK,50.9753770,-17.1602245,48.7770865,-67.9778129,-37.853,-13.822,-212.168,0.0278838,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044280,1,OK,48.7819348,12.8881427,47.4715854,45.0515748,38.043,-6.166,-215.833,0.0323874,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,11044280,1,OK,48.8343719,11.4447947,47.8099707,21.8964844,31.356,-5.467,-217.383,0.0342170,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044280,1,OK,49.1816971,-13.5615274,47.7466509,13.7340549,-45.362,-16.857,-212.417,0.0323228,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,11044280,1,OK,50.9715951,-17.1539955,48.7746833,-67.9836042,-37.849,-13.818,-212.168,0.0287413,0
