Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336328,1,OK,54.5758271,10.5879937,53.8667802,-10.1327226,31.393,-18.184,-234.787,0.0438873,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336328,1,OK,55.9030102,11.1389984,55.1549458,-30.3841965,30.445,-13.432,-228.947,0.0205401,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336328,1,OK,52.8766575,-9.1603714,52.3143107,-8.0393618,-59.477,-52.075,-182.685,0.0208924,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336328,1,OK,56.5871281,-9.8189783,56.0233716,60.8405137,-54.372,-55.516,-187.974,0.0234151,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336336,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336336,1,OK,55.9558577,11.2891888,55.1885957,-29.5983018,30.169,-13.595,-229.377,0.0273396,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336336,1,OK,52.8700962,-9.2074128,52.3017374,-7.4882268,-59.325,-52.054,-182.681,0.0361649,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336336,1,OK,56.6257972,-9.8122490,56.0636570,60.9288906,-54.130,-55.411,-187.890,0.0116780,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336344,1,OK,54.7024403,10.7883687,53.9692411,-9.0766740,31.284,-18.421,-234.928,0.0498065,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336344,1,OK,55.9442672,11.3196407,55.1724327,-29.2896139,30.068,-13.782,-229.467,0.0197641,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336344,1,OK,52.8901696,-9.2191141,52.3207618,-7.8125841,-59.267,-52.029,-182.720,0.0262329,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336344,1,OK,56.6209125,-9.8224883,56.0574747,61.0213154,-54.072,-55.467,-187.913,0.0179877,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336352,1,OK,54.6324093,10.6558582,53.9155830,-9.4971688,31.633,-18.474,-234.869,0.0482025,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336352,1,OK,55.9477515,11.1491212,55.1995701,-29.6601224,30.398,-13.631,-229.082,0.0166756,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336352,1,OK,52.8744598,-9.2070661,52.3062350,-7.5938304,-59.277,-52.062,-182.738,0.0309503,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336352,1,OK,56.6290914,-9.8617322,56.0612485,60.9928695,-54.189,-55.523,-188.094,0.0144410,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336360,1,OK,54.5336090,10.3414735,53.8567217,-10.0990866,32.512,-18.353,-234.483,0.0407783,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336360,1,OK,55.8385604,10.8544576,55.1272268,-30.3353524,31.482,-13.560,-228.591,0.0131208,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336360,1,OK,52.9049437,-9.1754899,52.3412949,-7.8830786,-59.367,-52.074,-182.705,0.0226175,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336360,1,OK,56.6551925,-9.8436742,56.0900247,60.9011055,-54.290,-55.457,-188.045,0.0148973,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336368,1,OK,54.3927208,9.9310573,53.7660966,-10.4983535,33.473,-18.241,-234.009,0.0425016,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336368,1,OK,55.6948273,10.4420032,55.0338998,-30.7482785,32.586,-13.457,-228.256,0.0253466,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336368,1,OK,52.8651465,-9.1454482,52.3044212,-8.0087209,-59.644,-52.234,-182.690,0.0313328,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336368,1,OK,56.5973180,-9.7503844,56.0417487,60.9098497,-54.504,-55.563,-187.962,0.0199407,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336376,1,OK,54.2125605,9.7484967,53.6050816,-10.3017782,34.266,-18.200,-233.644,0.0478571,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336376,1,OK,55.5269820,10.2565749,54.8856762,-30.7619710,33.345,-13.346,-227.724,0.0136740,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336376,1,OK,52.8795034,-9.1486493,52.3186741,-7.7860550,-59.567,-52.123,-182.736,0.0264828,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336376,1,OK,56.5996218,-9.7778885,56.0409140,60.9091463,-54.411,-55.552,-187.980,0.0185607,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336384,1,OK,54.0493938,9.5462371,53.4637186,-9.9451547,34.698,-17.959,-233.025,0.0525410,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336384,1,OK,55.3341975,10.0466852,54.7148284,-30.6138851,33.705,-13.198,-227.339,0.0128451,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336384,1,OK,52.8772867,-9.1777855,52.3127815,-7.7612622,-59.526,-52.109,-182.731,0.0270807,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336384,1,OK,56.6047368,-9.8032293,56.0431938,60.9045329,-54.372,-55.526,-187.998,0.0179802,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336392,1,OK,53.8772456,9.5128032,53.2920167,-9.7034644,35.032,-17.781,-232.634,0.0426531,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336392,1,OK,55.1556280,10.0444894,54.5323692,-30.4498723,34.065,-13.047,-227.011,0.0187106,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336392,1,OK,52.8525769,-9.2022205,52.2845048,-7.7542077,-59.542,-52.105,-182.719,0.0277336,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336392,1,OK,56.5853556,-9.8145793,56.0220739,60.9469204,-54.375,-55.512,-187.994,0.0174686,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336400,1,OK,53.8092871,9.5122388,53.2226589,-9.6720749,34.866,-17.497,-232.344,0.0495608,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,10336400,1,OK,55.1004657,10.0224426,54.4787012,-30.3503480,33.801,-12.709,-226.728,0.0199586,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336400,1,OK,52.7985824,-9.2266685,52.2263156,-7.7213084,-59.619,-52.068,-182.674,0.0291712,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,10336400,1,OK,56.5346293,-9.8407639,55.9671918,61.0425217,-54.456,-55.488,-187.961,0.0182067,0
