Tools,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1643920,1,OK,89.6778515,-0.7914289,-89.6778207,-0.5640118,50.926,-32.958,-168.727,0.0205452,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1643928,1,OK,89.6713729,-0.7923284,-89.6713414,-0.5753537,50.928,-32.953,-168.726,0.0207532,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1643936,1,OK,89.6670350,-0.7921642,-89.6670032,-0.5829230,50.926,-32.960,-168.719,0.0206916,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1643944,1,OK,89.6631195,-0.7928228,-89.6630872,-0.5897670,50.926,-32.964,-168.723,0.0206006,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1643952,1,OK,89.6594744,-0.7920034,-89.6594418,-0.5961584,50.921,-32.968,-168.727,0.0210626,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1643960,1,OK,89.6565824,-0.7915727,-89.6565496,-0.6012338,50.921,-32.975,-168.733,0.0215177,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1643968,1,OK,89.6541616,-0.7920819,-89.6541286,-0.6054415,50.917,-32.981,-168.725,0.0214744,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1643976,1,OK,89.6502962,-0.7925658,-89.6502627,-0.6122097,50.921,-32.979,-168.718,0.0207898,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1643984,1,OK,89.6490415,-0.7905132,-89.6490081,-0.6143984,50.922,-32.978,-168.721,0.0206707,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1643992,1,OK,89.6478561,-0.7897420,-89.6478226,-0.6164711,50.924,-32.978,-168.715,0.0205751,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644000,1,OK,89.6459821,-0.7894414,-89.6459485,-0.6197501,50.922,-32.976,-168.706,0.0206322,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644008,1,OK,89.6449458,-0.7901905,-89.6449120,-0.6215636,50.925,-32.974,-168.700,0.0207743,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644016,1,OK,89.6442115,-0.7901827,-89.6441777,-0.6228546,50.930,-32.972,-168.712,0.0210035,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644024,1,OK,89.6431857,-0.7890846,-89.6431518,-0.6246598,50.932,-32.967,-168.716,0.0212105,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644032,1,OK,89.6434153,-0.7903512,-89.6433814,-0.6242484,50.936,-32.967,-168.714,0.0208697,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644040,1,OK,89.6410225,-0.7902303,-89.6409883,-0.6284331,50.940,-32.958,-168.711,0.0199750,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644048,1,OK,89.6391043,-0.7896041,-89.6390700,-0.6318118,50.942,-32.950,-168.709,0.0198818,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644056,1,OK,89.6407744,-0.7876162,-89.6407405,-0.6288884,50.946,-32.949,-168.710,0.0196817,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644064,1,OK,89.6423512,-0.7880535,-89.6423174,-0.6261443,50.951,-32.942,-168.703,0.0187538,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644072,1,OK,89.6418713,-0.7865898,-89.6418376,-0.6269942,50.956,-32.930,-168.705,0.0185184,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644080,1,OK,89.6449327,-0.7854646,-89.6448994,-0.6216512,50.958,-32.925,-168.711,0.0187156,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644088,1,OK,89.6501810,-0.7848587,-89.6501481,-0.6124671,50.961,-32.921,-168.716,0.0186801,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644096,1,OK,89.6559566,-0.7853125,-89.6559243,-0.6023598,50.963,-32.922,-168.719,0.0188274,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644104,1,OK,89.6617293,-0.7875466,-89.6616974,-0.5922621,50.963,-32.923,-168.720,0.0189923,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644112,1,OK,89.6679823,-0.7856148,-89.6679511,-0.5813209,50.965,-32.921,-168.734,0.0189714,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644120,1,OK,89.6752859,-0.7873145,-89.6752552,-0.5685362,50.958,-32.923,-168.733,0.0194146,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644128,1,OK,89.6812242,-0.7873911,-89.6811941,-0.5581574,50.962,-32.918,-168.736,0.0189591,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644136,1,OK,89.6853834,-0.7886080,-89.6853536,-0.5508758,50.962,-32.916,-168.740,0.0189974,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644144,1,OK,89.6892118,-0.7894526,-89.6891823,-0.5441729,50.963,-32.917,-168.747,0.0191883,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644152,1,OK,89.6944690,-0.7918024,-89.6944399,-0.5349676,50.964,-32.925,-168.746,0.0190432,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644160,1,OK,89.6970392,-0.7935080,-89.6970102,-0.5304657,50.964,-32.925,-168.745,0.0187566,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644168,1,OK,89.6976571,-0.7930957,-89.6976282,-0.5293661,50.960,-32.924,-168.750,0.0186858,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,1644176,1,OK,89.6964872,-0.7933054,-89.6964581,-0.5314035,50.956,-32.914,-168.746,0.0186274,0
