Tools,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785016,1,OK,90.8769390,-0.7439673,-90.8770130,1.7531413,51.263,-32.501,-168.091,0.0499009,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785024,1,OK,90.8779302,-0.7435257,-90.8780041,1.7551180,51.263,-32.506,-168.089,0.0493362,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785032,1,OK,90.8768393,-0.7422326,-90.8769128,1.7529318,51.263,-32.502,-168.087,0.0494435,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785040,1,OK,90.8751429,-0.7403703,-90.8752159,1.7495362,51.266,-32.499,-168.101,0.0492036,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785048,1,OK,90.8769248,-0.7393415,-90.8769978,1.7530954,51.266,-32.508,-168.104,0.0491961,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785056,1,OK,90.8786568,-0.7390304,-90.8787299,1.7565592,51.268,-32.514,-168.117,0.0491167,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785064,1,OK,90.8782970,-0.7389809,-90.8783701,1.7558412,51.269,-32.513,-168.110,0.0495808,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785072,1,OK,90.8771286,-0.7384637,-90.8772015,1.7535033,51.271,-32.511,-168.123,0.0494255,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785080,1,OK,90.8768501,-0.7376023,-90.8769228,1.7529478,51.272,-32.515,-168.131,0.0494904,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785088,1,OK,90.8738972,-0.7371351,-90.8739696,1.7470461,51.271,-32.506,-168.138,0.0494959,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785096,1,OK,90.8725666,-0.7378001,-90.8726389,1.7443850,51.271,-32.506,-168.138,0.0496363,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785104,1,OK,90.8735203,-0.7370479,-90.8735926,1.7462917,51.275,-32.506,-168.151,0.0498268,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785112,1,OK,90.8734887,-0.7377672,-90.8735611,1.7462306,51.279,-32.505,-168.144,0.0494059,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785120,1,OK,90.8724871,-0.7382049,-90.8725596,1.7442333,51.279,-32.495,-168.138,0.0491716,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785128,1,OK,90.8710899,-0.7398534,-90.8711625,1.7414436,51.279,-32.489,-168.132,0.0492647,0
