Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974376,1,OK,49.9561256,15.5758835,48.0946323,45.8935468,28.262,-2.727,-215.027,0.0283606,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974376,1,OK,50.2071134,13.6141973,48.8131426,24.9893490,21.374,-1.913,-216.741,0.0190938,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974376,1,OK,50.7316103,-13.6769711,49.3508340,3.8005449,-44.939,-14.160,-211.486,0.0275469,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974376,1,OK,52.1794301,-17.1137561,50.0888310,-70.4727894,-37.075,-12.071,-212.294,0.0256535,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974384,1,OK,50.0111437,15.7448139,48.1109354,46.2015577,28.012,-2.715,-214.917,0.0590815,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974384,1,OK,50.2637241,13.8498625,48.8222791,25.1455581,20.864,-1.677,-216.669,0.0313717,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974384,1,OK,50.7339306,-13.6755915,49.3535588,3.7895495,-44.931,-14.154,-211.491,0.0274415,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974384,1,OK,52.1775013,-17.1151242,50.0864002,-70.4911013,-37.074,-12.075,-212.305,0.0241223,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974392,1,OK,49.9923654,15.8194212,48.0719229,46.3530385,27.921,-2.701,-214.883,0.0518962,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974392,1,OK,50.2580221,13.8939313,48.8067555,25.1704088,20.777,-1.706,-216.728,0.0364593,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974392,1,OK,50.7340938,-13.6733609,49.3541962,3.8067749,-44.920,-14.156,-211.493,0.0277430,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974392,1,OK,52.1837121,-17.1179562,50.0923634,-70.4735748,-37.069,-12.069,-212.305,0.0240698,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974400,1,OK,50.0036562,15.8384951,48.0791493,46.3176831,27.835,-2.662,-214.909,0.0484612,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974400,1,OK,50.2747271,13.8850230,48.8262664,25.1238600,20.697,-1.622,-216.768,0.0367233,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974400,1,OK,50.7306163,-13.6790937,49.3493465,3.8253019,-44.919,-14.173,-211.502,0.0278562,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974400,1,OK,52.1851519,-17.1226014,50.0927183,-70.4615451,-37.063,-12.076,-212.316,0.0246770,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974408,1,OK,50.0399543,15.8895792,48.1049746,46.3226902,27.762,-2.621,-214.961,0.0480035,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974408,1,OK,50.2635294,13.9075860,48.8095955,25.0971076,20.696,-1.610,-216.829,0.0339115,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974408,1,OK,50.7356076,-13.6836083,49.3536449,3.8341325,-44.916,-14.180,-211.509,0.0279376,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974408,1,OK,52.1898924,-17.1286075,50.0962792,-70.4448264,-37.059,-12.079,-212.321,0.0247565,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974416,1,OK,50.0304781,15.8955212,48.0933108,46.2819886,27.684,-2.610,-214.949,0.0420960,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974416,1,OK,50.2263023,13.9181133,48.7681183,25.1745837,20.701,-1.668,-216.784,0.0370201,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974416,1,OK,50.7418081,-13.6888776,49.3590554,3.8205992,-44.913,-14.183,-211.510,0.0273578,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974416,1,OK,52.1937104,-17.1333626,50.0991684,-70.4325877,-37.054,-12.085,-212.315,0.0250301,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974424,1,OK,50.0185881,15.8626503,48.0889741,46.1282061,27.588,-2.601,-214.884,0.0366062,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974424,1,OK,50.2210289,13.9253660,48.7609899,25.1130386,20.701,-1.685,-216.761,0.0335064,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974424,1,OK,50.7450968,-13.6960407,49.3610115,3.8165163,-44.911,-14.195,-211.516,0.0275720,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974424,1,OK,52.2015228,-17.1349349,50.1071826,-70.4092800,-37.044,-12.086,-212.313,0.0257304,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974432,1,OK,50.0639046,15.8747035,48.1344091,46.0197307,27.521,-2.556,-214.907,0.0328595,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974432,1,OK,50.2496799,13.8787436,48.8012611,25.0064360,20.691,-1.629,-216.793,0.0347710,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974432,1,OK,50.7511579,-13.7026850,49.3659877,3.8537476,-44.909,-14.200,-211.517,0.0279640,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974432,1,OK,52.2024481,-17.1402325,50.1068143,-70.4077580,-37.040,-12.100,-212.311,0.0259256,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974440,1,OK,50.0607439,15.8628318,48.1340503,45.9357600,27.428,-2.509,-214.946,0.0261239,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974440,1,OK,50.2567480,13.8732865,48.8098803,24.9751740,20.619,-1.634,-216.681,0.0246248,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974440,1,OK,50.7561034,-13.7067799,49.3703254,3.8979908,-44.904,-14.208,-211.515,0.0276364,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974440,1,OK,52.2052554,-17.1440709,50.1088503,-70.4140530,-37.037,-12.112,-212.323,0.0242200,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974448,1,OK,50.0582067,15.8981431,48.1223297,45.9338281,27.338,-2.524,-214.961,0.0256675,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974448,1,OK,50.2713166,13.8790633,48.8239650,25.0626204,20.741,-1.602,-216.710,0.0340811,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974448,1,OK,50.7642052,-13.7130416,49.3775249,3.9215669,-44.898,-14.219,-211.520,0.0278781,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974448,1,OK,52.2078303,-17.1505267,50.1099607,-70.3990286,-37.036,-12.130,-212.328,0.0239488,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974456,1,OK,50.0454580,15.9125919,48.1049865,45.9614688,27.308,-2.558,-215.004,0.0256564,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974456,1,OK,50.2551535,13.8891464,48.8047718,25.0773858,20.704,-1.634,-216.753,0.0350019,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974456,1,OK,50.7686537,-13.7170767,49.3813530,3.8962114,-44.889,-14.240,-211.521,0.0273685,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974456,1,OK,52.2111156,-17.1535035,50.1127339,-70.3775420,-37.025,-12.148,-212.323,0.0246904,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974464,1,OK,50.0458939,15.9180184,48.1040652,45.9439337,27.307,-2.558,-215.029,0.0237812,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974464,1,OK,50.2523789,13.8890732,48.8018670,25.0699505,20.691,-1.631,-216.757,0.0352151,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974464,1,OK,50.7766694,-13.7145189,49.3903081,3.9014356,-44.869,-14.251,-211.510,0.0276263,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974464,1,OK,52.2209039,-17.1544971,50.1230281,-70.3440639,-37.008,-12.149,-212.306,0.0255884,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974472,1,OK,50.0388944,15.9163261,48.0970024,45.9409042,27.298,-2.567,-215.052,0.0245584,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974472,1,OK,50.2476477,13.8851619,48.7977335,25.0529388,20.680,-1.632,-216.758,0.0344954,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974472,1,OK,50.7881434,-13.7182017,49.4015900,3.9164817,-44.857,-14.256,-211.503,0.0274286,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974472,1,OK,52.2192945,-17.1530086,50.1216773,-70.3515225,-36.990,-12.168,-212.299,0.0247574,0
4,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974480,1,OK,50.0360373,15.9140496,48.0945254,45.9180794,27.293,-2.575,-215.050,0.0262724,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,3974480,1,OK,50.2409015,13.8841172,48.7908586,25.0526353,20.676,-1.639,-216.751,0.0344453,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974480,1,OK,50.7939518,-13.7240389,49.4064698,3.9610694,-44.845,-14.275,-211.505,0.0275731,0,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,3974480,1,OK,52.2201115,-17.1588175,50.1210597,-70.3495750,-36.979,-12.187,-212.297,0.0245748,0
