Tools,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605616,1,OK,88.2096311,1.1607594,-88.2092635,-3.3574199,51.715,-34.896,-167.892,0.0331558,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605624,1,OK,88.2084098,1.1621829,-88.2080410,-3.3596904,51.716,-34.892,-167.891,0.0326836,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605632,1,OK,88.2066152,1.1618413,-88.2062463,-3.3630932,51.716,-34.887,-167.889,0.0327156,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605640,1,OK,88.2073082,1.1628326,-88.2069388,-3.3617203,51.716,-34.887,-167.895,0.0324720,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605648,1,OK,88.2094083,1.1623191,-88.2090397,-3.3578378,51.715,-34.892,-167.893,0.0327753,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605656,1,OK,88.2064038,1.1628519,-88.2060342,-3.3634206,51.714,-34.886,-167.883,0.0325969,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605664,1,OK,88.2065365,1.1637139,-88.2061664,-3.3631522,51.716,-34.888,-167.879,0.0322902,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605672,1,OK,88.2059421,1.1646437,-88.2055713,-3.3643430,51.722,-34.885,-167.882,0.0322538,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605680,1,OK,88.2055859,1.1639287,-88.2052154,-3.3650171,51.723,-34.885,-167.881,0.0324663,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605688,1,OK,88.2056278,1.1648343,-88.2052567,-3.3650230,51.724,-34.879,-167.869,0.0319770,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605696,1,OK,88.2052300,1.1658916,-88.2048582,-3.3657449,51.725,-34.878,-167.869,0.0320853,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605704,1,OK,88.2059249,1.1646646,-88.2055541,-3.3644638,51.724,-34.882,-167.868,0.0326602,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605712,1,OK,88.2095208,1.1638985,-88.2091512,-3.3577357,51.722,-34.890,-167.866,0.0329090,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605720,1,OK,88.2062161,1.1643507,-88.2058455,-3.3639452,51.725,-34.879,-167.865,0.0325423,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605728,1,OK,88.2041135,1.1655418,-88.2037418,-3.3678956,51.729,-34.875,-167.876,0.0324837,0
