Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,250444
1,0,PATTERN_START,0,250445
1, 1, SUCCESS, 0, 3491
1, 2, SUCCESS, 0, 4478
1, 3, SUCCESS, 0, 3304
1, 4, SUCCESS, 0, 3294
1, 5, SUCCESS, 0, 2671
1, 6, SUCCESS, 0, 4031
1,0,PATTERN_FINISH,0,272107
2,0,PATTERN_START,0,277107
2, 1, SUCCESS, 0, 4044
2, 2, SUCCESS, 0, 3409
2, 3, SUCCESS, 0, 7758
2, 4, SUCCESS, 0, 2234
2, 5, SUCCESS, 0, 3377
2, 6, SUCCESS, 0, 6251
2,0,PATTERN_FINISH,0,304575
3,0,PATTERN_START,0,309575
3, 1, SUCCESS, 0, 2460
3, 2, SUCCESS, 0, 2670
3, 3, SUCCESS, 0, 2524
3, 4, SUCCESS, 0, 3013
3, 5, SUCCESS, 0, 2996
3, 6, SUCCESS, 0, 2224
3,0,PATTERN_FINISH,0,325859
4,0,PATTERN_START,0,391529
4, 1, SUCCESS, 0, 2643
4, 2, SUCCESS, 0, 2499
4, 3, SUCCESS, 0, 3119
4, 4, SUCCESS, 0, 3194
4, 5, SUCCESS, 0, 2694
4, 6, ERROR, 1, 169
4, 6, SUCCESS, 0, 2579
4,0,PATTERN_FINISH,0,408654
5,0,PATTERN_START,0,413655
5, 1, SUCCESS, 0, 2196
5, 2, SUCCESS, 0, 3054
5, 3, SUCCESS, 0, 4269
5, 4, ERROR, 1, 825
5, 4, ERROR, 2, 827
5, 4, ERROR, 3, 828
5, 4, ERROR, 4, 839
5, 4, ERROR, 5, 847
5, 4, ERROR, 6, 852
5, 4, ERROR, 7, 889
5, 4, ERROR, 8, 906
5, 4, ERROR, 9, 938
5, 4, ERROR, 10, 939
5, 4, ERROR, 11, 940
5, 4, ERROR, 12, 941
5, 4, ERROR, 13, 945
5, 4, ERROR, 14, 947
5, 4, ERROR, 15, 948
5, 4, ERROR, 16, 951
5, 4, ERROR, 17, 952
5, 4, ERROR, 18, 953
5, 4, ERROR, 19, 953
5, 4, ERROR, 20, 954
5, 4, ERROR, 21, 958
5, 4, ERROR, 22, 998
5, 4, ERROR, 23, 1027
5, 4, ERROR, 24, 1069
5, 4, ERROR, 25, 1080
5, 4, ERROR, 26, 1126
5, 4, ERROR, 27, 1144
5, 4, ERROR, 28, 1145
5, 4, ERROR, 29, 1151
5, 4, ERROR, 30, 1153
5, 4, ERROR, 31, 1176
5, 4, ERROR, 32, 1206
5, 4, ERROR, 33, 1234
5, 4, SUCCESS, 0, 3023
5, 5, SUCCESS, 0, 1835
5, 6, SUCCESS, 0, 2451
5,0,PATTERN_FINISH,0,430879
6,0,PATTERN_START,0,435879
6, 1, SUCCESS, 0, 3236
6, 2, SUCCESS, 0, 3138
6, 3, SUCCESS, 0, 2620
6, 4, SUCCESS, 0, 2604
6, 5, SUCCESS, 0, 2967
6, 6, SUCCESS, 0, 4173
6,0,PATTERN_FINISH,0,455012
0,0,TASK_FINISH,0,455013

